contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_LAXD01000004,LI90_RS20830,WP_066892595.1,861,1269,1,PF11969,0,101,1.3e-11,45.0
NZ_LAXD01000004,LI90_RS20830,WP_066892595.1,861,1269,1,PF01230,3,97,3.4e-19,69.4
NZ_LAXD01000004,LI90_RS20835,WP_066892598.1,1368,1722,1,PF04343,1,122,3.2e-29,102.0
NZ_LAXD01000004,LI90_RS20840,WP_066892601.1,1968,2904,1,PF00296,19,313,2.5e-61,207.8
NZ_LAXD01000004,LI90_RS20845,WP_079045867.1,3173,3461,1,PF00206,108,187,4.1e-10,39.5
NZ_LAXD01000004,LI90_RS20850,WP_079045868.1,3360,3846,1,PF00206,196,310,4.9e-10,39.3
NZ_LAXD01000004,LI90_RS20860,WP_066892613.1,4462,5437,-1,PF00005,1,136,8e-25,88.0
NZ_LAXD01000004,LI90_RS20860,WP_066892613.1,4462,5437,-1,PF13304,230,299,1.5e-06,28.3
NZ_LAXD01000004,LI90_RS20865,WP_079045753.1,5440,6205,-1,PF06182,1,229,6e-50,170.1
NZ_LAXD01000004,LI90_RS20870,WP_066892618.1,6248,7043,-1,PF06182,10,226,1.9e-15,57.3
NZ_LAXD01000004,LI90_RS20875,WP_066892621.1,7644,8421,1,PF13561,0,233,3.3e-62,210.1
NZ_LAXD01000004,LI90_RS20875,WP_066892621.1,7644,8421,1,PF00106,0,193,6.9e-49,166.0
NZ_LAXD01000004,LI90_RS20875,WP_066892621.1,7644,8421,1,PF08659,3,166,1.2e-07,31.9
NZ_LAXD01000004,LI90_RS20880,WP_066892624.1,8425,9403,1,PF00296,19,313,2.4e-61,207.9
NZ_LAXD01000004,LI90_RS20885,WP_066892627.1,9415,9868,1,PF01575,4,119,1.1e-25,89.6
NZ_LAXD01000004,LI90_RS20890,WP_066892630.1,10000,10768,1,PF13561,0,234,1.7e-75,253.6
NZ_LAXD01000004,LI90_RS20890,WP_066892630.1,10000,10768,1,PF00106,1,192,5e-60,202.3
NZ_LAXD01000004,LI90_RS20890,WP_066892630.1,10000,10768,1,PF01370,1,124,3.6e-05,23.3
NZ_LAXD01000004,LI90_RS20890,WP_066892630.1,10000,10768,1,PF08659,3,161,6.1e-22,78.4
NZ_LAXD01000004,LI90_RS20895,WP_066892632.1,10982,12410,1,PF00393,0,289,1.2e-120,402.3
NZ_LAXD01000004,LI90_RS20895,WP_066892632.1,10982,12410,1,PF03446,0,156,6.4e-52,175.9
NZ_LAXD01000004,LI90_RS20900,WP_066892635.1,12439,13111,-1,PF04493,35,195,1.5e-37,129.2
NZ_LAXD01000004,LI90_RS20905,WP_066892638.1,13710,14511,-1,PF08220,0,52,7e-14,51.3
NZ_LAXD01000004,LI90_RS20905,WP_066892638.1,13710,14511,-1,PF08279,0,45,6.4e-07,29.2
NZ_LAXD01000004,LI90_RS20905,WP_066892638.1,13710,14511,-1,PF00455,1,159,1.7e-46,158.1
NZ_LAXD01000004,LI90_RS20905,WP_066892638.1,13710,14511,-1,PF00392,26,61,0.00013,21.6
NZ_LAXD01000004,LI90_RS20910,WP_066892641.1,15117,16665,-1,PF01293,1,463,8e-75,252.3
NZ_LAXD01000004,LI90_RS20915,WP_066892644.1,17188,18670,1,PF00171,1,462,2e-181,603.5
NZ_LAXD01000004,LI90_RS20920,WP_066892647.1,18750,19701,-1,PF01156,1,304,1.8e-85,287.2
NZ_CM002280.1,M877_RS76500,WP_023543274.1,952,1744,1,PF04307,0,170,1.3e-34,118.9
NZ_CM002280.1,M877_RS76505,WP_023543275.1,1864,3655,-1,PF00005,0,137,4.2e-25,88.9
NZ_CM002280.1,M877_RS76505,WP_023543275.1,1864,3655,-1,PF00664,2,273,2.9e-29,102.6
NZ_CM002280.1,M877_RS76510,WP_023543276.1,3651,5505,-1,PF00664,37,273,3.3e-22,79.4
NZ_CM002280.1,M877_RS76510,WP_023543276.1,3651,5505,-1,PF00005,82,137,5e-10,40.0
NZ_CM002280.1,M877_RS76515,WP_031232349.1,5882,7025,1,PF01594,3,324,8.2e-59,199.4
NZ_CM002280.1,M877_RS76520,WP_023543278.1,7038,8043,-1,PF01978,0,67,8.3e-10,38.4
NZ_CM002280.1,M877_RS76520,WP_023543278.1,7038,8043,-1,PF00196,1,54,2e-06,27.2
