contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_MKQR01000032,BJP25_RS31485,WP_075978709.1,784,2395,1,PF00005,0,137,1.7e-23,83.7
NZ_MKQR01000032,BJP25_RS31490,WP_075978710.1,2559,3405,1,PF03704,0,146,2.2e-42,145.0
NZ_MKQR01000032,BJP25_RS31490,WP_075978710.1,2559,3405,1,PF00486,7,60,8.8e-06,25.7
NZ_MKQR01000032,BJP25_RS31495,WP_084794829.1,3489,4122,1,PF00440,0,47,1.2e-17,63.5
NZ_MKQR01000032,BJP25_RS31500,WP_075978712.1,4135,4774,-1,PF00440,0,47,8e-16,57.6
NZ_MKQR01000032,BJP25_RS31505,WP_084794831.1,5000,6029,1,PF03756,0,133,1.1e-24,86.9
NZ_MKQR01000032,BJP25_RS31510,WP_075978713.1,6034,7030,1,PF01370,0,234,3.2e-23,82.4
NZ_MKQR01000032,BJP25_RS31510,WP_075978713.1,6034,7030,1,PF01073,0,224,4.6e-19,68.5
NZ_MKQR01000032,BJP25_RS31510,WP_075978713.1,6034,7030,1,PF13460,0,147,7.2e-13,48.8
NZ_MKQR01000032,BJP25_RS31510,WP_075978713.1,6034,7030,1,PF16363,0,138,2.4e-09,37.1
NZ_MKQR01000032,BJP25_RS31510,WP_075978713.1,6034,7030,1,PF05368,0,97,1.9e-05,24.4
NZ_MKQR01000032,BJP25_RS31510,WP_075978713.1,6034,7030,1,PF04321,2,223,3.2e-11,42.9
NZ_MKQR01000032,BJP25_RS31510,WP_075978713.1,6034,7030,1,PF07993,75,215,0.00018,20.8
NZ_MKQR01000032,BJP25_RS31515,WP_075978714.1,7048,8611,-1,PF07690,0,352,6e-42,143.8
NZ_MKQR01000032,BJP25_RS31515,WP_075978714.1,7048,8611,-1,PF05977,52,184,1.2e-05,24.0
NZ_MKQR01000032,BJP25_RS31520,WP_084794833.1,8843,9218,-1,PF01381,4,51,2.8e-08,33.7
NZ_MKQR01000032,BJP25_RS31520,WP_084794833.1,8843,9218,-1,PF13560,7,55,4.4e-10,39.8
NZ_MKQR01000032,BJP25_RS31525,WP_075978792.1,9169,9643,-1,PF00293,1,115,4.8e-16,59.0
NZ_FLDD01000001,A8T55_RS01810,WP_064165701.1,1168,2233,1,PF00248,0,292,3.2e-73,246.5
NZ_FLDD01000001,A8T55_RS01815,WP_064165702.1,2294,3779,1,PF01494,2,346,1.8e-57,195.2
NZ_FLDD01000001,A8T55_RS01820,WP_064165703.1,3781,4987,1,PF00108,0,259,1.7e-89,299.7
NZ_FLDD01000001,A8T55_RS01820,WP_064165703.1,3781,4987,1,PF02803,1,122,3.6e-39,133.2
NZ_FLDD01000001,A8T55_RS01825,WP_012541915.1,5000,5786,1,PF03756,0,115,3e-17,62.9
NZ_FLDD01000001,A8T55_RS01830,WP_016160925.1,5766,6420,1,PF12710,0,187,1.2e-30,107.3
NZ_FLDD01000001,A8T55_RS01835,WP_008805096.1,6484,7759,-1,PF00208,0,243,3.8e-73,246.2
NZ_FLDD01000001,A8T55_RS01835,WP_008805096.1,6484,7759,-1,PF02812,0,130,1.9e-54,183.0
NZ_FLDD01000001,A8T55_RS01840,WP_012968351.1,8287,9493,1,PF00202,9,405,1.2e-121,406.2
NZ_FLDD01000001,A8T55_RS01845,WP_008805094.1,9508,10534,1,PF04958,0,336,2.1e-133,444.1
NZ_BCSY01000076,APK38_RS23030,WP_062658578.1,353,1601,1,PF16911,3,121,3.6e-16,59.3
NZ_BCSY01000076,APK38_RS23035,WP_084395370.1,1593,2877,1,PF00067,5,456,4.3e-42,144.4
NZ_BCSY01000076,APK38_RS23040,WP_062658580.1,2873,4157,-1,PF03033,2,66,8.6e-09,35.6
NZ_BCSY01000076,APK38_RS23045,WP_062658581.1,4171,5014,-1,PF01040,13,238,7e-10,38.6
NZ_BCSY01000076,APK38_RS23050,WP_062658582.1,5000,5933,-1,PF03756,0,104,9.6e-17,61.2
NZ_BCSY01000076,APK38_RS23055,WP_062658583.1,5936,6764,-1,PF00334,1,133,6.7e-13,48.8
NZ_BCSY01000076,APK38_RS23060,WP_062658584.1,6760,7843,-1,PF07993,0,257,1.9e-35,122.3
