contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_KN050746.1,EW60_RS41480,WP_107405739.1,158,671,-1,PF01613,1,154,6.2e-33,114.0
NZ_KN050746.1,EW60_RS41485,WP_037721373.1,1044,1989,1,PF13602,0,133,8.7e-11,43.0
NZ_KN050746.1,EW60_RS41485,WP_037721373.1,1044,1989,1,PF08240,1,61,1.6e-06,27.9
NZ_KN050746.1,EW60_RS41490,WP_051959373.1,2052,2913,1,PF13560,1,64,4.8e-18,65.3
NZ_KN050746.1,EW60_RS41490,WP_051959373.1,2052,2913,1,PF17765,4,159,1.7e-31,109.6
NZ_KN050746.1,EW60_RS41495,WP_078936472.1,2950,3328,-1,PF01022,0,45,3.1e-05,23.8
NZ_KN050746.1,EW60_RS41495,WP_078936472.1,2950,3328,-1,PF12840,2,59,2.2e-09,37.2
NZ_KN050746.1,EW60_RS41500,WP_078936473.1,3478,4906,1,PF07690,1,352,3.9e-43,147.7
NZ_KN050746.1,EW60_RS41505,WP_051959376.1,5000,6164,-1,PF00296,1,309,2.2e-39,135.7
NZ_KN050746.1,EW60_RS41510,WP_037721376.1,6405,7308,1,PF00296,6,244,1.1e-45,156.4
NZ_KN050746.1,EW60_RS41515,WP_037721378.1,7431,8199,-1,PF03704,0,146,9.4e-45,152.6
NZ_KN050746.1,EW60_RS41515,WP_037721378.1,7431,8199,-1,PF00486,7,76,1.7e-10,40.9
NZ_KQ948463.1,AQJ27_RS31625,WP_067375945.1,205,1414,1,PF02801,1,117,4.4e-35,120.3
NZ_KQ948463.1,AQJ27_RS31625,WP_067375945.1,205,1414,1,PF00109,110,253,1.8e-14,53.9
NZ_KQ948463.1,AQJ27_RS31635,WP_079065392.1,2168,2711,1,PF03061,0,78,6.4e-12,45.7
NZ_KQ948463.1,AQJ27_RS31640,WP_079065393.1,2716,3964,1,PF13450,0,31,2.4e-05,24.5
NZ_KQ948463.1,AQJ27_RS31640,WP_079065393.1,2716,3964,1,PF01494,1,344,5.9e-38,131.0
NZ_KQ948463.1,AQJ27_RS31645,WP_096240323.1,3699,4902,1,PF00797,0,231,5.6e-47,160.5
NZ_KQ948463.1,AQJ27_RS31650,WP_067375953.1,5000,6182,1,PF00296,24,308,9.5e-41,140.2
NZ_KQ948463.1,AQJ27_RS31655,WP_067376018.1,6178,7168,1,PF00676,1,281,6.5e-79,265.0
NZ_JQLN01000007,BS80_RS31325,WP_051967697.1,462,2064,1,PF13193,2,76,6.6e-13,49.4
NZ_JQLN01000007,BS80_RS31325,WP_051967697.1,462,2064,1,PF00501,7,423,6.2e-70,235.9
NZ_JQLN01000007,BS80_RS31330,WP_035804588.1,2060,3290,1,PF00155,4,363,2.4e-73,247.4
NZ_JQLN01000007,BS80_RS31330,WP_035804588.1,2060,3290,1,PF01212,28,165,5.5e-05,22.6
NZ_JQLN01000007,BS80_RS31330,WP_035804588.1,2060,3290,1,PF01053,50,180,4.4e-08,32.0
NZ_JQLN01000007,BS80_RS31335,WP_035804590.1,3405,4941,1,PF13193,0,76,6.6e-19,68.7
NZ_JQLN01000007,BS80_RS31335,WP_035804590.1,3405,4941,1,PF00501,1,421,9.2e-113,377.0
NZ_JQLN01000007,BS80_RS31340,WP_035804592.1,5000,6110,-1,PF00296,25,310,5.6e-47,160.7
NZ_JQLN01000007,BS80_RS31350,WP_035804596.1,6860,8054,-1,PF02801,0,117,4.5e-34,117.0
NZ_JQLN01000007,BS80_RS31350,WP_035804596.1,6860,8054,-1,PF00109,2,253,2.3e-20,73.3
NZ_JQLN01000007,BS80_RS31360,WP_035804600.1,8303,8582,-1,PF00550,1,54,2.4e-08,34.2
NZ_JQLN01000007,BS80_RS31365,WP_051967462.1,8650,9469,-1,PF01791,2,233,1.4e-37,129.6
NZ_JOHS01000074,IO29_RS28955,WP_030382855.1,467,2048,1,PF13193,1,76,4.2e-11,43.7
