contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_JXTE01000089,TN53_RS36010,WP_046263027.1,1270,1510,1,PF03777,1,57,5.3e-30,103.1
NZ_JXTE01000089,TN53_RS36030,WP_046263031.1,3678,4263,1,PF07884,1,123,5.3e-28,97.7
NZ_JXTE01000089,TN53_RS36040,WP_046263033.1,5000,5462,1,PF06236,18,115,9.9e-28,96.6
NZ_JXTE01000089,TN53_RS36045,WP_046263034.1,5445,6312,1,PF00264,1,222,1.1e-39,137.1
NZ_JXTE01000089,TN53_RS36050,WP_046263035.1,6391,6673,-1,PF03777,1,57,1.2e-29,101.9
NZ_JXTE01000089,TN53_RS36055,WP_046263036.1,6866,7397,1,PF09860,0,69,4.4e-23,81.2
NZ_JXTE01000089,TN53_RS36060,WP_046263046.1,7401,8361,-1,PF02826,1,178,4.6e-51,172.7
NZ_JXTE01000089,TN53_RS36060,WP_046263046.1,7401,8361,-1,PF00389,25,128,1.1e-07,31.5
NZ_KB903838.1,A3G1_RS0130235,WP_018353251.1,1564,2491,-1,PF01619,11,293,9.8e-31,107.4
NZ_KB903838.1,A3G1_RS0130240,WP_018353252.1,2604,3780,1,PF13556,0,58,1.6e-21,75.9
NZ_KB903838.1,A3G1_RS0130240,WP_018353252.1,2604,3780,1,PF17853,6,116,4.6e-08,33.3
NZ_KB903838.1,A3G1_RS0130240,WP_018353252.1,2604,3780,1,PF02954,13,40,4.5e-06,26.3
NZ_KB903838.1,A3G1_RS0130245,WP_018353253.1,3915,4935,1,PF02983,0,56,3.5e-05,23.8
NZ_KB903838.1,A3G1_RS0130245,WP_018353253.1,3915,4935,1,PF00089,2,217,1.6e-09,38.0
NZ_KB903838.1,A3G1_RS37555,WP_018353254.1,5000,5342,1,PF06236,7,116,5.5e-12,45.8
NZ_KB903838.1,A3G1_RS0130255,WP_018353255.1,5373,6165,1,PF03476,3,50,4.4e-09,36.3
NZ_KB903838.1,A3G1_RS0130255,WP_018353255.1,5373,6165,1,PF03473,5,125,2e-10,40.8
NZ_KB903838.1,A3G1_RS39200,WP_051110712.1,6294,8232,1,PF07714,2,254,2.2e-20,73.1
NZ_KB903838.1,A3G1_RS39200,WP_051110712.1,6294,8232,1,PF00069,3,259,1.1e-37,129.8
NZ_KB903838.1,A3G1_RS39200,WP_051110712.1,6294,8232,1,PF01636,146,197,1.1e-05,25.5
NZ_KB903838.1,A3G1_RS0130270,WP_018353257.1,9417,10017,1,PF14065,3,175,4.7e-26,91.5
NZ_JNZD01000002,IO36_RS02525,WP_037615540.1,289,916,1,PF13532,77,196,3.2e-13,50.3
NZ_JNZD01000002,IO36_RS02530,WP_051899969.1,1050,1563,-1,PF17920,0,106,4.1e-22,78.4
NZ_JNZD01000002,IO36_RS02530,WP_051899969.1,1050,1563,-1,PF00440,1,47,1.3e-10,40.9
NZ_JNZD01000002,IO36_RS02535,WP_037615542.1,1826,3272,-1,PF07690,0,351,5.4e-38,130.8
