contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_CP018229.1,BMW22_RS27625,BMW22_RS27625,943,1724,1,PF00004,0,68,5.2e-06,26.9
NZ_CP018229.1,BMW22_RS27625,BMW22_RS27625,943,1724,1,PF01695,1,131,6e-40,136.9
NZ_CP018229.1,BMW22_RS27625,BMW22_RS27625,943,1724,1,PF01443,3,81,0.0002,21.2
NZ_CP018229.1,BMW22_RS27625,BMW22_RS27625,943,1724,1,PF02562,12,60,9e-05,22.0
NZ_CP018229.1,BMW22_RS27625,BMW22_RS27625,943,1724,1,PF05496,31,96,0.00016,21.4
NZ_CP018229.1,BMW22_RS27625,BMW22_RS27625,943,1724,1,PF00308,36,109,9.6e-05,22.3
NZ_CP018229.1,BMW22_RS27630,BMW22_RS27630,1865,2079,1,PF03050,67,96,9e-06,25.4
NZ_CP018229.1,BMW22_RS27635,BMW22_RS27635,2363,3079,-1,PF13610,2,39,5.1e-09,36.5
NZ_CP018229.1,BMW22_RS27660,WP_062940118.1,5694,6741,-1,PF00296,0,306,1.2e-57,195.7
NZ_CP018229.1,BMW22_RS27665,WP_062940119.1,6952,8578,-1,PF13561,0,233,2.1e-61,207.4
NZ_CP018229.1,BMW22_RS27665,WP_062940119.1,6952,8578,-1,PF00106,1,191,4.2e-44,150.3
NZ_CP018229.1,BMW22_RS27665,WP_062940119.1,6952,8578,-1,PF08659,2,154,2.6e-07,30.7
NZ_CP018229.1,BMW22_RS27670,WP_062940120.1,8893,9460,-1,PF13577,1,126,6.8e-21,74.7
NZ_CP018229.1,BMW22_RS27675,BMW22_RS27675,9437,10156,-1,PF00067,213,428,2.2e-25,89.3
NZ_CP018229.1,BMW22_RS27680,WP_072641016.1,10408,11611,-1,PF00067,33,433,5.4e-29,101.3
NZ_CP018229.1,BMW22_RS27690,WP_062940122.1,12676,12913,1,PF04014,0,32,3.1e-08,33.3
NZ_CP018229.1,BMW22_RS27695,WP_062940123.1,12912,13332,1,PF01850,0,115,1.1e-11,45.3
NZ_CP018229.1,BMW22_RS27705,BMW22_RS27705,13792,14897,-1,PF05598,0,66,1.7e-22,79.2
NZ_CP018229.1,BMW22_RS27710,WP_065284438.1,15413,16679,1,PF13614,11,151,1.3e-13,51.2
NZ_CP018229.1,BMW22_RS27710,WP_065284438.1,15413,16679,1,PF01656,12,126,2.2e-06,27.7
NZ_CP018229.1,BMW22_RS27715,WP_065284439.1,16900,17608,-1,PF00392,1,62,3.1e-07,30.0
NZ_CP018229.1,BMW22_RS27720,WP_062940127.1,18062,19067,1,PF13377,1,166,2e-28,99.8
NZ_CP018229.1,BMW22_RS27720,WP_062940127.1,18062,19067,1,PF00356,1,46,5.2e-18,64.6
NZ_CP018229.1,BMW22_RS27720,WP_062940127.1,18062,19067,1,PF00532,16,266,4.6e-17,62.4
NZ_CP018229.1,BMW22_RS27725,BMW22_RS27725,19147,19608,-1,PF13610,17,57,1.8e-12,47.6
NZ_CP018229.1,BMW22_RS27730,WP_062940190.1,20000,20924,1,PF13714,1,237,4.2e-67,226.1
NZ_CP018229.1,BMW22_RS27730,WP_062940190.1,20000,20924,1,PF00463,149,238,0.00019,20.1
NZ_CP018229.1,BMW22_RS27735,WP_072641017.1,20982,22164,1,PF00155,1,363,1e-61,209.1
NZ_CP018229.1,BMW22_RS27735,WP_072641017.1,20982,22164,1,PF01041,40,134,2.4e-12,46.9
NZ_CP018229.1,BMW22_RS27735,WP_072641017.1,20982,22164,1,PF00266,59,165,1.3e-05,24.4
NZ_CP018229.1,BMW22_RS27735,WP_072641017.1,20982,22164,1,PF01053,65,175,1.9e-06,26.7
NZ_CP018229.1,BMW22_RS27740,WP_065284441.1,22201,23002,1,PF12804,0,132,1.6e-14,54.5
NZ_CP018229.1,BMW22_RS27740,WP_065284441.1,22201,23002,1,PF00483,0,121,2e-12,47.2
NZ_CP018229.1,BMW22_RS27745,WP_027668156.1,23014,23626,1,PF01066,2,64,7.2e-07,29.9
NZ_CP018229.1,BMW22_RS27750,WP_065284442.1,23775,25560,1,PF00733,13,353,2.7e-49,168.8
NZ_CP018229.1,BMW22_RS27750,WP_065284442.1,23775,25560,1,PF13537,61,123,1.6e-13,50.6
