contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_KI911412.1,B170_RS0118665,WP_027656655.1,1339,2080,-1,PF13411,0,67,1.4e-14,53.9
NZ_KI911412.1,B170_RS0118665,WP_027656655.1,1339,2080,-1,PF00376,2,38,1.7e-14,53.3
NZ_KI911412.1,B170_RS0118670,WP_027656656.1,2092,3328,-1,PF07690,2,260,3.4e-13,49.2
NZ_KI911412.1,B170_RS26850,WP_080683202.1,3587,4079,-1,PF01980,11,116,1.2e-21,77.1
NZ_KI911412.1,B170_RS0118680,WP_033662551.1,6509,6854,1,PF14408,1,58,7.8e-13,48.3
NZ_KI911412.1,B170_RS0118690,WP_027656658.1,7811,8954,1,PF05175,20,102,3.1e-05,23.6
NZ_KI911412.1,B170_RS0118690,WP_027656658.1,7811,8954,1,PF01135,55,171,5.2e-24,85.2
NZ_KI911412.1,B170_RS0118695,WP_018742409.1,9069,9396,-1,PF01638,1,88,3.8e-21,74.7
NZ_KI911412.1,B170_RS0118700,WP_027656659.1,9510,9936,1,PF12680,3,100,4.7e-10,40.0
NZ_KI911412.1,B170_RS0118700,WP_027656659.1,9510,9936,1,PF14534,7,106,1.3e-12,48.1
NZ_KI911412.1,B170_RS0118700,WP_027656659.1,9510,9936,1,PF13474,7,112,2.6e-05,24.5
NZ_KI911412.1,B170_RS0118705,WP_027656660.1,10000,11971,-1,PF02624,1,322,2.3e-82,276.9
NZ_KI911412.1,B170_RS0118710,WP_027656661.1,11967,12723,-1,PF01061,3,209,4.5e-27,94.9
NZ_KI911412.1,B170_RS0118710,WP_027656661.1,11967,12723,-1,PF12698,156,343,4.7e-18,65.4
NZ_KI911412.1,B170_RS0118715,WP_027656662.1,12719,13646,-1,PF00005,1,137,5.3e-27,95.0
NZ_KI911412.1,B170_RS0118715,WP_027656662.1,12719,13646,-1,PF13304,226,298,1.8e-08,34.6
NZ_KI911412.1,B170_RS0118725,WP_027656664.1,14835,15903,-1,PF14028,0,312,8.2e-100,334.4
NZ_KI911412.1,B170_RS0118730,WP_027656665.1,15899,18692,-1,PF04738,1,633,1.1e-56,192.3
NZ_KI911412.1,B170_RS0118735,WP_027656666.1,18700,20353,-1,PF00881,2,169,1.6e-16,60.8
NZ_KI911412.1,B170_RS0118740,WP_027656667.1,20362,22255,-1,PF02624,1,322,7.5e-85,285.0
NZ_KI911412.1,B170_RS0118750,WP_033664428.1,24428,26222,-1,PF03704,0,146,1.9e-31,109.5
NZ_KI911412.1,B170_RS0118750,WP_033664428.1,24428,26222,-1,PF00486,6,76,2.5e-08,33.9
NZ_KI911412.1,B170_RS0118760,WP_080683205.1,26905,27826,1,PF00196,2,53,1e-10,41.0
NZ_KI911412.1,B170_RS0118760,WP_080683205.1,26905,27826,1,PF13384,9,40,6.6e-06,25.8
NZ_KI911412.1,B170_RS0118765,WP_027656672.1,28312,29545,1,PF04542,2,69,1.5e-08,34.2
NZ_KI911412.1,B170_RS0118765,WP_027656672.1,28312,29545,1,PF08281,3,53,3.6e-11,42.5
NZ_KI911412.1,B170_RS0118770,WP_027656673.1,29601,31182,-1,PF07690,0,352,2.4e-47,161.6
NZ_KI911412.1,B170_RS0118770,WP_027656673.1,29601,31182,-1,PF00083,39,192,8e-07,28.3
NZ_KI911412.1,B170_RS0118775,WP_027645007.1,31396,31759,1,PF03795,0,93,2.8e-20,72.5
NZ_KI911412.1,B170_RS0118780,WP_027656674.1,31821,32400,-1,PF01872,1,197,3.4e-27,95.6
NZ_HE997643.1,BN68_RS02080,WP_002211340.1,620,1115,1,PF01037,0,75,1e-24,86.3
NZ_HE997643.1,BN68_RS02080,WP_002211340.1,620,1115,1,PF13412,0,47,5e-21,74.0
NZ_HE997643.1,BN68_RS02080,WP_002211340.1,620,1115,1,PF13404,0,42,8.4e-20,70.3
