contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_LSVD01000023,AYL20_RS09125,WP_061397462.1,1269,3522,-1,PF07715,2,108,1.4e-17,64.2
NZ_LSVD01000023,AYL20_RS09125,WP_061397462.1,1269,3522,-1,PF00593,8,469,1e-37,131.2
NZ_LSVD01000023,AYL20_RS09130,WP_061397463.1,3615,4233,-1,PF03737,16,150,1.9e-25,89.8
NZ_LSVD01000023,AYL20_RS09135,WP_061397464.1,4229,4991,-1,PF11575,0,20,7.9e-06,25.7
NZ_LSVD01000023,AYL20_RS09140,WP_061397465.1,5000,6914,-1,PF04183,3,238,6.5e-47,160.1
NZ_LSVD01000023,AYL20_RS09140,WP_061397465.1,5000,6914,-1,PF06276,16,155,6.9e-17,62.3
NZ_LSVD01000023,AYL20_RS09145,WP_061397466.1,6922,8764,-1,PF04183,1,237,3.8e-73,246.0
NZ_LSVD01000023,AYL20_RS09145,WP_061397466.1,6922,8764,-1,PF06276,1,158,1.5e-33,116.5
NZ_LSVD01000023,AYL20_RS09150,WP_061397467.1,8782,10210,-1,PF07690,1,352,2.6e-46,158.2
NZ_LSVD01000023,AYL20_RS09150,WP_061397467.1,8782,10210,-1,PF00083,44,189,5.6e-08,32.1
NZ_LSVD01000023,AYL20_RS09155,WP_061397468.1,10230,11664,-1,PF13434,2,342,1.9e-112,375.8
NZ_LSVD01000023,AYL20_RS09155,WP_061397468.1,10230,11664,-1,PF13454,3,155,7.2e-05,22.8
NZ_LSVD01000023,AYL20_RS09155,WP_061397468.1,10230,11664,-1,PF13738,70,186,1.8e-07,30.7
NZ_LSVD01000023,AYL20_RS09160,WP_061397469.1,11656,13441,-1,PF04183,0,239,6.7e-54,183.0
NZ_LSVD01000023,AYL20_RS09160,WP_061397469.1,11656,13441,-1,PF06276,1,161,1.4e-33,116.6
NZ_LSVD01000023,AYL20_RS09165,WP_007483359.1,13764,14232,-1,PF04073,8,123,6.5e-26,90.8
NZ_LSVD01000023,AYL20_RS09175,WP_004879365.1,14899,16273,1,PF03109,12,118,3.2e-26,91.8
NZ_LSVD01000023,AYL20_RS09180,WP_061397471.1,16499,17795,1,PF02771,0,110,1.6e-16,60.9
NZ_LSVD01000023,AYL20_RS09180,WP_061397471.1,16499,17795,1,PF08028,1,128,2.3e-17,63.5
NZ_LSVD01000023,AYL20_RS09180,WP_061397471.1,16499,17795,1,PF00441,14,134,3.7e-29,101.9
NZ_FMCF01000333,GA0115250_RS31145,WP_093561169.1,0,561,1,PF13523,1,145,2.6e-50,169.9
NZ_FMCF01000333,GA0115250_RS31145,WP_093561169.1,0,561,1,PF13302,2,138,3.3e-07,31.0
NZ_FMCF01000333,GA0115250_RS31150,WP_093561171.1,1022,2885,1,PF04183,0,239,4.7e-76,255.5
NZ_FMCF01000333,GA0115250_RS31150,WP_093561171.1,1022,2885,1,PF06276,1,160,6.3e-37,127.5
NZ_FMCF01000333,GA0115250_RS31155,WP_003951281.1,2971,4960,1,PF13307,1,169,1e-26,94.1
NZ_FMCF01000333,GA0115250_RS31160,WP_003951282.1,5055,5841,-1,PF00717,0,66,3.9e-16,58.7
NZ_FMCF01000333,GA0115250_RS31160,WP_003951282.1,5055,5841,-1,PF01726,1,65,1.2e-29,101.9
NZ_FMCF01000333,GA0115250_RS31165,WP_003951283.1,6462,6975,1,PF03477,1,84,5.7e-12,46.1
NZ_LMMX01000023,ASF27_RS12570,WP_056360575.1,415,2956,1,PF07715,1,106,2.4e-10,40.9
NZ_LMMX01000023,ASF27_RS12570,WP_056360575.1,415,2956,1,PF00593,6,469,2.3e-32,113.5
NZ_LMMX01000023,ASF27_RS12575,WP_056360578.1,3082,4666,1,PF03929,0,285,1.8e-63,214.9
NZ_LMMX01000023,ASF27_RS12580,WP_056360580.1,5000,6800,1,PF04183,1,239,1e-49,169.3
NZ_LMMX01000023,ASF27_RS12580,WP_056360580.1,5000,6800,1,PF06276,1,161,2.4e-36,125.6
NZ_LMMX01000023,ASF27_RS12585,WP_056360583.1,6783,9786,1,PF13193,0,76,8.6e-09,36.3
NZ_LMMX01000023,ASF27_RS12585,WP_056360583.1,6783,9786,1,PF04183,1,239,2.7e-62,210.4
NZ_LMMX01000023,ASF27_RS12585,WP_056360583.1,6783,9786,1,PF06276,1,155,3.8e-25,89.2
NZ_LMMX01000023,ASF27_RS12585,WP_056360583.1,6783,9786,1,PF00501,162,372,1.2e-13,50.5
NZ_LMMX01000023,ASF27_RS12590,WP_056360586.1,9782,11144,1,PF00550,2,67,1.6e-05,25.2
NZ_LMMX01000023,ASF27_RS12595,WP_056360590.1,11140,11983,1,PF01261,1,200,2.9e-29,102.0
NZ_LMMX01000023,ASF27_RS12600,WP_056176950.1,12087,12369,1,PF09981,1,87,3.5e-33,113.9
NZ_LMMX01000023,ASF27_RS12605,WP_056267051.1,12463,12988,1,PF13420,0,147,1e-13,51.7
NZ_LMMX01000023,ASF27_RS12605,WP_056267051.1,12463,12988,1,PF13302,2,137,6e-11,43.2
NZ_LMMX01000023,ASF27_RS12605,WP_056267051.1,12463,12988,1,PF13508,3,75,7.1e-12,45.6
NZ_LMMX01000023,ASF27_RS12605,WP_056267051.1,12463,12988,1,PF13673,18,109,1.9e-10,40.7
NZ_LMMX01000023,ASF27_RS12605,WP_056267051.1,12463,12988,1,PF00583,21,117,6.5e-17,61.9
NZ_LMMX01000023,ASF27_RS12615,WP_082479061.1,13578,14532,-1,PF12706,2,200,3.7e-22,78.8
NZ_FOCW01000001,BMW28_RS00145,WP_091812648.1,1988,2492,1,PF08882,2,114,1.8e-56,189.2
NZ_FOCW01000001,BMW28_RS00150,WP_091812650.1,2755,4801,1,PF01590,0,130,8.4e-06,26.5
NZ_FOCW01000001,BMW28_RS00150,WP_091812650.1,2755,4801,1,PF00158,1,167,3.3e-57,192.8
NZ_FOCW01000001,BMW28_RS00150,WP_091812650.1,2755,4801,1,PF07728,1,123,8.3e-06,25.9
NZ_FOCW01000001,BMW28_RS00150,WP_091812650.1,2755,4801,1,PF02954,3,42,1.2e-08,34.6
NZ_FOCW01000001,BMW28_RS00150,WP_091812650.1,2755,4801,1,PF14532,11,138,7.1e-17,61.8
NZ_FOCW01000001,BMW28_RS00155,WP_091812651.1,5000,6764,1,PF04183,3,239,5.8e-61,206.1
NZ_FOCW01000001,BMW28_RS00155,WP_091812651.1,5000,6764,1,PF06276,5,160,4e-25,89.1
NZ_FOCW01000001,BMW28_RS00160,WP_091812652.1,6829,8311,-1,PF00308,0,218,4.4e-84,281.7
NZ_FOCW01000001,BMW28_RS00160,WP_091812652.1,6829,8311,-1,PF08299,0,69,1.6e-32,111.3
NZ_FOCW01000001,BMW28_RS00160,WP_091812652.1,6829,8311,-1,PF11638,1,63,2e-17,62.7
NZ_FOCW01000001,BMW28_RS00160,WP_091812652.1,6829,8311,-1,PF00004,1,126,2.5e-06,28.0
NZ_FOCW01000001,BMW28_RS00160,WP_091812652.1,6829,8311,-1,PF01695,48,149,1e-10,41.6
NZ_FOCW01000001,BMW28_RS00165,WP_012207856.1,8666,8801,1,PF00468,0,44,1.3e-23,82.7
NZ_FOCW01000001,BMW28_RS00170,WP_091812654.1,8874,9396,1,PF00825,4,98,1.1e-14,54.4
NZ_FOCW01000001,BMW28_RS00175,WP_091812656.1,9392,9701,1,PF01809,0,66,5.4e-27,93.5
NZ_FOCW01000001,BMW28_RS00180,WP_091812657.1,9697,11344,1,PF14849,0,283,8e-78,262.2
