contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_LMCT01000016,ASC99_RS16500,WP_057232786.1,1295,2522,-1,PF07690,2,340,1.3e-12,47.3
NZ_LMCT01000016,ASC99_RS16505,WP_057232788.1,2641,3424,1,PF07070,0,210,7.6e-76,254.3
NZ_LMCT01000016,ASC99_RS16510,WP_082598384.1,3475,4177,-1,PF04203,2,124,3.1e-17,62.5
NZ_LMCT01000016,ASC99_RS16520,WP_057241036.1,4988,5807,1,PF01522,4,122,2.3e-39,134.1
NZ_LMCT01000016,ASC99_RS16525,WP_057232792.1,5989,6316,1,PF02627,4,84,4.2e-05,23.5
NZ_LMCT01000016,ASC99_RS16535,WP_057232795.1,7124,7781,-1,PF00072,0,112,8.2e-27,93.6
NZ_LMCT01000016,ASC99_RS16535,WP_057232795.1,7124,7781,-1,PF00196,1,57,2.7e-15,55.7
NZ_LMCT01000016,ASC99_RS16535,WP_057232795.1,7124,7781,-1,PF08281,7,48,4.8e-06,26.2
NZ_LMCT01000016,ASC99_RS16540,WP_082598393.1,7777,8842,-1,PF07730,0,66,7.5e-16,58.4
NZ_LMCT01000016,ASC99_RS16545,WP_057232799.1,9137,10049,1,PF00005,1,137,1.2e-26,93.8
NZ_LMCT01000016,ASC99_RS16545,WP_057232799.1,9137,10049,1,PF13304,233,297,9.2e-11,42.1
NZ_LMCT01000016,ASC99_RS16550,WP_057232800.1,10045,10894,1,PF12679,74,287,9.8e-08,31.6
NZ_LMCT01000016,ASC99_RS16555,WP_082598394.1,10917,11355,-1,PF11706,0,44,6.3e-16,57.9
NZ_LMCT01000016,ASC99_RS37295,WP_082598385.1,12477,13503,1,PF00583,3,117,1.7e-06,28.2
NZ_LMCT01000016,ASC99_RS37295,WP_082598385.1,12477,13503,1,PF13508,24,75,2.8e-06,27.7
NZ_LMCT01000016,ASC99_RS16570,WP_057232804.1,13886,14786,-1,PF07478,3,178,1.9e-19,70.0
NZ_LMCT01000016,ASC99_RS16575,WP_082598395.1,15214,16549,1,PF07690,8,352,9.9e-53,179.3
NZ_LMCT01000016,ASC99_RS16580,WP_057232808.1,16574,18206,-1,PF01494,1,347,1.6e-109,366.4
NZ_LMCT01000016,ASC99_RS16585,WP_057232810.1,18432,19524,1,PF04486,1,118,2.9e-46,156.4
NZ_LMCT01000016,ASC99_RS16585,WP_057232810.1,18432,19524,1,PF03992,7,76,1.9e-13,50.3
NZ_LMCT01000016,ASC99_RS16590,WP_057232811.1,19578,20004,1,PF07883,1,68,8.6e-20,70.2
NZ_LMCT01000016,ASC99_RS16590,WP_057232811.1,19578,20004,1,PF02311,11,65,3.8e-05,23.6
NZ_LMCT01000016,ASC99_RS16590,WP_057232811.1,19578,20004,1,PF01050,68,132,5.8e-06,26.3
NZ_LMCT01000016,ASC99_RS16595,WP_057232813.1,20000,21266,1,PF02801,0,117,6.6e-34,116.5
NZ_LMCT01000016,ASC99_RS16595,WP_057232813.1,20000,21266,1,PF00109,1,253,3.8e-52,177.4
NZ_LMCT01000016,ASC99_RS16600,WP_057232814.1,21262,22501,1,PF00109,1,252,4.6e-34,118.1
NZ_LMCT01000016,ASC99_RS16600,WP_057232814.1,21262,22501,1,PF02801,1,117,5.3e-21,74.8
NZ_LMCT01000016,ASC99_RS16605,WP_082598386.1,22532,22790,1,PF00550,1,51,1.7e-07,31.5
NZ_LMCT01000016,ASC99_RS16610,WP_057232818.1,22791,23247,1,PF03364,0,126,6.9e-16,58.6
