contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_AXVR01000017,K228_RS0110525,WP_025618417.1,78,834,-1,PF13085,0,107,9.6e-26,89.9
NZ_AXVR01000017,K228_RS0110525,WP_025618417.1,78,834,-1,PF12838,0,52,6.2e-09,36.3
NZ_AXVR01000017,K228_RS0110525,WP_025618417.1,78,834,-1,PF13534,0,60,2.1e-07,31.4
NZ_AXVR01000017,K228_RS0110525,WP_025618417.1,78,834,-1,PF13183,2,65,1.8e-10,41.1
NZ_AXVR01000017,K228_RS0110525,WP_025618417.1,78,834,-1,PF12837,2,21,7.3e-06,25.8
NZ_AXVR01000017,K228_RS0110525,WP_025618417.1,78,834,-1,PF13237,4,56,2.5e-07,30.7
NZ_AXVR01000017,K228_RS0110525,WP_025618417.1,78,834,-1,PF00037,6,21,1e-05,25.1
NZ_AXVR01000017,K228_RS0110530,WP_025618418.1,830,2762,-1,PF02910,0,128,5.2e-37,126.7
NZ_AXVR01000017,K228_RS0110530,WP_025618418.1,830,2762,-1,PF00890,1,417,2e-58,198.5
NZ_AXVR01000017,K228_RS0110535,WP_080671570.1,2764,3448,-1,PF01127,13,119,6.6e-07,29.4
NZ_AXVR01000017,K228_RS0110540,WP_025618420.1,3528,4464,1,PF00126,0,60,3.3e-22,78.2
NZ_AXVR01000017,K228_RS0110540,WP_025618420.1,3528,4464,1,PF03466,3,207,3.1e-40,137.8
NZ_AXVR01000017,K228_RS0110545,WP_025618421.1,4460,8480,-1,PF11898,0,582,5.2e-233,775.0
NZ_AXVR01000017,K228_RS0110545,WP_025618421.1,4460,8480,-1,PF07717,0,82,5.8e-17,61.8
NZ_AXVR01000017,K228_RS0110545,WP_025618421.1,4460,8480,-1,PF04408,1,78,4.8e-18,65.4
NZ_AXVR01000017,K228_RS0110545,WP_025618421.1,4460,8480,-1,PF00270,6,171,8e-06,25.7
NZ_AXVR01000017,K228_RS0110545,WP_025618421.1,4460,8480,-1,PF00271,11,110,3.4e-08,33.8
NZ_AXVR01000017,K228_RS0110550,WP_018723555.1,8672,9368,1,PF17124,3,143,2.1e-10,40.6
NZ_AXVR01000017,K228_RS0110550,WP_018723555.1,8672,9368,1,PF01965,13,164,1.4e-15,57.5
NZ_AXVR01000017,K228_RS0110555,WP_025618422.1,9369,9990,1,PF00440,1,44,1.8e-09,37.2
NZ_AXVR01000017,K228_RS0110565,WP_025618424.1,11674,13009,1,PF18105,0,52,2.1e-19,68.8
NZ_AXVR01000017,K228_RS0110565,WP_025618424.1,11674,13009,1,PF18604,1,141,2.4e-48,163.4
NZ_AXVR01000017,K228_RS0110570,WP_033776744.1,13097,14132,1,PF00107,0,117,2.2e-20,73.0
NZ_AXVR01000017,K228_RS0110570,WP_033776744.1,13097,14132,1,PF13602,0,133,5.2e-16,59.9
NZ_AXVR01000017,K228_RS0110575,WP_025618426.1,14131,14974,1,PF03328,0,221,4.5e-33,114.2
NZ_AXVR01000017,K228_RS0110575,WP_025618426.1,14131,14974,1,PF15617,230,303,5.4e-07,29.1
NZ_AXVR01000017,K228_RS0110580,WP_025618427.1,15020,16262,1,PF00155,2,362,1.3e-09,37.7
NZ_AXVR01000017,K228_RS0110585,WP_025618428.1,16251,16806,1,PF01575,5,108,3.6e-19,68.5
NZ_KB892528.1,B127_RS0110445,WP_012183039.1,719,1436,1,PF00072,0,111,9.1e-31,106.3
NZ_KB892528.1,B127_RS0110445,WP_012183039.1,719,1436,1,PF00486,0,77,7e-22,77.3
NZ_KB892528.1,B127_RS0110450,WP_018804957.1,1432,2821,1,PF00672,0,52,2.7e-11,43.7
NZ_KB892528.1,B127_RS0110450,WP_018804957.1,1432,2821,1,PF00512,1,64,1.3e-07,31.5
NZ_KB892528.1,B127_RS0110450,WP_018804957.1,1432,2821,1,PF02518,2,110,1.1e-18,67.8
NZ_KB892528.1,B127_RS0110455,WP_018587319.1,2909,4082,-1,PF01757,1,334,3.7e-24,85.4
NZ_KB892528.1,B127_RS0110460,WP_018587320.1,4458,5604,-1,PF04542,0,70,2.2e-09,36.9
NZ_KB892528.1,B127_RS0110460,WP_018587320.1,4458,5604,-1,PF08281,3,54,1.3e-07,31.2
NZ_KB892528.1,B127_RS0110465,WP_012183043.1,5600,6011,-1,PF03795,14,79,1.3e-11,44.8
NZ_KB892528.1,B127_RS0110470,WP_018587321.1,6203,6758,-1,PF01575,5,108,5.7e-19,67.9
NZ_KB892528.1,B127_RS0110475,WP_018587322.1,6747,7989,-1,PF00155,2,362,3.8e-12,46.0
NZ_KB892528.1,B127_RS0110480,WP_016816602.1,8035,8878,-1,PF03328,0,221,3.1e-34,118.0
NZ_KB892528.1,B127_RS0110485,WP_032718949.1,8877,9912,-1,PF00107,0,117,1e-18,67.6
NZ_KB892528.1,B127_RS0110485,WP_032718949.1,8877,9912,-1,PF13602,0,133,1.2e-14,55.5
NZ_KB892528.1,B127_RS0110490,WP_018587324.1,10000,11335,-1,PF18604,1,141,7.4e-50,168.3
NZ_KB892528.1,B127_RS0110490,WP_018587324.1,10000,11335,-1,PF18105,1,53,3.7e-19,68.0
NZ_KB892528.1,B127_RS0110510,WP_018587328.1,17899,19012,-1,PF07728,1,138,4.5e-35,120.6
NZ_KB892528.1,B127_RS0110515,WP_018587329.1,19026,20370,-1,PF05762,0,211,7.6e-29,100.7
NZ_MTQP01000027,ALI22I_RS01745,WP_077003817.1,32,641,-1,PF12079,0,174,1e-24,87.5
NZ_MTQP01000027,ALI22I_RS01750,WP_077003818.1,778,1348,-1,PF12079,0,174,1.4e-20,74.0
NZ_MTQP01000027,ALI22I_RS01755,WP_077003819.1,1760,2387,-1,PF08445,21,81,2.9e-05,23.9
NZ_MTQP01000027,ALI22I_RS01755,WP_077003819.1,1760,2387,-1,PF13508,24,75,7.4e-08,32.7
NZ_MTQP01000027,ALI22I_RS01755,WP_077003819.1,1760,2387,-1,PF13673,51,113,2.3e-08,34.0
NZ_MTQP01000027,ALI22I_RS01755,WP_077003819.1,1760,2387,-1,PF00583,55,117,1.4e-06,28.5
NZ_MTQP01000027,ALI22I_RS01760,WP_083751342.1,2383,4003,-1,PF13520,4,378,5.5e-23,81.5
NZ_MTQP01000027,ALI22I_RS01760,WP_083751342.1,2383,4003,-1,PF00324,9,388,8.1e-11,41.2
NZ_MTQP01000027,ALI22I_RS01765,WP_077003821.1,4105,4921,-1,PF05719,9,200,2.3e-12,47.4
NZ_MTQP01000027,ALI22I_RS01775,WP_077003851.1,6972,7851,1,PF01636,22,230,2.1e-18,67.1
NZ_MTQP01000027,ALI22I_RS01780,WP_083751343.1,8523,9414,1,PF00067,250,430,8.2e-12,44.6
NZ_MTQP01000027,ALI22I_RS01785,WP_077003823.1,9480,10878,1,PF18604,0,142,3.9e-44,149.7
NZ_MTQP01000027,ALI22I_RS01795,WP_077003825.1,12472,13738,1,PF18603,0,78,7.9e-13,48.4
NZ_MTQP01000027,ALI22I_RS01795,WP_077003825.1,12472,13738,1,PF13535,1,157,6.9e-24,84.2
NZ_MTQP01000027,ALI22I_RS01795,WP_077003825.1,12472,13738,1,PF02655,1,160,6.7e-14,52.3
NZ_MTQP01000027,ALI22I_RS01795,WP_077003825.1,12472,13738,1,PF18130,1,82,2.5e-11,44.0
NZ_MTQP01000027,ALI22I_RS01795,WP_077003825.1,12472,13738,1,PF01071,11,190,9.5e-06,25.5
NZ_MTQP01000027,ALI22I_RS01795,WP_077003825.1,12472,13738,1,PF07478,19,174,3e-10,40.0
NZ_MTQP01000027,ALI22I_RS01795,WP_077003825.1,12472,13738,1,PF02786,19,181,2.7e-08,33.6
NZ_MTQP01000027,ALI22I_RS01805,WP_077003827.1,14732,15722,-1,PF01636,3,229,2.9e-24,86.3
NZ_MTQP01000027,ALI22I_RS01805,WP_077003827.1,14732,15722,-1,PF03881,142,262,5.3e-07,29.1
NZ_MTQP01000027,ALI22I_RS01820,WP_083751344.1,17771,18356,1,PF14063,11,143,6.9e-12,45.4
NZ_MTQP01000027,ALI22I_RS01835,WP_083751345.1,19041,19881,1,PF14040,20,115,9e-11,42.2
NZ_MTQP01000027,ALI22I_RS01845,WP_077003834.1,20554,21109,1,PF01725,0,185,1.1e-42,146.1
NZ_FOCH01000001,BMY78_RS12360,WP_090898749.1,2426,3008,-1,PF00440,0,47,7.4e-16,57.7
NZ_FOCH01000001,BMY78_RS12365,WP_090898753.1,3100,4111,-1,PF01557,20,215,8.9e-33,113.8
NZ_FOCH01000001,BMY78_RS12370,WP_090898756.1,4277,5300,1,PF00753,6,197,1.6e-13,51.1
NZ_FOCH01000001,BMY78_RS12375,BMY78_RS12375,5451,6812,-1,PF13518,1,43,4.4e-06,26.7
NZ_FOCH01000001,BMY78_RS12375,BMY78_RS12375,5451,6812,-1,PF01527,5,56,1.1e-09,38.4
NZ_FOCH01000001,BMY78_RS12390,WP_090898764.1,8537,9815,1,PF07690,9,241,3.9e-32,111.6
NZ_FOCH01000001,BMY78_RS12390,WP_090898764.1,8537,9815,1,PF05977,59,198,4e-06,25.5
NZ_FOCH01000001,BMY78_RS12390,WP_090898764.1,8537,9815,1,PF00083,283,440,3.2e-07,29.6
NZ_FOCH01000001,BMY78_RS12395,WP_090898768.1,10000,11332,-1,PF18604,0,141,2.9e-32,111.2
NZ_FOCH01000001,BMY78_RS12405,WP_090898776.1,12745,13912,-1,PF00067,258,432,1.5e-15,56.9
NZ_FOCH01000001,BMY78_RS12425,WP_090902371.1,16379,16700,1,PF12120,0,95,6.4e-44,148.2
NZ_FOCH01000001,BMY78_RS12430,WP_090898781.1,16763,17726,-1,PF04909,0,290,1.2e-32,113.9
NZ_FOCH01000001,BMY78_RS12435,WP_090898784.1,17742,19242,-1,PF12010,0,129,3.9e-36,124.6
NZ_FOCH01000001,BMY78_RS12435,WP_090898784.1,17742,19242,-1,PF01547,7,313,3.9e-06,27.1
NZ_FOCH01000001,BMY78_RS12440,WP_090898787.1,19292,20174,-1,PF00528,15,184,3.9e-15,56.1
NZ_FOCH01000001,BMY78_RS12445,WP_090902374.1,20192,21062,-1,PF00528,0,183,1.3e-15,57.6
NC_009953.1,SARE_RS14255,WP_012183039.1,719,1436,1,PF00072,0,111,9.1e-31,106.3
NC_009953.1,SARE_RS14255,WP_012183039.1,719,1436,1,PF00486,0,77,7e-22,77.3
NC_009953.1,SARE_RS14260,WP_041165918.1,1432,2821,1,PF00672,0,52,2.7e-11,43.7
NC_009953.1,SARE_RS14260,WP_041165918.1,1432,2821,1,PF00512,1,64,1.3e-07,31.5
NC_009953.1,SARE_RS14260,WP_041165918.1,1432,2821,1,PF02518,2,110,1.1e-18,67.8
NC_009953.1,SARE_RS14265,WP_012183041.1,2909,4082,-1,PF01757,1,334,6.2e-24,84.7
NC_009953.1,SARE_RS14270,WP_012183042.1,4458,5604,-1,PF04542,0,64,1e-08,34.8
NC_009953.1,SARE_RS14270,WP_012183042.1,4458,5604,-1,PF08281,3,54,1.3e-07,31.2
