contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_KB896954.1,C586_RS0117305,WP_018825333.1,316,1045,-1,PF00106,1,188,6.4e-48,162.8
NZ_KB896954.1,C586_RS0117305,WP_018825333.1,316,1045,-1,PF13561,2,233,2.1e-60,204.2
NZ_KB896954.1,C586_RS0117305,WP_018825333.1,316,1045,-1,PF08659,3,160,1.3e-15,57.8
NZ_KB896954.1,C586_RS0117315,WP_012182625.1,1940,2939,-1,PF02322,0,303,9.8e-120,399.5
NZ_KB896954.1,C586_RS0117320,WP_018825335.1,2954,4388,-1,PF01654,1,417,7e-173,575.0
NZ_KB896954.1,C586_RS0117325,WP_018825336.1,4531,5299,1,PF01553,8,133,5e-20,71.5
NZ_KB896954.1,C586_RS0117330,WP_012182628.1,5362,6133,1,PF03009,0,258,2e-36,126.1
NZ_KB896954.1,C586_RS0117330,WP_012182628.1,5362,6133,1,PF13653,0,29,1.3e-07,31.8
NZ_KB896954.1,C586_RS0117335,WP_012182629.1,6151,7546,1,PF11700,1,477,9.4e-109,364.2
NZ_KB896954.1,C586_RS0117335,WP_012182629.1,6151,7546,1,PF13347,12,384,1e-09,37.5
NZ_KB896954.1,C586_RS0117335,WP_012182629.1,6151,7546,1,PF07690,134,342,2.1e-08,33.5
NZ_KB896954.1,C586_RS0117340,WP_012182630.1,7603,8308,1,PF00265,1,177,1.1e-21,77.5
NZ_KB896954.1,C586_RS0117350,WP_012182632.1,8882,9887,1,PF01408,0,119,2.8e-21,76.6
NZ_KB896954.1,C586_RS0117350,WP_012182632.1,8882,9887,1,PF02894,0,112,1.5e-10,41.1
NZ_KB896954.1,C586_RS0117350,WP_012182632.1,8882,9887,1,PF03807,0,82,0.0001,22.8
NZ_KB896954.1,C586_RS0117355,WP_018807219.1,10000,11167,1,PF01761,2,256,1.5e-42,145.6
NZ_KB896954.1,C586_RS0117360,WP_012182634.1,11163,12075,1,PF01261,0,194,4.3e-18,65.5
NZ_KB896954.1,C586_RS0117365,WP_016812376.1,12081,13014,1,PF00296,3,242,1.5e-53,182.3
NZ_KB896954.1,C586_RS0117370,WP_012182636.1,13089,14088,-1,PF00589,2,168,1.2e-29,103.4
NZ_KB896954.1,C586_RS0117370,WP_012182636.1,13089,14088,-1,PF02899,3,81,3.2e-10,40.2
NZ_KB896954.1,C586_RS0117380,WP_018825337.1,15335,15917,-1,PF00415,2,50,4e-09,36.9
NZ_KB896954.1,C586_RS0117380,WP_018825337.1,15335,15917,-1,PF16640,6,89,2e-09,37.5
NZ_KB896954.1,C586_RS0117385,WP_018803706.1,16213,17473,-1,PF07690,18,225,5e-12,45.4
NZ_KB896954.1,C586_RS0117390,WP_012182640.1,17537,18035,-1,PF01047,0,57,2.5e-10,40.1
NZ_KB896954.1,C586_RS0117390,WP_012182640.1,17537,18035,-1,PF12802,1,62,7.2e-10,38.6
NZ_KB896954.1,C586_RS0117395,WP_016816307.1,18099,19152,1,PF03358,7,150,2.4e-27,95.6
NZ_KB896954.1,C586_RS0117395,WP_016816307.1,18099,19152,1,PF13508,8,75,8e-09,35.8
NZ_KB896954.1,C586_RS0117395,WP_016816307.1,18099,19152,1,PF13673,17,109,1.5e-12,47.6
NZ_KB896954.1,C586_RS0117395,WP_016816307.1,18099,19152,1,PF00583,17,114,1.7e-11,44.4
NZ_KB896954.1,C586_RS0117400,WP_012182642.1,19216,19534,-1,PF08734,0,90,9.8e-26,89.5
