contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_AUAK01000001,G316_RS15940,WP_051280949.1,1710,2340,-1,PF17754,1,111,1.3e-13,50.9
NZ_AUAK01000001,G316_RS15940,WP_051280949.1,1710,2340,-1,PF00440,3,44,7e-16,57.8
NZ_AUAK01000001,G316_RS13375,WP_034514620.1,2486,3371,1,PF00005,0,137,9.8e-23,81.2
NZ_AUAK01000001,G316_RS13375,WP_034514620.1,2486,3371,1,PF13304,234,298,2.5e-07,30.8
NZ_AUAK01000001,G316_RS0100745,WP_026426324.1,7538,8177,-1,PF14681,0,206,6.7e-64,215.1
NZ_AUAK01000001,G316_RS0100745,WP_026426324.1,7538,8177,-1,PF00156,29,131,4.9e-12,45.7
NZ_AUAK01000001,G316_RS0100750,WP_026426325.1,8741,10004,1,PF04055,2,164,1.9e-17,64.1
NZ_AUAK01000001,G316_RS0100750,WP_026426325.1,8741,10004,1,PF13353,10,115,8.8e-05,22.8
NZ_AUAK01000001,G316_RS0100755,WP_084500457.1,10000,11521,1,PF02517,7,92,5.4e-08,33.1
NZ_AUAK01000001,G316_RS13380,WP_051280950.1,11517,13275,1,PF00005,0,137,4.5e-31,108.2
NZ_AUAK01000001,G316_RS13380,WP_051280950.1,11517,13275,1,PF00664,1,271,6.2e-31,108.1
NZ_AUAK01000001,G316_RS0100765,WP_026426327.1,13560,14235,-1,PF00072,0,101,1.2e-15,57.6
NZ_AUAK01000001,G316_RS0100765,WP_026426327.1,13560,14235,-1,PF00196,1,47,2.1e-12,46.4
NZ_AUAK01000001,G316_RS0100765,WP_026426327.1,13560,14235,-1,PF08281,7,49,2.9e-06,26.8
NZ_AUAK01000001,G316_RS15945,WP_026426328.1,14482,15934,-1,PF07730,0,38,1.6e-08,34.9
NZ_AUAK01000001,G316_RS13390,WP_051280951.1,16133,17834,1,PF04389,0,196,5.6e-39,133.9
NZ_AUAK01000001,G316_RS13390,WP_051280951.1,16133,17834,1,PF01546,0,98,2.1e-06,27.6
NZ_AUAK01000001,G316_RS0100780,WP_051280952.1,18016,18799,1,PF00005,0,136,4.8e-32,111.3
NZ_LZCF01000089,A9D36_RS14470,WP_064815301.1,735,1920,-1,PF16226,0,325,1.7e-180,599.2
NZ_LZCF01000089,A9D36_RS14480,WP_064815303.1,2995,3766,1,PF00069,0,153,4.7e-30,104.8
NZ_LZCF01000089,A9D36_RS14480,WP_064815303.1,2995,3766,1,PF07714,1,159,1.1e-18,67.4
NZ_LZCF01000089,A9D36_RS14490,WP_080474767.1,4071,5034,-1,PF00672,2,50,3.7e-06,27.2
NZ_LZCF01000089,A9D36_RS14490,WP_080474767.1,4071,5034,-1,PF02518,5,106,2.4e-06,28.0
NZ_LZCF01000089,A9D36_RS14495,WP_064815305.1,5054,5726,-1,PF00072,0,110,1.2e-22,80.2
NZ_LZCF01000089,A9D36_RS14495,WP_064815305.1,5054,5726,-1,PF00486,1,77,2.7e-15,56.2
NZ_LZCF01000089,A9D36_RS14500,WP_064815306.1,5727,6705,-1,PF00561,30,106,2.8e-06,27.2
NZ_LZCF01000089,A9D36_RS14505,WP_064815307.1,6871,7297,-1,PF13905,1,95,6.4e-07,29.6
NZ_LZCF01000089,A9D36_RS14505,WP_064815307.1,6871,7297,-1,PF13098,5,98,7.6e-07,29.6
NZ_LZCF01000089,A9D36_RS14505,WP_064815307.1,6871,7297,-1,PF00578,21,121,0.00013,21.8
NZ_LZCF01000089,A9D36_RS14520,WP_064815310.1,9271,9982,-1,PF00005,1,136,1.2e-28,100.3
NZ_LZCF01000089,A9D36_RS14525,WP_080474768.1,10000,10936,-1,PF02517,10,92,9e-13,48.4
NZ_LZCF01000089,A9D36_RS14535,WP_064815312.1,11577,12750,-1,PF07690,0,320,2.8e-36,125.2
NZ_LZCF01000089,A9D36_RS14540,WP_064815330.1,12876,13179,-1,PF12840,1,60,7.6e-11,41.9
NZ_LZCF01000089,A9D36_RS14540,WP_064815330.1,12876,13179,-1,PF01022,16,46,3.3e-08,33.3
NZ_LZCF01000089,A9D36_RS14545,WP_064815313.1,13505,13868,-1,PF10057,1,109,4.9e-40,136.1
NZ_LZCF01000089,A9D36_RS14560,WP_064815315.1,14826,17445,-1,PF10070,0,752,3.6e-271,901.8
NZ_LZCF01000089,A9D36_RS14565,WP_064815316.1,17459,18977,-1,PF00361,0,286,2.5e-66,223.8
NZ_LZCF01000089,A9D36_RS14565,WP_064815316.1,17459,18977,-1,PF00662,16,56,4.1e-07,30.0
NZ_LZCF01000089,A9D36_RS14570,WP_080474761.1,20023,20647,-1,PF14378,15,189,2.7e-12,46.8
NZ_LZCF01000089,A9D36_RS14570,WP_080474761.1,20023,20647,-1,PF01569,23,133,8.5e-17,61.2
