contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_FOLP01000003,BM004_RS10665,WP_093213150.1,903,2142,1,PF13458,0,340,4.4e-74,250.2
NZ_FOLP01000003,BM004_RS10665,WP_093213150.1,903,2142,1,PF13433,0,348,1.6e-71,241.3
NZ_FOLP01000003,BM004_RS10665,WP_093213150.1,903,2142,1,PF01094,6,286,6.3e-06,25.5
NZ_FOLP01000003,BM004_RS10670,WP_093122752.1,2166,3033,1,PF02653,4,251,9.9e-36,123.3
NZ_FOLP01000003,BM004_RS10675,WP_093122750.1,3088,4186,1,PF02653,7,267,2.3e-34,118.8
NZ_FOLP01000003,BM004_RS10680,WP_093122747.1,4182,4905,1,PF00005,1,137,5.1e-28,98.3
NZ_FOLP01000003,BM004_RS10685,WP_093213152.1,5085,5784,1,PF00005,0,136,9.3e-28,97.5
NZ_FOLP01000003,BM004_RS10690,WP_093213154.1,5802,6792,1,PF03069,203,356,1.3e-22,80.3
NZ_FOLP01000003,BM004_RS10695,WP_093213156.1,6887,7379,1,PF13185,1,137,6.7e-11,42.6
NZ_FOLP01000003,BM004_RS10695,WP_093213156.1,6887,7379,1,PF01590,11,129,1.7e-12,48.1
NZ_FOLP01000003,BM004_RS10700,WP_093213158.1,7375,8698,-1,PF03454,0,72,1.6e-18,66.6
NZ_FOLP01000003,BM004_RS10700,WP_093213158.1,7375,8698,-1,PF00994,2,142,6.6e-30,103.7
NZ_FOLP01000003,BM004_RS10700,WP_093213158.1,7375,8698,-1,PF03453,5,157,5.3e-39,133.5
NZ_FOLP01000003,BM004_RS10705,WP_093213160.1,8702,9353,-1,PF12804,0,157,1.3e-33,116.7
NZ_FOLP01000003,BM004_RS10710,WP_093213162.1,9349,10513,-1,PF04055,0,165,5.8e-27,95.1
NZ_FOLP01000003,BM004_RS10710,WP_093213162.1,9349,10513,-1,PF06463,1,127,2.7e-37,127.5
NZ_FOLP01000003,BM004_RS10710,WP_093213162.1,9349,10513,-1,PF13394,4,93,9.9e-08,32.1
NZ_FOLP01000003,BM004_RS10710,WP_093213162.1,9349,10513,-1,PF13353,12,100,6.3e-09,36.2
NZ_FOLP01000003,BM004_RS10715,WP_093122728.1,10571,11882,-1,PF00144,1,323,9.9e-77,258.4
NZ_FOLP01000003,BM004_RS10725,WP_093213166.1,12887,13523,1,PF02777,0,102,3.7e-36,123.4
NZ_FOLP01000003,BM004_RS10725,WP_093213166.1,12887,13523,1,PF00081,1,82,5.3e-33,113.3
NZ_FOLP01000003,BM004_RS10730,WP_093214045.1,13591,14464,1,PF02535,174,332,1.6e-20,73.6
NZ_FOLP01000003,BM004_RS10735,WP_093213168.1,14507,15941,-1,PF00171,3,462,4.7e-154,513.3
NZ_FOLP01000003,BM004_RS10740,WP_093122721.1,16016,16571,-1,PF00578,0,123,2.6e-23,82.3
NZ_FOLP01000003,BM004_RS10740,WP_093122721.1,16016,16571,-1,PF08534,2,138,5.2e-15,55.4
NZ_FOLP01000003,BM004_RS10745,WP_093213169.1,16701,18276,1,PF00614,1,28,9.4e-05,22.4
NZ_FOLP01000003,BM004_RS10745,WP_093213169.1,16701,18276,1,PF13091,4,128,4e-21,75.3
NZ_FOLP01000003,BM004_RS10750,WP_093213171.1,18285,19062,1,PF04116,1,133,4.3e-23,82.1
NZ_FOLP01000003,BM004_RS10755,WP_093213173.1,19039,19996,1,PF00487,1,238,1.2e-21,77.7
NZ_FOLP01000003,BM004_RS10760,WP_093213174.1,20000,21926,1,PF08545,5,64,5.9e-05,22.8
NZ_FOLP01000003,BM004_RS10760,WP_093213174.1,20000,21926,1,PF08541,6,75,2.1e-07,31.0
NZ_FOLP01000003,BM004_RS10760,WP_093213174.1,20000,21926,1,PF14518,59,176,9.5e-09,35.3
NZ_FOLP01000003,BM004_RS10785,WP_093213179.1,24314,25175,-1,PF10118,1,248,3.7e-73,246.3
NZ_FOLP01000003,BM004_RS10790,WP_093213181.1,25316,25946,1,PF00440,8,47,3.7e-12,45.8
NZ_FOLP01000003,BM004_RS10795,WP_093214047.1,25949,27110,-1,PF12698,1,343,6.1e-37,127.5
NZ_FOLP01000003,BM004_RS10795,WP_093214047.1,25949,27110,-1,PF01061,105,205,1.4e-10,41.0
NZ_FOLP01000003,BM004_RS10800,WP_093213183.1,27109,28294,-1,PF12679,3,280,2.2e-09,37.1
NZ_FOLP01000003,BM004_RS10800,WP_093213183.1,27109,28294,-1,PF12698,5,342,1.2e-35,123.3
NZ_FOLP01000003,BM004_RS10800,WP_093213183.1,27109,28294,-1,PF01061,104,204,7e-10,38.7
NZ_FOLP01000003,BM004_RS10805,WP_093214048.1,28313,29300,-1,PF13437,1,75,4.6e-05,24.1
NZ_FOLP01000003,BM004_RS10805,WP_093214048.1,28313,29300,-1,PF13533,3,47,4.7e-09,35.9
NZ_FOLP01000003,BM004_RS10805,WP_093214048.1,28313,29300,-1,PF16576,15,189,1.6e-09,37.3
NZ_FOLP01000003,BM004_RS10810,WP_093214050.1,29299,30736,-1,PF02321,4,186,5.1e-17,62.3
NZ_FOLP01000003,BM004_RS10815,WP_093213184.1,30791,31514,-1,PF00376,0,31,4.3e-08,32.8
NZ_FOLP01000003,BM004_RS10815,WP_093213184.1,30791,31514,-1,PF13411,1,67,8.6e-19,67.4
NZ_FOLP01000003,BM004_RS10825,WP_093213188.1,33531,33900,-1,PF12680,1,101,7.5e-10,39.4
NZ_FOLP01000003,BM004_RS10830,WP_093214052.1,33901,36418,-1,PF00691,0,73,1.1e-11,44.9
NZ_FOLP01000003,BM004_RS10830,WP_093214052.1,33901,36418,-1,PF03030,1,650,3e-269,895.1
NZ_FOLP01000003,BM004_RS10835,WP_093122682.1,36673,37201,1,PF00719,0,160,3.8e-52,176.3
NZ_FOLP01000003,BM004_RS10845,WP_093122676.1,38121,39276,-1,PF13480,1,135,1.1e-10,41.8
NZ_FOLP01000003,BM004_RS10845,WP_093122676.1,38121,39276,-1,PF04339,2,369,3.8e-148,493.5
NZ_FOLP01000003,BM004_RS10850,WP_093213192.1,39295,40993,1,PF00795,0,252,1e-24,87.3
NZ_FOLP01000003,BM004_RS10850,WP_093213192.1,39295,40993,1,PF02540,1,242,4.1e-75,252.0
NZ_FOLP01000003,BM004_RS10855,WP_093122670.1,40989,41328,1,PF00543,0,102,4.5e-43,146.0
NZ_LGVG01000024,AFM18_RS18320,WP_050448317.1,790,2998,-1,PF00593,1,470,3.1e-66,225.2
NZ_LGVG01000024,AFM18_RS18320,WP_050448317.1,790,2998,-1,PF07715,2,107,5.2e-19,68.8
NZ_LGVG01000024,AFM18_RS18325,WP_050448318.1,3141,4119,1,PF12833,0,78,6.8e-21,74.3
NZ_LGVG01000024,AFM18_RS18325,WP_050448318.1,3141,4119,1,PF00165,5,40,1.9e-09,37.4
NZ_LGVG01000024,AFM18_RS18330,WP_050448319.1,4440,4749,1,PF13663,0,53,1.9e-13,50.3
NZ_LGVG01000024,AFM18_RS18335,WP_050448320.1,4860,5169,1,PF13663,0,53,1.7e-13,50.5
NZ_LGVG01000024,AFM18_RS18340,WP_050448321.1,5275,5584,1,PF13663,0,50,4.9e-12,45.8
NZ_LGVG01000024,AFM18_RS18345,WP_050448322.1,5711,6314,1,PF00440,0,46,1.2e-10,40.9
NZ_LGVG01000024,AFM18_RS18355,WP_050448324.1,7548,8181,-1,PF00440,0,43,2.7e-05,23.9
NZ_LGVG01000024,AFM18_RS18355,WP_050448324.1,7548,8181,-1,PF13977,38,111,2.5e-06,27.7
NZ_LGVG01000024,AFM18_RS18360,WP_050448325.1,8286,10458,-1,PF01274,1,525,2.6e-177,590.3
NZ_LGVG01000024,AFM18_RS18365,WP_050448326.1,10697,11462,1,PF07729,0,124,1.8e-22,80.1
NZ_LGVG01000024,AFM18_RS18365,WP_050448326.1,10697,11462,1,PF00392,1,64,2.9e-17,62.1
NZ_LGVG01000024,AFM18_RS18370,WP_050448327.1,11507,12629,-1,PF16653,0,250,1e-15,58.6
NZ_LGVG01000024,AFM18_RS18370,WP_050448327.1,11507,12629,-1,PF03435,0,99,4.9e-15,55.9
NZ_LGVG01000024,AFM18_RS18370,WP_050448327.1,11507,12629,-1,PF03807,1,81,2.8e-05,24.6
NZ_LGVG01000024,AFM18_RS18375,WP_083447464.1,12831,13224,-1,PF13663,0,54,7.6e-13,48.4
NZ_LGVG01000024,AFM18_RS18380,WP_050448329.1,13492,13897,-1,PF06476,3,107,6.1e-33,113.2
NZ_LGVG01000024,AFM18_RS18385,WP_050448350.1,14003,14930,-1,PF01040,1,251,4.9e-52,176.7
NZ_LGVG01000024,AFM18_RS18390,WP_050448330.1,15031,16234,-1,PF00155,18,359,1.1e-32,113.6
NZ_LGVG01000024,AFM18_RS18390,WP_050448330.1,15031,16234,-1,PF12897,174,400,1.5e-08,33.8
NZ_LGVG01000024,AFM18_RS18395,WP_050448331.1,16392,16878,1,PF13185,10,130,9e-11,42.2
NZ_LGVG01000024,AFM18_RS18395,WP_050448331.1,16392,16878,1,PF01590,42,127,1.5e-09,38.6
NZ_LGVG01000024,AFM18_RS18400,WP_050448332.1,17271,18165,1,PF00701,1,286,1.9e-51,174.5
NZ_LGVG01000024,AFM18_RS18405,WP_050448333.1,18299,19076,1,PF04116,1,133,3.3e-22,79.2
NZ_LGVG01000024,AFM18_RS18410,WP_050448334.1,19059,19968,1,PF00487,5,241,5.8e-25,88.6
NZ_LGVG01000024,AFM18_RS18415,WP_050448335.1,20000,21932,1,PF08541,5,73,6.2e-09,35.9
NZ_LGVG01000024,AFM18_RS18415,WP_050448335.1,20000,21932,1,PF14518,62,177,3.8e-10,39.8
NZ_LGVG01000024,AFM18_RS18425,WP_050448337.1,23004,24288,1,PF07399,1,418,2.7e-181,603.0
NZ_LGVG01000024,AFM18_RS18430,WP_050448351.1,24508,24786,1,PF09723,0,40,2.6e-16,59.4
NC_005126.1,PLU_RS10725,WP_011146401.1,1394,1592,1,PF13617,0,34,1.6e-16,59.7
NC_005126.1,PLU_RS10730,WP_011146402.1,1604,1931,1,PF07027,4,92,1.2e-30,105.8
NC_005126.1,PLU_RS10735,WP_011146403.1,1998,2601,-1,PF02525,1,194,8e-45,153.0
NC_005126.1,PLU_RS10735,WP_011146403.1,1998,2601,-1,PF03358,1,151,6.4e-10,39.0
NC_005126.1,PLU_RS10740,WP_011146404.1,2891,6635,1,PF07717,0,83,4e-19,68.8
NC_005126.1,PLU_RS10740,WP_011146404.1,2891,6635,1,PF11898,1,583,1.3e-234,780.3
NC_005126.1,PLU_RS10740,WP_011146404.1,2891,6635,1,PF04408,1,78,8.5e-18,64.6
NC_005126.1,PLU_RS10740,WP_011146404.1,2891,6635,1,PF00270,7,170,6.3e-08,32.6
NC_005126.1,PLU_RS10740,WP_011146404.1,2891,6635,1,PF00271,9,110,2.3e-11,44.0
NC_005126.1,PLU_RS10755,WP_011146407.1,8302,8665,-1,PF10908,3,109,3.9e-12,46.5
NC_005126.1,PLU_RS10760,WP_041380070.1,8941,9223,1,PF07362,0,67,5.1e-16,58.9
NC_005126.1,PLU_RS10765,WP_011146409.1,9222,9543,1,PF01845,0,99,2.6e-29,101.4
NC_005126.1,PLU_RS10770,WP_011146410.1,9657,10650,-1,PF00419,8,154,1.1e-11,45.2
NC_005126.1,PLU_RS10775,WP_011146411.1,10669,13210,-1,PF00577,0,551,7.2e-196,652.3
NC_005126.1,PLU_RS10775,WP_011146411.1,10669,13210,-1,PF13954,0,146,4.7e-40,137.0
NC_005126.1,PLU_RS10775,WP_011146411.1,10669,13210,-1,PF13953,0,66,6e-21,74.0
NC_005126.1,PLU_RS10780,WP_011146412.1,13247,13922,-1,PF00345,0,124,3.5e-44,149.7
NC_005126.1,PLU_RS10780,WP_011146412.1,13247,13922,-1,PF02753,1,62,1.3e-16,60.6
NC_005126.1,PLU_RS10785,WP_011146413.1,14036,14567,-1,PF00419,0,153,1.5e-18,67.5
NC_005126.1,PLU_RS10785,WP_011146413.1,14036,14567,-1,PF16970,1,143,1.8e-08,34.7
NC_005126.1,PLU_RS10790,WP_011146414.1,15369,16206,1,PF00561,9,158,1.1e-10,41.6
NC_005126.1,PLU_RS10790,WP_011146414.1,15369,16206,1,PF12697,15,215,1.8e-09,38.6
NC_005126.1,PLU_RS10790,WP_011146414.1,15369,16206,1,PF12146,17,238,9.2e-11,41.5
NC_005126.1,PLU_RS10795,WP_011146416.1,16594,17986,-1,PF13520,0,402,2.1e-69,234.4
NC_005126.1,PLU_RS10795,WP_011146416.1,16594,17986,-1,PF00324,6,434,1.3e-13,50.4
NC_005126.1,PLU_RS10805,WP_011146418.1,20000,21149,1,PF08541,2,74,6.9e-10,39.0
NC_005126.1,PLU_RS10810,WP_011146419.1,21228,21471,1,PF00550,1,67,2.3e-15,56.7
NC_005126.1,PLU_RS10815,WP_011146420.1,21545,22499,-1,PF07338,0,56,1.8e-19,69.5
NC_005126.1,PLU_RS10820,WP_011146421.1,23022,24552,1,PF01262,0,213,1.6e-76,256.4
NC_005126.1,PLU_RS10820,WP_011146421.1,23022,24552,1,PF05222,0,136,2e-51,173.8
NC_005126.1,PLU_RS10820,WP_011146421.1,23022,24552,1,PF12769,0,82,5.6e-36,122.9
NC_005126.1,PLU_RS10825,WP_011146422.1,24562,25951,1,PF02233,1,459,1.4e-203,677.0
NC_005126.1,PLU_RS10830,WP_011146423.1,26079,26376,-1,PF05016,0,89,4.4e-16,59.3
NC_005126.1,PLU_RS10840,WP_011146424.1,26767,27793,-1,PF03824,1,281,2.8e-90,302.5
NC_005126.1,PLU_RS10845,WP_011146425.1,28285,28588,1,PF00547,0,99,3.2e-42,142.8
NC_005126.1,PLU_RS10850,WP_011146426.1,28679,29069,1,PF00699,1,97,2.9e-41,139.4
NC_005126.1,PLU_RS10855,WP_011146427.1,29136,30852,1,PF01979,0,340,8.8e-75,252.1
NC_005126.1,PLU_RS10855,WP_011146427.1,29136,30852,1,PF00449,1,121,6.7e-50,168.5
NC_005126.1,PLU_RS10855,WP_011146427.1,29136,30852,1,PF07969,244,464,2.1e-08,34.1
NC_005126.1,PLU_RS10860,WP_011146428.1,30926,31523,1,PF05194,1,79,6.8e-11,42.5
NC_005126.1,PLU_RS10860,WP_011146428.1,30926,31523,1,PF02814,13,59,7e-13,48.0
NC_005126.1,PLU_RS10865,WP_011146429.1,31519,32206,1,PF01730,0,131,3e-20,73.2
NC_005126.1,PLU_RS10870,WP_011146430.1,32258,32894,1,PF02492,2,174,1.3e-30,106.3
NC_005126.1,PLU_RS10875,WP_011146431.1,32890,33856,1,PF01774,0,212,1.4e-44,152.5
NC_005126.1,PLU_RS10880,WP_011146432.1,33913,34858,-1,PF00582,1,141,1.2e-17,64.7
NC_005126.1,PLU_RS10885,WP_011146433.1,34993,35749,-1,PF13545,0,67,8.6e-16,57.7
NC_005126.1,PLU_RS10885,WP_011146433.1,34993,35749,-1,PF00325,0,29,4.4e-14,51.8
NC_005126.1,PLU_RS10885,WP_011146433.1,34993,35749,-1,PF00027,2,85,7e-18,64.5
NC_005126.1,PLU_RS10890,WP_011146434.1,36264,36921,1,PF14681,2,207,2.8e-64,216.4
NC_005126.1,PLU_RS10895,WP_011146435.1,37007,37232,1,PF01361,0,50,0.0002,21.2
NC_005126.1,PLU_RS10900,WP_011146436.1,37272,37941,1,PF13419,0,178,2.1e-38,132.2
NC_005126.1,PLU_RS10900,WP_011146436.1,37272,37941,1,PF12710,0,187,1.6e-09,38.5
NC_005126.1,PLU_RS10900,WP_011146436.1,37272,37941,1,PF00702,1,210,1.8e-18,67.6
NC_005126.1,PLU_RS10900,WP_011146436.1,37272,37941,1,PF13242,3,74,1.6e-13,50.5
NC_005126.1,PLU_RS10905,WP_011146437.1,37937,38414,1,PF04657,2,139,3.1e-26,92.3
NC_005126.1,PLU_RS10910,WP_011146438.1,38413,38851,1,PF04657,1,139,1.5e-26,93.4
NC_005126.1,PLU_RS10910,WP_011146438.1,38413,38851,1,PF00892,2,135,6.3e-07,29.6
NC_005126.1,PLU_RS10915,WP_011146439.1,38866,40045,1,PF14027,1,340,4.9e-55,187.4
NC_005126.1,PLU_RS10920,WP_011146440.1,40373,44228,1,PF00501,1,423,5.1e-90,302.1
NC_005126.1,PLU_RS10920,WP_011146440.1,40373,44228,1,PF00975,1,121,4.5e-23,82.6
NC_005126.1,PLU_RS10920,WP_011146440.1,40373,44228,1,PF00550,4,67,7.9e-14,51.8
NC_005126.1,PLU_RS10925,WP_011146441.1,44314,45271,1,PF04227,0,291,2.2e-110,368.6
NC_005126.1,PLU_RS10930,WP_041380071.1,45568,45976,-1,PF01381,0,53,3.5e-08,33.4
NC_005126.1,PLU_RS25290,WP_011146443.1,46984,50404,1,PF14518,0,163,3.2e-21,75.9
NC_005126.1,PLU_RS25290,WP_011146443.1,46984,50404,1,PF00202,8,403,5.4e-79,265.7
NC_005126.1,PLU_RS25290,WP_011146443.1,46984,50404,1,PF03070,8,125,3.9e-07,30.1
NC_005126.1,PLU_RS25290,WP_011146443.1,46984,50404,1,PF11251,114,233,5.2e-06,26.3
NC_005126.1,PLU_RS24550,WP_011146444.1,50406,51525,1,PF00899,6,234,1.9e-50,171.5
NC_005126.1,PLU_RS10950,WP_082303124.1,51475,52543,1,PF02668,3,268,1.8e-35,123.0
NC_005126.1,PLU_RS10955,WP_011146446.1,52591,53032,1,PF13508,3,75,8.3e-09,35.8
NC_005126.1,PLU_RS10955,WP_011146446.1,52591,53032,1,PF13673,25,111,5.9e-09,35.9
NC_005126.1,PLU_RS10955,WP_011146446.1,52591,53032,1,PF00583,28,117,3.2e-07,30.6
NC_005126.1,PLU_RS10960,WP_011146447.1,53067,53304,1,PF09587,0,59,3.2e-05,23.5
NC_005126.1,PLU_RS10965,WP_041380072.1,53284,54169,1,PF09587,79,257,3.9e-40,137.9
NC_005126.1,PLU_RS10970,WP_011146449.1,54177,55365,1,PF02222,1,160,4.7e-06,26.3
NC_005126.1,PLU_RS10970,WP_011146449.1,54177,55365,1,PF02655,2,161,8.5e-06,25.9
NC_005126.1,PLU_RS10975,WP_011146450.1,55405,56668,1,PF02844,0,90,4.1e-22,78.8
NC_005126.1,PLU_RS10975,WP_011146450.1,55405,56668,1,PF01071,1,193,4.4e-52,176.7
NC_005126.1,PLU_RS10975,WP_011146450.1,55405,56668,1,PF02843,1,79,1.4e-19,70.2
NC_005126.1,PLU_RS10975,WP_011146450.1,55405,56668,1,PF02222,1,73,9.2e-08,31.8
NC_005126.1,PLU_RS10975,WP_011146450.1,55405,56668,1,PF02655,4,159,5.6e-10,39.5
NC_005126.1,PLU_RS10975,WP_011146450.1,55405,56668,1,PF02786,4,180,4.4e-09,36.1
NC_005126.1,PLU_RS10975,WP_011146450.1,55405,56668,1,PF08443,6,85,1.3e-07,31.4
NC_005126.1,PLU_RS10975,WP_011146450.1,55405,56668,1,PF07478,18,174,0.00013,21.6
NC_005126.1,PLU_RS10980,WP_082303125.1,56679,58080,1,PF07690,2,352,8.2e-59,199.3
NC_005126.1,PLU_RS10985,WP_041380073.1,58076,59423,1,PF01425,0,449,9.5e-69,232.5
NC_005126.1,PLU_RS10990,WP_011146453.1,59772,60555,-1,PF01557,35,214,3.6e-07,30.1
NC_005126.1,PLU_RS10995,WP_011146454.1,60624,61524,-1,PF00561,0,257,7.4e-31,107.7
NC_005126.1,PLU_RS10995,WP_011146454.1,60624,61524,-1,PF12697,0,219,1.9e-22,81.0
NC_005126.1,PLU_RS10995,WP_011146454.1,60624,61524,-1,PF12146,5,233,1.3e-12,47.5
NC_005126.1,PLU_RS11000,WP_011146455.1,61640,62525,-1,PF00126,0,60,5.3e-23,80.7
NC_005126.1,PLU_RS11000,WP_011146455.1,61640,62525,-1,PF03466,4,205,4.8e-37,127.4
NC_005126.1,PLU_RS11005,WP_011146456.1,62661,64023,1,PF00355,1,83,1.7e-21,76.0
NC_005126.1,PLU_RS11005,WP_011146456.1,62661,64023,1,PF00848,2,213,1.2e-43,149.5
NZ_AKIW01000087,PMI12_RS21505,WP_007836668.1,215,2060,1,PF13177,0,162,9.1e-40,136.1
NZ_AKIW01000087,PMI12_RS21505,WP_007836668.1,215,2060,1,PF00004,1,125,4.1e-09,37.0
NZ_AKIW01000087,PMI12_RS21505,WP_007836668.1,215,2060,1,PF05496,1,60,7.8e-05,22.5
NZ_AKIW01000087,PMI12_RS21505,WP_007836668.1,215,2060,1,PF12169,2,138,7.2e-24,84.3
NZ_AKIW01000087,PMI12_RS21505,WP_007836668.1,215,2060,1,PF12170,16,137,2e-12,47.3
NZ_AKIW01000087,PMI12_RS21510,WP_007836669.1,2115,2448,1,PF02575,0,90,1.6e-35,121.2
NZ_AKIW01000087,PMI12_RS21515,WP_007836670.1,2457,3048,1,PF01751,0,88,3.4e-06,27.2
NZ_AKIW01000087,PMI12_RS21515,WP_007836670.1,2457,3048,1,PF13662,1,89,4.3e-24,84.8
NZ_AKIW01000087,PMI12_RS21515,WP_007836670.1,2457,3048,1,PF02132,1,40,1.3e-13,50.3
NZ_AKIW01000087,PMI12_RS21520,WP_042673964.1,3063,3456,1,PF01124,0,128,4e-22,78.5
NZ_AKIW01000087,PMI12_RS21525,WP_007836672.1,3593,4631,1,PF09084,3,209,7.3e-21,75.1
NZ_AKIW01000087,PMI12_RS21525,WP_007836672.1,3593,4631,1,PF13379,7,239,3.2e-18,66.4
NZ_AKIW01000087,PMI12_RS21525,WP_007836672.1,3593,4631,1,PF12974,27,195,3.6e-08,33.3
NZ_AKIW01000087,PMI12_RS21525,WP_007836672.1,3593,4631,1,PF00497,34,178,7.4e-08,32.1
NZ_AKIW01000087,PMI12_RS21530,WP_007836673.1,4676,5492,1,PF00005,2,136,6.1e-28,98.0
NZ_AKIW01000087,PMI12_RS21535,WP_007836674.1,5491,6328,1,PF00528,0,184,5.6e-23,81.6
NZ_AKIW01000087,PMI12_RS21540,WP_007836675.1,6398,7583,1,PF06772,0,353,3.3e-99,332.5
NZ_AKIW01000087,PMI12_RS21545,WP_007836676.1,7616,9224,-1,PF01464,6,110,1e-25,89.7
NZ_AKIW01000087,PMI12_RS21545,WP_007836676.1,7616,9224,-1,PF01476,9,44,0.012,15.7
NZ_AKIW01000087,PMI12_RS21550,WP_007836677.1,9220,10009,-1,PF16123,0,80,1.3e-26,92.9
NZ_AKIW01000087,PMI12_RS21550,WP_007836677.1,9220,10009,-1,PF00753,6,197,8.7e-15,55.2
NZ_AKIW01000087,PMI12_RS21555,WP_007836678.1,10028,10778,1,PF08241,47,96,6.6e-09,36.3
NZ_AKIW01000087,PMI12_RS21560,WP_007836679.1,10820,11270,1,PF00075,1,142,9.2e-49,165.3
NZ_AKIW01000087,PMI12_RS21565,WP_007836680.1,11283,12597,-1,PF03454,0,72,3.7e-18,65.5
NZ_AKIW01000087,PMI12_RS21565,WP_007836680.1,11283,12597,-1,PF00994,2,142,2e-30,105.3
NZ_AKIW01000087,PMI12_RS21565,WP_007836680.1,11283,12597,-1,PF03453,6,157,5.7e-42,143.1
