contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_FNDW01000012,BLR30_RS14995,WP_089860707.1,627,1011,1,PF07843,0,102,2.8e-24,85.1
NZ_FNDW01000012,BLR30_RS15000,WP_089860709.1,991,1870,-1,PF00753,7,138,3e-15,56.8
NZ_FNDW01000012,BLR30_RS15005,WP_089860711.1,1897,2275,-1,PF00903,0,128,2.9e-15,56.6
NZ_FNDW01000012,BLR30_RS15005,WP_089860711.1,1897,2275,-1,PF13669,0,92,2.8e-10,40.4
NZ_FNDW01000012,BLR30_RS15010,WP_089860713.1,2429,3518,1,PF03372,2,233,3.9e-09,36.4
NZ_FNDW01000012,BLR30_RS15015,WP_089860715.1,3693,4749,-1,PF18376,2,138,5.2e-09,36.1
NZ_FNDW01000012,BLR30_RS15020,WP_089860716.1,4802,6572,-1,PF00501,1,422,1.6e-98,330.1
NZ_FNDW01000012,BLR30_RS15025,WP_089860718.1,6568,7582,-1,PF01370,0,228,9.1e-28,97.3
NZ_FNDW01000012,BLR30_RS15025,WP_089860718.1,6568,7582,-1,PF07993,0,217,1.4e-24,86.7
NZ_FNDW01000012,BLR30_RS15025,WP_089860718.1,6568,7582,-1,PF13460,0,179,5.9e-16,58.9
NZ_FNDW01000012,BLR30_RS15025,WP_089860718.1,6568,7582,-1,PF16363,0,164,2.1e-15,57.0
NZ_FNDW01000012,BLR30_RS15025,WP_089860718.1,6568,7582,-1,PF02719,0,128,1.2e-10,41.0
NZ_FNDW01000012,BLR30_RS15025,WP_089860718.1,6568,7582,-1,PF05368,0,101,1.9e-05,24.3
NZ_FNDW01000012,BLR30_RS15025,WP_089860718.1,6568,7582,-1,PF01073,1,187,1.4e-20,73.4
NZ_FNDW01000012,BLR30_RS15025,WP_089860718.1,6568,7582,-1,PF04321,2,147,8.1e-10,38.3
NZ_FNDW01000012,BLR30_RS15025,WP_089860718.1,6568,7582,-1,PF08659,2,139,7.8e-06,25.9
NZ_FNDW01000012,BLR30_RS15035,WP_089860722.1,8956,9913,-1,PF08443,2,187,4.4e-10,39.5
NZ_FNDW01000012,BLR30_RS15040,WP_089860724.1,10000,10225,-1,PF12559,6,64,3.4e-09,36.8
NZ_FNDW01000012,BLR30_RS15045,WP_089860726.1,10253,10529,-1,PF12559,9,64,2.1e-08,34.3
NZ_FNDW01000012,BLR30_RS15050,WP_089860728.1,10553,10775,-1,PF12559,6,64,3.7e-08,33.5
NZ_FNDW01000012,BLR30_RS15055,WP_089860730.1,10811,11051,-1,PF12559,13,64,6.1e-05,23.2
NZ_FNDW01000012,BLR30_RS15060,WP_089860732.1,11167,11947,-1,PF12697,0,219,1.2e-12,48.9
NZ_FNDW01000012,BLR30_RS15060,WP_089860732.1,11167,11947,-1,PF00561,1,114,5.7e-17,62.2
NZ_FNDW01000012,BLR30_RS15060,WP_089860732.1,11167,11947,-1,PF12146,7,107,1.7e-06,27.5
NZ_FNDW01000012,BLR30_RS15060,WP_089860732.1,11167,11947,-1,PF03096,80,276,1.7e-10,40.1
NZ_FNDW01000012,BLR30_RS15065,WP_089860734.1,12030,12750,-1,PF03740,0,232,3e-89,298.1
NZ_FNDW01000012,BLR30_RS15070,WP_089860736.1,12937,14197,-1,PF00924,2,206,6.9e-37,127.0
NZ_FNDW01000012,BLR30_RS15075,WP_089860738.1,14471,15653,1,PF13715,0,86,6.8e-08,32.4
NZ_FNDW01000012,BLR30_RS15075,WP_089860738.1,14471,15653,1,PF13620,1,79,2.8e-09,37.1
NZ_FNDW01000012,BLR30_RS15080,WP_089860740.1,15729,16221,1,PF04306,0,137,4.2e-37,127.5
NZ_FNDW01000012,BLR30_RS15090,WP_089860744.1,16714,17356,-1,PF03167,5,151,3e-22,79.3
NZ_FNDW01000012,BLR30_RS15095,WP_089860745.1,17835,18372,1,PF04264,21,146,1.1e-20,74.7
NZ_FNDW01000012,BLR30_RS15110,WP_089860751.1,20333,20837,-1,PF13302,0,137,4e-25,89.1
NZ_FNDW01000012,BLR30_RS15110,WP_089860751.1,20333,20837,-1,PF00583,13,117,2e-09,37.7
NC_010296.1,MAE_RS10490,WP_012265549.1,974,2249,-1,PF04932,2,154,1.2e-12,47.7
NC_010296.1,MAE_RS10500,WP_002796714.1,3175,4120,1,PF13450,0,54,5.4e-14,52.2
NC_010296.1,MAE_RS10500,WP_002796714.1,3175,4120,1,PF01593,0,37,2e-06,27.4
NC_010296.1,MAE_RS10510,WP_012265551.1,4706,6770,1,PF00005,1,137,9.8e-20,71.5
NC_010296.1,MAE_RS10510,WP_012265551.1,4706,6770,1,PF00664,2,262,3.4e-14,53.2
NC_010296.1,MAE_RS10510,WP_012265551.1,4706,6770,1,PF06472,12,267,4.9e-39,134.4
NC_010296.1,MAE_RS10515,WP_012265552.1,6916,7450,1,PF13302,0,137,5.7e-19,69.2
NC_010296.1,MAE_RS10515,WP_012265552.1,6916,7450,1,PF08445,27,84,5.9e-05,22.9
NC_010296.1,MAE_RS10515,WP_012265552.1,6916,7450,1,PF00583,30,117,2.1e-13,50.6
NC_010296.1,MAE_RS29285,WP_012265555.1,10000,10153,-1,PF12559,7,64,1.9e-06,28.0
NC_010296.1,MAE_RS10530,WP_012265558.1,10807,12088,-1,PF01098,137,356,1.3e-63,215.2
NC_010296.1,MAE_RS10535,WP_002782914.1,12306,13368,-1,PF01656,0,125,7.2e-15,55.2
NC_010296.1,MAE_RS10535,WP_002782914.1,12306,13368,-1,PF10609,1,245,3.3e-98,328.0
NC_010296.1,MAE_RS10535,WP_002782914.1,12306,13368,-1,PF01883,1,74,4.9e-24,84.3
NC_010296.1,MAE_RS10535,WP_002782914.1,12306,13368,-1,PF13614,1,129,2e-10,40.9
NC_010296.1,MAE_RS10535,WP_002782914.1,12306,13368,-1,PF09140,1,39,2.6e-07,30.2
NC_010296.1,MAE_RS10540,WP_012265559.1,13677,14469,-1,PF03473,1,131,3.6e-32,111.1
NC_010296.1,MAE_RS10540,WP_012265559.1,13677,14469,-1,PF03476,2,118,2.5e-30,104.8
NC_010296.1,MAE_RS10545,WP_012265560.1,14455,15733,-1,PF00534,12,159,1.3e-17,63.9
NC_010296.1,MAE_RS10545,WP_012265560.1,14455,15733,-1,PF13692,13,131,2.9e-10,40.7
NC_010296.1,MAE_RS10550,WP_012265561.1,15729,16878,-1,PF13692,2,134,7.9e-08,32.8
NC_010296.1,MAE_RS10550,WP_012265561.1,15729,16878,-1,PF00534,7,162,1.2e-16,60.8
NC_010296.1,MAE_RS10555,WP_012265562.1,16920,18237,-1,PF01425,0,451,3.3e-95,319.7
NC_010296.1,MAE_RS27920,WP_002740449.1,18233,18410,-1,PF13318,0,47,3.6e-15,56.1
NC_019751.1,CAL6303_RS21040,WP_015199850.1,1202,2828,1,PF04055,0,165,1.2e-12,48.5
NC_019751.1,CAL6303_RS21045,WP_015199851.1,2918,3107,1,PF14255,0,51,8.4e-23,80.0
NC_019751.1,CAL6303_RS21050,WP_015199852.1,3198,4815,-1,PF16655,1,83,5.4e-17,62.1
NC_019751.1,CAL6303_RS21050,WP_015199852.1,3198,4815,-1,PF09423,3,349,2.5e-79,266.8
NC_019751.1,CAL6303_RS21055,WP_015199853.1,5016,5793,-1,PF03649,0,242,1.1e-84,283.5
NC_019751.1,CAL6303_RS21060,WP_015199854.1,6020,7145,1,PF01041,1,360,2.5e-129,431.7
NC_019751.1,CAL6303_RS21060,WP_015199854.1,6020,7145,1,PF00155,37,193,3.3e-05,23.2
NC_019751.1,CAL6303_RS21060,WP_015199854.1,6020,7145,1,PF00266,47,181,3.1e-05,23.1
NC_019751.1,CAL6303_RS21060,WP_015199854.1,6020,7145,1,PF01053,49,226,8.8e-08,31.1
NC_019751.1,CAL6303_RS21065,WP_015199855.1,7418,8171,-1,PF04481,0,240,5.8e-98,326.9
NC_019751.1,CAL6303_RS21080,WP_015199858.1,10000,10255,1,PF12559,11,63,6.2e-11,42.4
NC_019751.1,CAL6303_RS21085,WP_015199859.1,10258,11230,1,PF08443,0,185,4.3e-05,23.2
NC_019751.1,CAL6303_RS21090,WP_015199860.1,11246,12515,-1,PF13426,0,102,3.1e-08,33.8
NC_019751.1,CAL6303_RS21090,WP_015199860.1,11246,12515,-1,PF02518,1,110,6e-24,84.7
NC_019751.1,CAL6303_RS21090,WP_015199860.1,11246,12515,-1,PF00512,1,58,2.9e-10,40.0
NC_019751.1,CAL6303_RS21090,WP_015199860.1,11246,12515,-1,PF00989,2,113,1.3e-07,31.6
NC_019751.1,CAL6303_RS21095,WP_015199861.1,12511,14356,-1,PF01739,0,193,1e-52,178.5
NC_019751.1,CAL6303_RS21095,WP_015199861.1,12511,14356,-1,PF08448,0,104,5.5e-09,36.3
NC_019751.1,CAL6303_RS21095,WP_015199861.1,12511,14356,-1,PF00989,1,111,1.6e-11,44.2
NC_019751.1,CAL6303_RS21095,WP_015199861.1,12511,14356,-1,PF13188,1,46,4.2e-06,26.7
