contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_AVPH01000041,O166_RS30420,WP_031295581.1,1339,3019,-1,PF00474,0,406,2.1e-118,395.7
NZ_AVPH01000041,O166_RS30425,WP_021475461.1,3018,3327,-1,PF04341,0,89,2.2e-35,120.5
NZ_AVPH01000041,O166_RS30430,WP_021475462.1,3588,4344,1,PF08241,0,96,4.2e-16,59.4
NZ_AVPH01000041,O166_RS30430,WP_021475462.1,3588,4344,1,PF08242,0,99,3.2e-11,43.8
NZ_AVPH01000041,O166_RS30430,WP_021475462.1,3588,4344,1,PF13649,1,97,3e-18,66.3
NZ_AVPH01000041,O166_RS30430,WP_021475462.1,3588,4344,1,PF13847,6,113,3.3e-11,43.2
NZ_AVPH01000041,O166_RS30430,WP_021475462.1,3588,4344,1,PF13489,20,151,1.2e-09,38.2
NZ_AVPH01000041,O166_RS30430,WP_021475462.1,3588,4344,1,PF05401,37,155,2.6e-06,27.2
NZ_AVPH01000041,O166_RS30435,WP_021475463.1,4848,5391,1,PF01292,0,181,9.4e-31,106.8
NZ_AVPH01000041,O166_RS30440,WP_021475464.1,5410,5980,1,PF04264,2,144,3.4e-32,112.0
NZ_AVPH01000041,O166_RS30445,WP_021475465.1,6011,6590,1,PF04264,0,146,1.6e-37,129.3
NZ_AVPH01000041,O166_RS30450,WP_021475466.1,6821,8351,1,PF03372,1,155,2.4e-13,50.2
NZ_AVPH01000041,O166_RS30455,WP_021475467.1,8660,9917,1,PF13450,0,65,8.4e-11,42.0
NZ_AVPH01000041,O166_RS30455,WP_021475467.1,8660,9917,1,PF01593,108,451,2.7e-19,69.8
NZ_AVPH01000041,O166_RS30460,WP_021475468.1,10000,12997,1,PF12902,0,220,1.8e-40,139.2
NZ_AVPH01000041,O166_RS30465,WP_021475469.1,12998,14288,1,PF13450,0,31,2.3e-07,30.9
NZ_AVPH01000041,O166_RS30465,WP_021475469.1,12998,14288,1,PF07992,1,112,6.8e-07,28.8
NZ_AVPH01000041,O166_RS30465,WP_021475469.1,12998,14288,1,PF01134,1,76,4.7e-05,22.6
NZ_AVPH01000041,O166_RS30465,WP_021475469.1,12998,14288,1,PF00890,1,31,0.00017,20.8
NZ_AVPH01000041,O166_RS30465,WP_021475469.1,12998,14288,1,PF01494,3,316,1.3e-27,97.0
NZ_AVPH01000041,O166_RS30475,WP_021475471.1,15418,15994,1,PF18234,0,182,4.8e-91,303.8
NZ_AVPH01000041,O166_RS30480,WP_021475472.1,16059,17157,-1,PF01494,1,326,6.1e-07,29.0
NZ_AVPH01000041,O166_RS30480,WP_021475472.1,16059,17157,-1,PF04820,143,396,1.1e-10,41.0
NZ_AVPH01000041,O166_RS30485,WP_021475473.1,17146,18970,-1,PF17990,0,218,3.4e-71,239.7
NZ_AVPH01000041,O166_RS30485,WP_021475473.1,17146,18970,-1,PF18417,11,135,3e-40,137.4
NZ_AVPH01000041,O166_RS49250,WP_021475474.1,18983,20246,-1,PF12902,1,220,1.7e-34,119.6
NZ_FNOT01000002,BLW63_RS04885,WP_091152015.1,668,1631,-1,PF00753,6,162,4.4e-08,33.4
NZ_FNOT01000002,BLW63_RS04895,WP_091152019.1,2434,3331,-1,PF03466,1,207,7.6e-29,100.6
NZ_FNOT01000002,BLW63_RS04895,WP_091152019.1,2434,3331,-1,PF00126,1,59,5.9e-17,61.4
NZ_FNOT01000002,BLW63_RS04900,WP_091152021.1,3420,4545,1,PF00291,2,291,2.6e-59,201.1
NZ_FNOT01000002,BLW63_RS04905,WP_091152278.1,4579,5884,1,PF01546,0,206,4.9e-31,108.0
NZ_FNOT01000002,BLW63_RS04905,WP_091152278.1,4579,5884,1,PF04389,0,81,2e-06,27.6
NZ_FNOT01000002,BLW63_RS04905,WP_091152278.1,4579,5884,1,PF07687,2,106,3.4e-06,27.0
NZ_FNOT01000002,BLW63_RS04915,WP_091152025.1,6218,6848,1,PF02627,0,74,6e-14,51.9
NZ_FNOT01000002,BLW63_RS04920,WP_091152027.1,6979,8038,-1,PF01408,0,119,8.4e-18,65.3
NZ_FNOT01000002,BLW63_RS04920,WP_091152027.1,6979,8038,-1,PF02894,36,69,4.9e-07,29.8
NZ_FNOT01000002,BLW63_RS04925,WP_091152029.1,8249,8978,-1,PF16113,16,186,5e-08,32.8
NZ_FNOT01000002,BLW63_RS04925,WP_091152029.1,8249,8978,-1,PF00378,21,231,1.3e-31,109.8
NZ_FNOT01000002,BLW63_RS04935,WP_091152034.1,10000,11209,-1,PF12902,0,221,1.8e-34,119.6
NZ_FNOT01000002,BLW63_RS04940,WP_091152036.1,11359,12043,-1,PF09335,0,119,3.5e-16,59.8
NZ_FNOT01000002,BLW63_RS04945,WP_091152280.1,12331,13969,-1,PF00245,4,317,2.1e-16,59.9
NZ_FNOT01000002,BLW63_RS04955,WP_091152040.1,15719,20297,1,PF00702,0,210,1.4e-29,103.9
NZ_FNOT01000002,BLW63_RS04955,WP_091152040.1,15719,20297,1,PF00689,1,175,8.6e-18,64.7
NZ_FNOT01000002,BLW63_RS04955,WP_091152040.1,15719,20297,1,PF00122,2,179,9.2e-35,119.8
NZ_FNOT01000002,BLW63_RS04955,WP_091152040.1,15719,20297,1,PF13246,20,91,1e-08,35.1
NZ_FOFT01000017,BMZ12_RS37750,WP_090071751.1,1651,2380,1,PF00005,0,136,2e-31,109.3
NZ_FOFT01000017,BMZ12_RS37755,WP_090071754.1,2379,4287,1,PF02687,0,96,2.1e-06,28.1
NZ_FOFT01000017,BMZ12_RS37760,WP_090071756.1,4677,7137,1,PF08376,4,221,1.5e-23,84.5
NZ_FOFT01000017,BMZ12_RS37760,WP_090071756.1,4677,7137,1,PF02518,6,109,3.7e-10,40.3
NZ_FOFT01000017,BMZ12_RS37765,WP_030475700.1,7162,7600,1,PF03259,1,90,1.7e-26,91.8
NZ_FOFT01000017,BMZ12_RS37770,WP_090071758.1,7596,7974,1,PF05331,1,113,8.4e-30,102.9
NZ_FOFT01000017,BMZ12_RS37775,WP_090071760.1,7954,8563,1,PF03029,0,240,1.1e-28,100.7
NZ_FOFT01000017,BMZ12_RS37780,WP_090071762.1,8614,9976,-1,PF01212,0,292,7.7e-70,235.5
NZ_FOFT01000017,BMZ12_RS37785,WP_090071896.1,10000,11038,-1,PF11991,37,355,3.2e-19,69.6
NZ_FOFT01000017,BMZ12_RS37790,WP_090071764.1,11468,12425,-1,PF01186,134,191,1.2e-10,41.4
NZ_FOFT01000017,BMZ12_RS37795,WP_090071766.1,12400,13735,-1,PF01593,0,295,9.3e-29,101.0
NZ_FOFT01000017,BMZ12_RS37795,WP_090071766.1,12400,13735,-1,PF13450,0,67,5e-11,42.7
NZ_FOFT01000017,BMZ12_RS37795,WP_090071766.1,12400,13735,-1,PF01266,0,34,7.2e-09,35.7
NZ_FOFT01000017,BMZ12_RS37795,WP_090071766.1,12400,13735,-1,PF00070,0,35,0.00017,22.0
NZ_FOFT01000017,BMZ12_RS37795,WP_090071766.1,12400,13735,-1,PF00890,1,40,1.9e-05,24.0
NZ_FOFT01000017,BMZ12_RS37800,WP_090071768.1,13734,14559,-1,PF00535,1,166,9.9e-27,93.8
NZ_FOFT01000017,BMZ12_RS37800,WP_090071768.1,13734,14559,-1,PF13641,2,137,2.2e-08,34.3
NZ_FOFT01000017,BMZ12_RS37805,WP_090071770.1,14796,16239,1,PF02397,0,180,3.2e-59,199.7
NZ_FOFT01000017,BMZ12_RS37805,WP_090071770.1,14796,16239,1,PF13727,4,136,1.4e-07,31.7
NZ_FOFT01000017,BMZ12_RS37810,WP_090071773.1,16328,17456,1,PF14885,0,269,6.2e-62,210.0
NZ_FOFT01000017,BMZ12_RS37815,WP_090071775.1,17436,18534,-1,PF13439,1,167,3.4e-16,59.7
NZ_FOFT01000017,BMZ12_RS37815,WP_090071775.1,17436,18534,-1,PF13692,2,134,6.1e-27,94.7
NZ_FOFT01000017,BMZ12_RS37815,WP_090071775.1,17436,18534,-1,PF00534,15,171,1.1e-23,83.7
NZ_FOFT01000017,BMZ12_RS37820,WP_090071777.1,18530,19598,-1,PF13692,1,132,6.7e-33,114.0
NZ_FOFT01000017,BMZ12_RS37820,WP_090071777.1,18530,19598,-1,PF13579,1,160,3.2e-21,76.5
NZ_FOFT01000017,BMZ12_RS37820,WP_090071777.1,18530,19598,-1,PF13524,1,82,1.7e-09,37.9
