contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_MBPE01000064,BCM26_RS19365,BCM26_RS19365,0,118,-1,PF01527,2,39,3.7e-07,30.4
NZ_MBPE01000064,BCM26_RS19380,WP_004399108.1,890,1994,1,PF01510,4,126,2.3e-18,66.8
NZ_MBPE01000064,BCM26_RS19385,WP_003246119.1,2081,2294,1,PF10960,0,63,9.2e-24,83.2
NZ_MBPE01000064,BCM26_RS19390,WP_004399099.1,2304,2571,1,PF04688,0,73,4.2e-29,100.5
NZ_MBPE01000064,BCM26_RS19395,WP_009967541.1,2626,3073,-1,PF02600,2,143,1.6e-14,54.6
NZ_MBPE01000064,BCM26_RS19400,BCM26_RS19400,3069,4338,-1,PF13704,0,91,1.2e-07,32.2
NZ_MBPE01000064,BCM26_RS19400,BCM26_RS19400,3069,4338,-1,PF00535,3,108,1.7e-18,67.0
NZ_MBPE01000064,BCM26_RS19400,BCM26_RS19400,3069,4338,-1,PF10111,25,113,7.4e-10,38.7
NZ_MBPE01000064,BCM26_RS19405,WP_003230920.1,4337,4751,-1,PF13098,3,108,6.8e-12,45.8
NZ_MBPE01000064,BCM26_RS19405,WP_003230920.1,4337,4751,-1,PF00085,5,102,2.1e-14,53.4
NZ_MBPE01000064,BCM26_RS19420,WP_009967545.1,7389,7707,-1,PF06713,0,35,2.9e-05,24.1
NZ_MBPE01000064,BCM26_RS19425,WP_064627413.1,7808,9059,-1,PF00817,0,149,4.9e-25,88.3
NZ_MBPE01000064,BCM26_RS19425,WP_064627413.1,7808,9059,-1,PF11798,0,32,3.1e-08,33.5
NZ_MBPE01000064,BCM26_RS19425,WP_064627413.1,7808,9059,-1,PF11799,9,114,3.6e-18,66.4
NZ_MBPE01000064,BCM26_RS19430,WP_041336419.1,9051,9384,-1,PF08863,0,93,2.8e-27,94.6
NZ_MBPE01000064,BCM26_RS19445,WP_041336414.1,10296,10764,-1,PF16219,0,123,3e-37,127.6
NZ_MBPE01000064,BCM26_RS19455,WP_014479996.1,11398,11932,-1,PF13302,1,137,1.9e-16,61.0
NZ_MBPE01000064,BCM26_RS19455,WP_014479996.1,11398,11932,-1,PF13508,3,75,1.5e-06,28.5
NZ_MBPE01000064,BCM26_RS19455,WP_014479996.1,11398,11932,-1,PF00583,12,117,2.2e-11,44.0
NZ_MBPE01000064,BCM26_RS19455,WP_014479996.1,11398,11932,-1,PF13673,19,112,2.7e-07,30.6
NZ_MBPE01000064,BCM26_RS19455,WP_014479996.1,11398,11932,-1,PF13420,31,152,4.3e-11,43.2
NZ_MBPE01000064,BCM26_RS19460,WP_041336412.1,11991,12546,-1,PF14568,1,121,9.9e-32,109.9
NZ_MBPE01000064,BCM26_RS19460,WP_041336412.1,11991,12546,-1,PF09346,4,131,9.2e-18,64.9
NZ_MBPE01000064,BCM26_RS19465,WP_014479998.1,12601,13060,-1,PF09346,0,102,7e-06,26.5
NZ_MBPE01000064,BCM26_RS19465,WP_014479998.1,12601,13060,-1,PF14568,1,92,1.1e-06,29.1
NZ_MBPE01000064,BCM26_RS19465,WP_014479998.1,12601,13060,-1,PF14567,2,114,1.1e-07,31.6
NZ_MBPE01000064,BCM26_RS19470,WP_041336410.1,13149,13608,-1,PF09346,0,131,6.4e-11,42.8
NZ_MBPE01000064,BCM26_RS19470,WP_041336410.1,13149,13608,-1,PF14567,1,138,3.6e-36,123.9
NZ_MBPE01000064,BCM26_RS19470,WP_041336410.1,13149,13608,-1,PF14568,1,121,2.5e-12,47.3
NZ_MBPE01000064,BCM26_RS19475,WP_041336409.1,13617,15420,-1,PF04740,0,201,5.6e-55,186.2
NZ_MBPE01000064,BCM26_RS19475,WP_041336409.1,13617,15420,-1,PF14411,0,76,2.9e-29,101.0
NZ_MBPE01000064,BCM26_RS19480,WP_041336408.1,15552,16086,-1,PF14568,0,120,3.5e-10,40.4
NZ_MBPE01000064,BCM26_RS19480,WP_041336408.1,15552,16086,-1,PF09346,0,131,7.5e-10,39.3
NZ_MBPE01000064,BCM26_RS19480,WP_041336408.1,15552,16086,-1,PF14567,16,108,9.2e-08,31.9
NZ_MBPE01000064,BCM26_RS19485,WP_041336407.1,16176,16428,-1,PF10882,5,73,0.0001,22.3
NZ_KV917380.1,BK583_RS11230,WP_055735225.1,1561,1972,-1,PF13789,1,106,4.7e-24,84.7
NZ_KV917380.1,BK583_RS11245,WP_055735223.1,3845,5621,-1,PF01964,0,417,7.4e-204,677.2
NZ_KV917380.1,BK583_RS11245,WP_055735223.1,3845,5621,-1,PF13667,1,81,3.5e-31,106.8
NZ_KV917380.1,BK583_RS11250,WP_038479641.1,6032,6461,-1,PF00085,14,97,1.5e-10,40.9
NZ_KV917380.1,BK583_RS11250,WP_038479641.1,6032,6461,-1,PF13728,126,204,2.3e-06,27.6
NZ_KV917380.1,BK583_RS11255,WP_055735222.1,6466,8617,-1,PF00005,0,137,3.6e-32,111.7
NZ_KV917380.1,BK583_RS11255,WP_055735222.1,6466,8617,-1,PF00664,1,273,3.5e-22,79.4
NZ_KV917380.1,BK583_RS11255,WP_055735222.1,6466,8617,-1,PF03412,2,130,1.6e-24,86.2
NZ_KV917380.1,BK583_RS11260,WP_055735221.1,8606,9875,-1,PF00535,0,100,6.2e-20,71.7
NZ_KV917380.1,BK583_RS11260,WP_055735221.1,8606,9875,-1,PF13704,0,84,5.5e-09,36.4
NZ_KV917380.1,BK583_RS11260,WP_055735221.1,8606,9875,-1,PF10111,3,124,3.7e-08,33.2
NZ_KV917380.1,BK583_RS11270,WP_055735220.1,10478,10847,-1,PF06486,1,79,1.1e-20,74.1
NZ_KV917380.1,BK583_RS11275,WP_055735219.1,10849,12712,-1,PF02687,0,84,2.5e-10,40.7
NZ_KV917380.1,BK583_RS11280,WP_038479623.1,12698,13466,-1,PF00005,0,136,5.7e-34,117.6
NZ_KV917380.1,BK583_RS11285,WP_055735218.1,13628,14327,1,PF00072,0,111,1e-25,90.1
NZ_KV917380.1,BK583_RS11285,WP_055735218.1,13628,14327,1,PF00486,3,77,2.1e-26,91.8
NZ_KV917380.1,BK583_RS11290,WP_055735217.1,14316,15711,1,PF00512,1,60,1.2e-12,47.6
NZ_KV917380.1,BK583_RS11290,WP_055735217.1,14316,15711,1,PF02518,2,108,7.3e-15,55.5
NZ_KV917380.1,BK583_RS11300,WP_055735215.1,16827,17559,-1,PF00005,0,137,1.2e-29,103.6
NZ_KV917380.1,BK583_RS11300,WP_055735215.1,16827,17559,-1,PF13304,228,300,1.5e-08,34.8
NZ_KV917380.1,BK583_RS11310,WP_052007579.1,18375,18828,-1,PF05573,2,126,1.4e-13,51.3
NZ_JXHO01000002,B4072_RS00660,WP_019712883.1,1907,3842,1,PF13229,1,147,5e-07,29.7
NZ_JXHO01000002,B4072_RS00660,WP_019712883.1,1907,3842,1,PF09992,2,168,9.8e-26,91.0
NZ_JXHO01000002,B4072_RS00660,WP_019712883.1,1907,3842,1,PF12708,2,209,9.4e-11,42.0
NZ_JXHO01000002,B4072_RS00665,WP_041351121.1,4016,5072,1,PF01510,4,125,6.1e-18,65.5
NZ_JXHO01000002,B4072_RS00670,WP_003246119.1,5159,5372,1,PF10960,0,63,9.2e-24,83.2
NZ_JXHO01000002,B4072_RS00675,WP_004399099.1,5382,5649,1,PF04688,0,73,4.2e-29,100.5
NZ_JXHO01000002,B4072_RS00680,WP_009967541.1,5704,6151,-1,PF02600,2,143,1.6e-14,54.6
NZ_JXHO01000002,B4072_RS00685,WP_041351120.1,6147,7416,-1,PF13704,0,91,2.6e-07,31.1
NZ_JXHO01000002,B4072_RS00685,WP_041351120.1,6147,7416,-1,PF00535,3,107,2e-18,66.7
NZ_JXHO01000002,B4072_RS00685,WP_041351120.1,6147,7416,-1,PF10111,25,113,2e-09,37.4
NZ_JXHO01000002,B4072_RS00690,WP_003230920.1,7415,7829,-1,PF13098,3,108,6.8e-12,45.8
NZ_JXHO01000002,B4072_RS00690,WP_003230920.1,7415,7829,-1,PF00085,5,102,2.1e-14,53.4
NZ_JXHO01000002,B4072_RS00695,WP_003246186.1,7825,9943,-1,PF00664,0,273,7e-35,121.0
NZ_JXHO01000002,B4072_RS00695,WP_003246186.1,7825,9943,-1,PF03412,1,131,2.6e-33,114.7
NZ_JXHO01000002,B4072_RS00695,WP_003246186.1,7825,9943,-1,PF00005,1,135,5.5e-26,91.7
NZ_JXHO01000002,B4072_RS00695,WP_003246186.1,7825,9943,-1,PF00158,6,50,0.00016,21.4
NZ_JXHO01000002,B4072_RS00705,WP_009967545.1,10466,10784,-1,PF06713,0,35,2.9e-05,24.1
NZ_JXHO01000002,B4072_RS00710,B4072_RS00710,10885,12134,-1,PF00817,0,149,1.3e-24,86.9
NZ_JXHO01000002,B4072_RS00710,B4072_RS00710,10885,12134,-1,PF11798,0,32,2.7e-08,33.6
NZ_JXHO01000002,B4072_RS00710,B4072_RS00710,10885,12134,-1,PF11799,9,114,2.1e-18,67.1
NZ_JXHO01000002,B4072_RS00715,WP_041351119.1,12126,12459,-1,PF08863,0,93,1.7e-27,95.3
NZ_JXHO01000002,B4072_RS00735,WP_080316884.1,14386,14863,-1,PF14568,4,121,5.8e-18,65.5
NZ_JXHO01000002,B4072_RS00735,WP_080316884.1,14386,14863,-1,PF09346,7,132,2.6e-15,57.0
NZ_JXHO01000002,B4072_RS00740,WP_041056186.1,14963,15452,-1,PF04634,0,145,5.2e-48,162.8
NZ_JXHO01000002,B4072_RS00745,WP_041056183.1,15458,17369,-1,PF04740,0,201,1.9e-53,181.2
NZ_JXHO01000002,B4072_RS00745,WP_041056183.1,15458,17369,-1,PF13930,0,131,1.7e-43,147.9
NZ_JXHO01000002,B4072_RS00750,WP_041351118.1,17468,18026,-1,PF09346,0,105,2.8e-11,43.9
NZ_JXHO01000002,B4072_RS00760,WP_041351117.1,18523,19414,1,PF00565,0,108,1.3e-33,115.7
NZ_JXHO01000002,B4072_RS00760,WP_041351117.1,18523,19414,1,PF05901,0,38,2.5e-13,50.4
NZ_JXHO01000002,B4072_RS00765,B4072_RS00765,19577,20048,-1,PF14568,0,121,5.6e-28,97.8
NZ_JXHO01000002,B4072_RS00765,B4072_RS00765,19577,20048,-1,PF09346,1,132,3.5e-17,63.1
NZ_JXHO01000002,B4072_RS00765,B4072_RS00765,19577,20048,-1,PF14567,16,136,2.9e-10,40.0
NZ_CP003923.1,BLEG1_RS08515,WP_038479607.1,540,1476,-1,PF02518,0,109,6.8e-22,78.1
NZ_CP003923.1,BLEG1_RS08515,WP_038479607.1,540,1476,-1,PF00512,0,67,1.3e-15,57.2
NZ_CP003923.1,BLEG1_RS08520,WP_038485598.1,1472,2171,-1,PF00486,1,77,9.3e-28,96.1
NZ_CP003923.1,BLEG1_RS08520,WP_038485598.1,1472,2171,-1,PF00072,1,111,1.6e-24,86.2
NZ_CP003923.1,BLEG1_RS08525,WP_038479610.1,2372,3698,1,PF13229,1,139,1.6e-08,34.6
NZ_CP003923.1,BLEG1_RS08535,WP_038479617.1,4509,5904,-1,PF00512,1,60,1.2e-12,47.6
NZ_CP003923.1,BLEG1_RS08535,WP_038479617.1,4509,5904,-1,PF02518,2,108,4e-15,56.3
NZ_CP003923.1,BLEG1_RS08540,WP_038479620.1,5893,6592,-1,PF00072,0,111,6.4e-26,90.7
NZ_CP003923.1,BLEG1_RS08540,WP_038479620.1,5893,6592,-1,PF00486,3,77,2.1e-26,91.8
NZ_CP003923.1,BLEG1_RS08545,WP_038479623.1,6754,7522,1,PF00005,0,136,5.7e-34,117.6
NZ_CP003923.1,BLEG1_RS08550,WP_038479626.1,7508,9371,1,PF02687,0,84,5.3e-10,39.6
NZ_CP003923.1,BLEG1_RS08555,WP_038479629.1,9373,9742,1,PF06486,1,79,1.2e-20,73.9
NZ_CP003923.1,BLEG1_RS08565,WP_084167436.1,10340,11612,1,PF00535,0,101,8.8e-21,74.4
NZ_CP003923.1,BLEG1_RS08565,WP_084167436.1,10340,11612,1,PF13704,0,88,2.7e-09,37.4
NZ_CP003923.1,BLEG1_RS08565,WP_084167436.1,10340,11612,1,PF10111,2,120,1.6e-09,37.7
NZ_CP003923.1,BLEG1_RS08570,WP_038479638.1,11601,13752,1,PF00005,0,137,9.9e-32,110.3
NZ_CP003923.1,BLEG1_RS08570,WP_038479638.1,11601,13752,1,PF00664,1,273,6.6e-22,78.5
NZ_CP003923.1,BLEG1_RS08570,WP_038479638.1,11601,13752,1,PF03412,2,130,1e-24,86.9
NZ_CP003923.1,BLEG1_RS08575,WP_038479641.1,13757,14186,1,PF00085,14,97,1.5e-10,40.9
NZ_CP003923.1,BLEG1_RS08575,WP_038479641.1,13757,14186,1,PF13728,126,204,2.3e-06,27.6
NZ_CP003923.1,BLEG1_RS08580,WP_038479644.1,14597,16373,1,PF01964,0,417,4.3e-204,678.0
