contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_ANBG01000404,D475_RS0125355,WP_017621308.1,725,1391,1,PF17754,1,93,1.1e-06,28.5
NZ_ANBG01000404,D475_RS0125355,WP_017621308.1,725,1391,1,PF00440,2,47,1.3e-12,47.3
NZ_ANBG01000404,D475_RS0125360,WP_017621309.1,1798,3091,1,PF00480,1,290,2.9e-46,158.3
NZ_ANBG01000404,D475_RS0125360,WP_017621309.1,1798,3091,1,PF09339,8,51,3.4e-05,23.6
NZ_ANBG01000404,D475_RS0125365,WP_083920108.1,3087,4443,-1,PF04542,1,70,1.2e-10,41.0
NZ_ANBG01000404,D475_RS0125365,WP_083920108.1,3087,4443,-1,PF08281,2,53,6.7e-08,32.1
NZ_ANBG01000404,D475_RS0125370,WP_017621311.1,4367,4721,-1,PF03795,0,77,4.8e-13,49.3
NZ_ANBG01000404,D475_RS0125380,WP_017621313.1,5452,5920,1,PF07681,0,83,4.3e-15,56.1
NZ_ANBG01000404,D475_RS0125385,WP_017621314.1,6063,6396,-1,PF03992,0,77,1.2e-20,73.3
NZ_ANBG01000404,D475_RS0125390,WP_017621315.1,6492,7347,-1,PF00126,0,60,1.9e-19,69.4
NZ_ANBG01000404,D475_RS0125390,WP_017621315.1,6492,7347,-1,PF03466,6,207,1.7e-28,99.4
NZ_ANBG01000404,D475_RS0125395,WP_026126324.1,7417,8017,1,PF01370,0,87,1.1e-06,28.3
NZ_ANBG01000404,D475_RS0125395,WP_026126324.1,7417,8017,1,PF04321,0,58,3.4e-05,23.1
NZ_ANBG01000404,D475_RS0125395,WP_026126324.1,7417,8017,1,PF13561,41,179,4.2e-12,46.1
NZ_ANBG01000404,D475_RS0125415,WP_017621320.1,9305,9554,1,PF00392,1,64,1.9e-17,62.7
NZ_ANBG01000404,D475_RS36850,WP_083920109.1,9640,9889,1,PF00392,1,64,3.7e-15,55.3
NZ_ANBG01000404,D475_RS36855,WP_017621321.1,10000,11890,-1,PF00583,44,103,2e-05,24.8
NZ_ANBG01000404,D475_RS36855,WP_017621321.1,10000,11890,-1,PF00082,55,284,6.2e-16,58.5
NZ_ANBG01000404,D475_RS0125430,WP_033302031.1,12214,14281,-1,PF18047,1,108,8e-24,84.2
NZ_ANBG01000404,D475_RS0125430,WP_033302031.1,12214,14281,-1,PF18065,4,115,1.5e-38,131.3
NZ_ANBG01000404,D475_RS0125430,WP_033302031.1,12214,14281,-1,PF00082,52,289,1.5e-29,103.2
NZ_CM001985.1,DZEMK19_RS18430,WP_038914723.1,2233,3301,1,PF13483,3,163,6.9e-12,45.5
NZ_CM001985.1,DZEMK19_RS18430,WP_038914723.1,2233,3301,1,PF12706,20,201,3.2e-11,43.1
NZ_CM001985.1,DZEMK19_RS18435,WP_038914724.1,3389,4262,1,PF01261,3,210,3.9e-36,124.5
NZ_CM001985.1,DZEMK19_RS18440,WP_016942973.1,4359,5133,1,PF08220,0,57,9.3e-19,66.9
NZ_CM001985.1,DZEMK19_RS18440,WP_016942973.1,4359,5133,1,PF08279,0,46,2.9e-07,30.3
NZ_CM001985.1,DZEMK19_RS18440,WP_016942973.1,4359,5133,1,PF00455,1,159,7.2e-37,126.8
NZ_CM001985.1,DZEMK19_RS18445,WP_038914725.1,5266,6490,-1,PF00202,9,406,1.6e-133,445.3
NZ_CM001985.1,DZEMK19_RS18450,WP_023640890.1,6623,7199,-1,PF00117,0,187,1.1e-54,185.2
NZ_CM001985.1,DZEMK19_RS18450,WP_023640890.1,6623,7199,-1,PF07722,101,216,4.6e-09,36.3
NZ_CM001985.1,DZEMK19_RS18455,WP_038914726.1,7435,8641,-1,PF12833,0,81,2.5e-18,66.1
NZ_CM001985.1,DZEMK19_RS18455,WP_038914726.1,7435,8641,-1,PF00165,2,42,1.6e-06,28.1
NZ_CM001985.1,DZEMK19_RS18470,WP_038914727.1,10000,11965,-1,PF18047,0,110,8.4e-29,100.2
NZ_CM001985.1,DZEMK19_RS18470,WP_038914727.1,10000,11965,-1,PF00082,0,288,2.3e-27,96.1
NZ_CM001985.1,DZEMK19_RS18470,WP_038914727.1,10000,11965,-1,PF18065,9,115,1.7e-32,111.8
NZ_CM001985.1,DZEMK19_RS18475,WP_012886386.1,12466,13093,-1,PF00182,101,157,6.7e-16,58.9
NZ_CM001985.1,DZEMK19_RS18480,WP_019845166.1,13306,14449,-1,PF07690,1,352,6.4e-21,74.7
NZ_CM001985.1,DZEMK19_RS18490,WP_012886389.1,15755,16787,-1,PF02931,21,214,3.8e-17,62.4
NZ_CM001985.1,DZEMK19_RS18495,WP_050570961.1,17163,17937,-1,PF00717,0,68,2.4e-06,27.4
NZ_CM001985.1,DZEMK19_RS18500,WP_026595082.1,18074,18341,1,PF13693,0,69,7.4e-29,99.6
NZ_CM001985.1,DZEMK19_RS18505,WP_038914729.1,18364,20407,1,PF09299,1,61,2.7e-16,59.3
