contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_FO818637.1,XBW1_RS14505,WP_038208855.1,1254,1887,-1,PF00753,3,187,1.4e-26,93.8
NZ_FO818637.1,XBW1_RS14510,WP_038179991.1,1932,2481,-1,PF05951,2,153,2.6e-61,205.8
NZ_FO818637.1,XBW1_RS14510,WP_038179991.1,1932,2481,-1,PF08291,35,111,2e-12,47.2
NZ_FO818637.1,XBW1_RS14515,WP_038225121.1,2726,3164,-1,PF01797,1,121,6.6e-39,132.8
NZ_FO818637.1,XBW1_RS14520,WP_046337182.1,3522,5241,-1,PF01471,1,54,3.4e-08,33.6
NZ_FO818637.1,XBW1_RS14520,WP_046337182.1,3522,5241,-1,PF03734,3,139,3.2e-28,99.0
NZ_FO818637.1,XBW1_RS14525,WP_038218461.1,5488,6202,-1,PF03767,18,229,8.6e-36,123.7
NZ_FO818637.1,XBW1_RS14530,WP_046337183.1,6363,7227,-1,PF00126,2,59,1.1e-14,54.1
NZ_FO818637.1,XBW1_RS14540,WP_046337184.1,8922,10020,1,PF01142,16,197,1.2e-35,123.1
NZ_FO818637.1,XBW1_RS14545,WP_082243346.1,10000,11380,1,PF04055,0,167,1.2e-17,64.8
NZ_FO818637.1,XBW1_RS14550,WP_038218467.1,11376,12006,1,PF13640,2,90,1.3e-06,29.2
NZ_FO818637.1,XBW1_RS14555,WP_052726082.1,12020,12632,1,PF13640,1,92,7e-09,36.5
NZ_FO818637.1,XBW1_RS14555,WP_052726082.1,12020,12632,1,PF13661,3,78,3.1e-10,40.6
NZ_FO818637.1,XBW1_RS14560,WP_046337186.1,12659,13970,1,PF00275,1,416,2e-40,138.8
NZ_FO818637.1,XBW1_RS14565,WP_038218471.1,13993,15088,1,PF00155,27,313,6.2e-25,88.1
NZ_FO818637.1,XBW1_RS14570,WP_038218472.1,15090,15786,1,PF13350,22,177,2.3e-23,83.4
NZ_FO818637.1,XBW1_RS22775,WP_080718384.1,16429,17605,1,PF07690,19,353,3.3e-17,62.5
NZ_FO818637.1,XBW1_RS14590,WP_082243347.1,19057,20425,-1,PF02222,0,166,4.6e-07,29.6
NZ_FO818637.1,XBW1_RS14590,WP_082243347.1,19057,20425,-1,PF07478,2,88,6.1e-07,29.2
NZ_FO818637.1,XBW1_RS14590,WP_082243347.1,19057,20425,-1,PF02655,2,86,6.3e-06,26.3
NZ_LLZU01000018,AQ490_RS14780,WP_051087523.1,1021,1519,-1,PF00582,2,141,2.9e-19,70.0
NZ_LLZU01000018,AQ490_RS14785,WP_058032879.1,1617,2415,-1,PF13561,0,233,5.7e-65,219.1
NZ_LLZU01000018,AQ490_RS14785,WP_058032879.1,1617,2415,-1,PF00106,1,192,8.4e-53,178.7
NZ_LLZU01000018,AQ490_RS14785,WP_058032879.1,1617,2415,-1,PF08659,3,116,2.2e-09,37.5
NZ_LLZU01000018,AQ490_RS14790,WP_026220310.1,2462,3233,-1,PF00005,2,136,2.4e-29,102.6
NZ_LLZU01000018,AQ490_RS14790,WP_026220310.1,2462,3233,-1,PF13304,230,300,1.6e-09,38.0
NZ_LLZU01000018,AQ490_RS14795,WP_018384583.1,3229,3994,-1,PF02361,2,211,3.7e-30,105.2
NZ_LLZU01000018,AQ490_RS14800,AQ490_RS14800,3997,5040,-1,PF01891,0,207,1.2e-59,201.6
NZ_LLZU01000018,AQ490_RS14805,WP_026220311.1,5393,6083,-1,PF02627,6,80,7.7e-10,38.7
NZ_LLZU01000018,AQ490_RS14810,WP_078500566.1,6333,7260,-1,PF00440,1,47,2.5e-05,24.0
NZ_LLZU01000018,AQ490_RS14820,WP_018384587.1,8734,9967,1,PF07690,0,326,5.9e-37,127.4
NZ_LLZU01000018,AQ490_RS14820,WP_018384587.1,8734,9967,1,PF06779,2,360,2.9e-08,33.4
NZ_LLZU01000018,AQ490_RS14825,WP_018384588.1,10000,10387,-1,PF01242,0,121,7.1e-30,103.5
NZ_LLZU01000018,AQ490_RS14835,WP_040911641.1,11487,12081,1,PF01022,1,46,1.1e-07,31.6
NZ_LLZU01000018,AQ490_RS14835,WP_040911641.1,11487,12081,1,PF12840,2,60,1e-16,60.7
NZ_LLZU01000018,AQ490_RS14835,WP_040911641.1,11487,12081,1,PF13412,3,48,3.3e-07,29.7
NZ_LLZU01000018,AQ490_RS14835,WP_040911641.1,11487,12081,1,PF01047,5,48,3.1e-06,27.0
NZ_LLZU01000018,AQ490_RS14840,WP_051087519.1,12176,12890,-1,PF00440,0,45,1.8e-09,37.2
NZ_LLZU01000018,AQ490_RS14840,WP_051087519.1,12176,12890,-1,PF02909,1,142,6.7e-19,68.1
NZ_LLZU01000018,AQ490_RS14845,WP_026220312.1,12982,14608,1,PF00005,0,137,2.4e-18,67.0
NZ_LLZU01000018,AQ490_RS14850,WP_018384593.1,14785,15202,1,PF13673,19,84,1.3e-05,25.1
NZ_LLZU01000018,AQ490_RS14850,WP_018384593.1,14785,15202,1,PF00583,20,116,6.4e-15,55.4
NZ_LLZU01000018,AQ490_RS14855,WP_018384594.1,15310,16129,1,PF00583,27,117,0.00013,22.2
NZ_BCML01000106,AV141_RS39720,WP_010356718.1,1029,1764,1,PF06508,0,209,2.1e-59,200.6
NZ_BCML01000106,AV141_RS39720,WP_010356718.1,1029,1764,1,PF01171,2,56,0.00025,20.8
NZ_BCML01000106,AV141_RS39720,WP_010356718.1,1029,1764,1,PF00733,21,79,1e-07,31.9
NZ_BCML01000106,AV141_RS39725,WP_078481116.1,1741,2827,-1,PF01501,1,253,5e-29,101.6
NZ_BCML01000106,AV141_RS39730,WP_010356716.1,2814,3975,1,PF13579,1,159,6.6e-10,39.7
NZ_BCML01000106,AV141_RS39730,WP_010356716.1,2814,3975,1,PF13439,2,165,4.6e-12,46.3
NZ_BCML01000106,AV141_RS39730,WP_010356716.1,2814,3975,1,PF13692,6,116,1.5e-09,38.4
NZ_BCML01000106,AV141_RS39730,WP_010356716.1,2814,3975,1,PF00534,19,133,5.1e-09,35.9
NZ_BCML01000106,AV141_RS39735,WP_010356715.1,3975,4908,1,PF01370,0,228,6.5e-45,153.5
NZ_BCML01000106,AV141_RS39735,WP_010356715.1,3975,4908,1,PF16363,0,331,2e-42,145.8
NZ_BCML01000106,AV141_RS39735,WP_010356715.1,3975,4908,1,PF02719,0,250,6.1e-07,28.9
NZ_BCML01000106,AV141_RS39735,WP_010356715.1,3975,4908,1,PF01073,0,222,1.2e-07,31.0
NZ_BCML01000106,AV141_RS39735,WP_010356715.1,3975,4908,1,PF04321,1,237,1.8e-10,40.4
NZ_BCML01000106,AV141_RS39740,WP_010356714.1,4947,6771,1,PF00664,5,273,4.7e-20,72.4
NZ_BCML01000106,AV141_RS39740,WP_010356714.1,4947,6771,1,PF00005,81,137,3.2e-10,40.6
NZ_BCML01000106,AV141_RS39745,WP_010356713.1,6853,8635,1,PF00005,0,137,2.9e-24,86.1
NZ_BCML01000106,AV141_RS39745,WP_010356713.1,6853,8635,1,PF00664,2,274,1.1e-26,94.1
NZ_BCML01000106,AV141_RS39750,WP_100216846.1,8649,9195,-1,PF01227,3,178,1.1e-52,178.1
NZ_BCML01000106,AV141_RS39755,WP_010356710.1,9242,9911,-1,PF13394,1,96,9.2e-13,48.4
NZ_BCML01000106,AV141_RS39755,WP_010356710.1,9242,9911,-1,PF13353,1,116,1e-10,42.0
NZ_BCML01000106,AV141_RS39755,WP_010356710.1,9242,9911,-1,PF04055,1,96,5e-10,40.0
NZ_BCML01000106,AV141_RS39760,WP_010356709.1,10000,10363,-1,PF01242,0,121,1.7e-30,105.5
NZ_BCML01000106,AV141_RS39765,WP_010356708.1,10463,11492,-1,PF13377,0,166,7.5e-45,153.2
NZ_BCML01000106,AV141_RS39765,WP_010356708.1,10463,11492,-1,PF00356,0,43,9.5e-14,50.9
NZ_BCML01000106,AV141_RS39765,WP_010356708.1,10463,11492,-1,PF00532,46,268,8.3e-21,74.6
NZ_BCML01000106,AV141_RS39765,WP_010356708.1,10463,11492,-1,PF13407,56,258,4.5e-13,49.4
NZ_BCML01000106,AV141_RS39770,WP_010356707.1,11710,13024,1,PF13416,1,269,1.7e-34,119.9
NZ_BCML01000106,AV141_RS39770,WP_010356707.1,11710,13024,1,PF01547,12,306,5.3e-36,125.2
NZ_BCML01000106,AV141_RS39775,WP_010356705.1,13020,13923,1,PF00528,1,179,7.7e-17,61.6
NZ_BCML01000106,AV141_RS39780,WP_010356704.1,13924,14818,1,PF00528,4,174,3.2e-18,66.1
NZ_BCML01000106,AV141_RS39785,WP_086014045.1,14920,17203,1,PF00933,0,318,2e-67,227.8
NZ_BCML01000106,AV141_RS39785,WP_086014045.1,14920,17203,1,PF01915,0,204,1.4e-41,142.7
NZ_BCML01000106,AV141_RS39785,WP_086014045.1,14920,17203,1,PF14310,0,71,4.6e-16,58.7
NZ_BCML01000106,AV141_RS39790,WP_079251240.1,17206,18433,-1,PF01557,77,218,5e-08,32.9
NZ_BCML01000106,AV141_RS39800,WP_075825495.1,18642,19140,1,PF03745,1,59,4.4e-20,71.1
NZ_BCML01000106,AV141_RS39805,WP_075825496.1,19189,19963,1,PF00590,0,212,5.1e-31,108.3
NZ_FNAX01000001,BLT31_RS02400,WP_093589729.1,305,1175,1,PF17765,0,168,9.5e-54,182.0
NZ_FNAX01000001,BLT31_RS02400,WP_093589729.1,305,1175,1,PF13560,0,64,2.7e-20,72.4
NZ_FNAX01000001,BLT31_RS02400,WP_093589729.1,305,1175,1,PF01381,8,51,9e-07,28.9
NZ_FNAX01000001,BLT31_RS02405,WP_093589732.1,1241,2435,-1,PF00079,18,175,1.5e-12,47.5
NZ_FNAX01000001,BLT31_RS02410,WP_093589947.1,2899,3757,-1,PF17765,0,168,1.9e-44,151.7
NZ_FNAX01000001,BLT31_RS02410,WP_093589947.1,2899,3757,-1,PF13560,0,64,1.5e-15,57.3
NZ_FNAX01000001,BLT31_RS02410,WP_093589947.1,2899,3757,-1,PF01381,3,54,7e-09,35.6
NZ_FNAX01000001,BLT31_RS02415,WP_093589735.1,3922,4942,1,PF00248,2,293,3.1e-68,230.1
NZ_FNAX01000001,BLT31_RS02420,WP_093589738.1,5168,6356,-1,PF13091,3,132,4.6e-27,94.5
NZ_FNAX01000001,BLT31_RS02425,WP_093589950.1,6531,7416,-1,PF00582,4,141,1.1e-21,77.9
NZ_FNAX01000001,BLT31_RS02430,WP_093589741.1,7633,7894,1,PF08940,0,58,3.5e-25,87.4
NZ_FNAX01000001,BLT31_RS02440,WP_093589744.1,8444,9656,-1,PF03033,0,76,1.4e-09,38.1
NZ_FNAX01000001,BLT31_RS02450,WP_093589747.1,11012,13238,1,PF00069,0,260,2e-44,151.9
NZ_FNAX01000001,BLT31_RS02450,WP_093589747.1,11012,13238,1,PF07714,3,259,3.4e-23,82.2
NZ_FNAX01000001,BLT31_RS02455,WP_093589750.1,13301,15290,1,PF00498,1,69,7.8e-17,61.4
NZ_FNAX01000001,BLT31_RS02455,WP_093589750.1,13301,15290,1,PF16697,4,91,1.1e-13,51.3
NZ_FNAX01000001,BLT31_RS02465,WP_006137745.1,15787,16615,-1,PF04672,3,267,1.1e-115,385.8
NZ_FNAX01000001,BLT31_RS02470,WP_006137746.1,16743,17058,-1,PF04149,5,54,6.2e-14,51.8
NZ_FNAX01000001,BLT31_RS02475,WP_006137747.1,17054,17936,-1,PF13560,1,63,3.5e-10,40.1
NZ_FNAX01000001,BLT31_RS02480,WP_006137749.1,18219,18681,1,PF13581,1,114,9e-10,38.6
NZ_FNAX01000001,BLT31_RS02485,WP_040893732.1,18780,19338,-1,PF07681,0,82,4.7e-14,52.7
NZ_KQ948938.1,AQJ67_RS35680,WP_062723589.1,1473,2181,1,PF01695,44,163,4.7e-15,55.8
NZ_KQ948938.1,AQJ67_RS35685,WP_062723592.1,2282,2876,1,PF02467,0,63,6.5e-23,81.1
NZ_KQ948938.1,AQJ67_RS35690,WP_062723594.1,2872,3883,1,PF10935,5,122,3.6e-10,40.0
NZ_KQ948938.1,AQJ67_RS35700,WP_062723598.1,4194,4818,1,PF05713,2,30,4.7e-06,27.0
NZ_KQ948938.1,AQJ67_RS35705,WP_062723600.1,4820,6566,1,PF03432,55,203,5.2e-06,26.2
NZ_KQ948938.1,AQJ67_RS35720,WP_079056376.1,7199,9983,1,PF13191,1,169,4.8e-16,59.6
NZ_KQ948938.1,AQJ67_RS35725,WP_062723606.1,10000,10366,1,PF01242,0,121,1e-30,106.2
NZ_KQ948938.1,AQJ67_RS35740,WP_107123059.1,11227,11620,-1,PF03771,1,60,6.2e-15,54.9
NZ_KQ948938.1,AQJ67_RS35750,WP_079056377.1,12792,13395,-1,PF03771,1,62,1.8e-13,50.2
NZ_KQ948938.1,AQJ67_RS35760,WP_062723616.1,13581,14436,-1,PF03771,0,57,1.4e-09,37.7
NZ_KQ948938.1,AQJ67_RS35765,WP_062723618.1,14534,15329,-1,PF01638,2,88,9.5e-07,28.6
NZ_KQ948938.1,AQJ67_RS35780,WP_062723624.1,16639,17236,-1,PF16259,3,96,1e-28,99.5
NZ_KQ948938.1,AQJ67_RS46045,AQJ67_RS46045,17999,18539,-1,PF00145,2,72,1.9e-11,43.9
NZ_KQ948938.1,AQJ67_RS35795,WP_107123060.1,19127,20297,-1,PF00772,7,103,2.3e-15,56.5
NZ_LZNS01000001,STBA_RS04825,WP_077058037.1,265,3433,1,PF15979,0,339,2.1e-132,441.7
NZ_LZNS01000001,STBA_RS04825,WP_077058037.1,265,3433,1,PF17829,0,172,3e-62,209.5
NZ_LZNS01000001,STBA_RS04830,WP_077058038.1,3483,3678,-1,PF04149,2,54,3.3e-20,71.9
