contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_CP018135.1,BHE16_RS10150,WP_071895357.1,712,1585,1,PF00551,0,181,3.4e-38,131.2
NZ_CP018135.1,BHE16_RS10155,WP_071894753.1,1720,3538,-1,PF00027,1,86,2.5e-12,46.7
NZ_CP018135.1,BHE16_RS10155,WP_071894753.1,1720,3538,-1,PF04960,4,284,8.4e-112,373.0
NZ_CP018135.1,BHE16_RS10160,WP_071894754.1,3614,4364,-1,PF07739,0,117,1.3e-26,93.4
NZ_CP018135.1,BHE16_RS10160,WP_071894754.1,3614,4364,-1,PF00376,0,38,1.3e-10,40.9
NZ_CP018135.1,BHE16_RS10160,WP_071894754.1,3614,4364,-1,PF13411,1,66,1.7e-16,60.0
NZ_CP018135.1,BHE16_RS10165,WP_071894755.1,4419,5031,-1,PF03352,0,175,1.8e-66,223.3
NZ_CP018135.1,BHE16_RS10170,WP_084637221.1,5011,5860,-1,PF13532,0,196,1e-44,153.1
NZ_CP018135.1,BHE16_RS10175,WP_084637360.1,5877,7173,-1,PF01594,3,326,1.2e-56,192.2
NZ_CP018135.1,BHE16_RS10180,WP_071894757.1,7480,8884,-1,PF00171,8,458,3.2e-137,457.8
NZ_CP018135.1,BHE16_RS10185,WP_071894758.1,9048,9705,1,PF13460,0,184,1.2e-41,142.7
NZ_CP018135.1,BHE16_RS10185,WP_071894758.1,9048,9705,1,PF05368,0,142,1.8e-07,31.0
NZ_CP018135.1,BHE16_RS10190,WP_071894759.1,10000,10786,1,PF00561,0,151,1.1e-22,80.9
NZ_CP018135.1,BHE16_RS10190,WP_071894759.1,10000,10786,1,PF12697,0,211,4.5e-13,50.3
NZ_CP018135.1,BHE16_RS10190,WP_071894759.1,10000,10786,1,PF12146,5,110,3.4e-08,33.0
NZ_CP018135.1,BHE16_RS10195,WP_071894760.1,11300,12608,-1,PF02770,0,97,8.2e-17,61.2
NZ_CP018135.1,BHE16_RS10195,WP_071894760.1,11300,12608,-1,PF08028,1,132,6.3e-12,45.9
NZ_CP018135.1,BHE16_RS10195,WP_071894760.1,11300,12608,-1,PF02771,1,112,1.2e-11,45.3
