contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_LZTB01000142,A5784_RS37235,WP_064949866.1,739,1468,-1,PF00227,1,189,2.8e-35,121.5
NZ_LZTB01000142,A5784_RS37240,WP_064949886.1,1467,2292,-1,PF00227,2,183,1.1e-28,100.0
NZ_LZTB01000142,A5784_RS37245,WP_029373000.1,2336,2531,-1,PF05639,5,68,1e-22,80.8
NZ_LZTB01000142,A5784_RS38045,A5784_RS38045,2625,5004,-1,PF05721,1,209,1.1e-25,91.1
NZ_LZTB01000142,A5784_RS37260,WP_064949869.1,5000,5393,-1,PF06339,0,125,2.6e-56,189.2
NZ_LZTB01000142,A5784_RS37260,WP_064949869.1,5000,5393,-1,PF07883,4,71,1.4e-08,34.3
NZ_LZTB01000142,A5784_RS37265,WP_064949870.1,5408,6695,-1,PF00202,10,404,3e-73,246.8
NZ_LZTB01000142,A5784_RS37270,WP_064949871.1,6792,7374,-1,PF00583,30,112,2.9e-12,46.8
NZ_LZTB01000142,A5784_RS37275,WP_064949872.1,7774,8683,-1,PF00892,7,133,2.5e-10,40.7
NZ_LZTB01000142,A5784_RS37280,WP_064949873.1,8754,9657,1,PF03466,2,208,3.5e-25,88.6
NZ_LZTB01000142,A5784_RS37280,WP_064949873.1,8754,9657,1,PF00126,2,60,3e-15,55.9
NZ_LZTB01000142,A5784_RS37285,WP_064949887.1,9637,10174,-1,PF13977,1,114,3.4e-16,59.5
NZ_LZTB01000142,A5784_RS37285,WP_064949887.1,9637,10174,-1,PF00440,5,47,1.2e-10,41.0
NZ_CP026568.1,BKC06_RS01785,WP_011266326.1,485,1166,1,PF13649,0,97,6e-13,49.3
NZ_CP026568.1,BKC06_RS01785,WP_011266326.1,485,1166,1,PF08241,0,96,3e-12,47.0
NZ_CP026568.1,BKC06_RS01785,WP_011266326.1,485,1166,1,PF08242,0,99,3e-10,40.7
