contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_JTKF01000005,OC71_RS03040,WP_041063981.1,96,849,1,PF00106,0,186,1.6e-49,168.1
NZ_JTKF01000005,OC71_RS03040,WP_041063981.1,96,849,1,PF13561,3,232,1.1e-55,188.8
NZ_JTKF01000005,OC71_RS03040,WP_041063981.1,96,849,1,PF08659,3,162,4.9e-12,46.1
NZ_JTKF01000005,OC71_RS03045,WP_041063983.1,904,1471,1,PF13669,0,108,1.2e-09,38.4
NZ_JTKF01000005,OC71_RS03045,WP_041063983.1,904,1471,1,PF00903,1,128,7.6e-11,42.3
NZ_JTKF01000005,OC71_RS03050,WP_041063985.1,1551,2223,-1,PF06293,2,207,1.3e-46,158.6
NZ_JTKF01000005,OC71_RS03055,WP_041063987.1,2551,3541,1,PF00248,1,291,1e-70,238.3
NZ_JTKF01000005,OC71_RS03060,WP_041063989.1,3537,4128,1,PF12682,0,146,3e-24,85.5
NZ_JTKF01000005,OC71_RS03065,WP_041063991.1,4152,5145,1,PF00248,1,291,5.1e-71,239.3
NZ_JTKF01000005,OC71_RS03070,WP_041063993.1,5205,5673,1,PF07883,1,65,7.6e-14,51.2
NZ_JTKF01000005,OC71_RS03070,WP_041063993.1,5205,5673,1,PF02311,11,66,3.1e-08,33.6
NZ_JTKF01000005,OC71_RS03070,WP_041063993.1,5205,5673,1,PF00190,37,121,6.6e-05,22.6
NZ_JTKF01000005,OC71_RS03075,WP_041064646.1,5902,6676,1,PF02627,3,64,3.5e-08,33.4
NZ_JTKF01000005,OC71_RS03080,WP_041063995.1,6677,7742,1,PF12697,0,151,2.6e-07,31.5
NZ_JTKF01000005,OC71_RS03085,WP_041063997.1,7792,8845,1,PF01738,1,124,5.9e-07,29.3
NZ_JTKF01000005,OC71_RS03085,WP_041063997.1,7792,8845,1,PF02129,1,171,2.3e-06,27.4
NZ_JTKF01000005,OC71_RS03090,WP_041063999.1,8926,9820,1,PF00126,0,60,1.3e-23,82.7
NZ_JTKF01000005,OC71_RS03090,WP_041063999.1,8926,9820,1,PF03466,1,204,1.3e-34,119.4
NZ_JTKF01000005,OC71_RS03095,WP_041064001.1,10000,11050,1,PF08541,3,87,3.2e-07,30.4
NZ_JTKF01000005,OC71_RS03100,WP_041064004.1,11144,11609,-1,PF11911,1,143,5.9e-38,130.4
NZ_JTKF01000005,OC71_RS03105,WP_041064006.1,11814,12846,1,PF13302,0,137,3.6e-26,92.5
NZ_JTKF01000005,OC71_RS03105,WP_041064006.1,11814,12846,1,PF13508,3,73,2.1e-06,28.1
NZ_JTKF01000005,OC71_RS03105,WP_041064006.1,11814,12846,1,PF00583,21,117,3.7e-12,46.5
NZ_JTKF01000005,OC71_RS03105,WP_041064006.1,11814,12846,1,PF13673,27,109,4.9e-10,39.4
NZ_JTKF01000005,OC71_RS03115,WP_041064010.1,13601,14057,-1,PF13669,1,95,2.9e-08,34.0
NZ_JTKF01000005,OC71_RS03115,WP_041064010.1,13601,14057,-1,PF00903,1,102,3.4e-05,24.1
NZ_JTKF01000005,OC71_RS03120,WP_041064012.1,14463,15870,1,PF00324,0,434,2.1e-106,356.4
NZ_JTKF01000005,OC71_RS03120,WP_041064012.1,14463,15870,1,PF13520,2,419,2.2e-38,132.2
NZ_JTKF01000005,OC71_RS03125,WP_041064014.1,15860,17720,-1,PF00005,0,137,6.8e-37,127.0
NZ_JTKF01000005,OC71_RS03125,WP_041064014.1,15860,17720,-1,PF01926,0,40,0.00014,21.9
NZ_JTKF01000005,OC71_RS03125,WP_041064014.1,15860,17720,-1,PF00664,5,266,5.6e-20,72.1
NZ_JTKF01000005,OC71_RS03130,WP_052510576.1,18218,19478,1,PF03349,1,419,2.3e-72,244.0
NZ_JTKF01000005,OC71_RS03135,WP_041064016.1,19525,20200,1,PF11769,0,185,1.1e-45,155.8
NZ_HG780051.1,XBP1_RS10735,WP_038193840.1,312,660,1,PF09691,17,99,1.2e-09,38.3
NZ_HG780051.1,XBP1_RS10740,WP_071826292.1,733,1273,-1,PF00857,1,173,1.1e-38,133.2
NZ_HG780051.1,XBP1_RS10745,WP_038216181.1,1442,2450,-1,PF02423,10,315,6.4e-35,120.6
NZ_HG780051.1,XBP1_RS10750,WP_038216184.1,2459,3395,-1,PF00291,23,292,4.6e-44,151.0
NZ_HG780051.1,XBP1_RS10755,WP_038216185.1,3617,4418,1,PF00551,90,154,3.7e-10,39.8
NZ_HG780051.1,XBP1_RS10760,WP_038209825.1,4421,5063,1,PF01810,2,192,1.1e-27,96.7
NZ_HG780051.1,XBP1_RS10765,WP_038196678.1,5335,6676,1,PF01554,0,161,7.3e-28,97.2
NZ_HG780051.1,XBP1_RS10770,WP_038216188.1,6750,7410,-1,PF05643,0,186,1e-90,302.3
NZ_HG780051.1,XBP1_RS10775,WP_038196717.1,7409,7766,-1,PF16068,0,85,4.4e-33,113.7
NZ_HG780051.1,XBP1_RS10780,WP_038209832.1,7787,8459,-1,PF03783,8,203,2.9e-30,105.1
NZ_HG780051.1,XBP1_RS10780,WP_038209832.1,7787,8459,-1,PF04052,12,100,1.5e-05,25.1
NZ_HG780051.1,XBP1_RS10785,WP_038216191.1,8780,9827,-1,PF08541,1,89,9.5e-08,32.1
NZ_HG780051.1,XBP1_RS10795,WP_038196722.1,12964,13516,1,PF00589,0,170,6.3e-43,146.5
NZ_HG780051.1,XBP1_RS10800,WP_038216198.1,13842,14796,-1,PF07683,0,92,2.5e-16,59.4
NZ_HG780051.1,XBP1_RS10800,WP_038216198.1,13842,14796,-1,PF02492,1,176,6.7e-49,165.9
NZ_HG780051.1,XBP1_RS10805,WP_038216201.1,14857,15061,-1,PF04328,1,62,4.8e-28,97.0
NZ_HG780051.1,XBP1_RS10810,WP_038216204.1,15180,17334,-1,PF02554,0,370,9e-161,534.9
NZ_HG780051.1,XBP1_RS10810,WP_038216204.1,15180,17334,-1,PF13722,0,116,1.5e-34,118.8
NZ_HG780051.1,XBP1_RS10815,WP_051870596.1,17588,19157,-1,PF00884,1,309,6.4e-29,101.3
NZ_LN681227.1,XNC2_RS13985,WP_010847189.1,230,1283,-1,PF02868,0,168,7.5e-44,149.5
NZ_LN681227.1,XNC2_RS13985,WP_010847189.1,230,1283,-1,PF16485,0,38,4.2e-11,42.4
NZ_LN681227.1,XNC2_RS13985,WP_010847189.1,230,1283,-1,PF01447,31,146,9.6e-34,117.0
NZ_LN681227.1,XNC2_RS13990,WP_010847190.1,1529,2438,-1,PF01218,0,296,9.7e-133,441.4
NZ_LN681227.1,XNC2_RS13995,WP_013184723.1,2884,3853,1,PF01548,0,147,5.9e-27,94.4
NZ_LN681227.1,XNC2_RS13995,WP_013184723.1,2884,3853,1,PF02371,1,86,2.5e-22,79.0
NZ_LN681227.1,XNC2_RS14005,WP_013184970.1,6224,7565,1,PF01554,0,161,1.6e-27,96.2
NZ_LN681227.1,XNC2_RS14010,WP_010847193.1,7633,8293,-1,PF05643,0,186,3.7e-90,300.5
NZ_LN681227.1,XNC2_RS14015,WP_013184971.1,8292,8649,-1,PF16068,0,85,1e-33,115.7
NZ_LN681227.1,XNC2_RS14020,WP_013184972.1,8670,9342,-1,PF03783,8,203,4.9e-31,107.6
NZ_LN681227.1,XNC2_RS14020,WP_013184972.1,8670,9342,-1,PF04052,13,100,6.1e-06,26.4
NZ_LN681227.1,XNC2_RS14025,WP_013184973.1,10000,11047,-1,PF08541,1,86,1.7e-07,31.3
NZ_LN681227.1,XNC2_RS14030,WP_013184974.1,11447,13064,-1,PF14104,2,108,6.3e-42,142.4
NZ_LN681227.1,XNC2_RS14030,WP_013184974.1,11447,13064,-1,PF01609,25,213,1.8e-13,50.6
NZ_LN681227.1,XNC2_RS14035,WP_010847198.1,13348,13561,-1,PF13275,3,64,1.1e-25,89.2
NZ_LN681227.1,XNC2_RS14040,WP_010847199.1,13560,14436,-1,PF02882,0,158,1.8e-67,225.6
NZ_LN681227.1,XNC2_RS14040,WP_010847199.1,13560,14436,-1,PF00763,0,116,8.7e-40,135.6
NZ_LN681227.1,XNC2_RS14050,WP_013184975.1,14868,16083,1,PF13356,0,74,9.1e-21,74.0
NZ_LN681227.1,XNC2_RS14050,WP_013184975.1,14868,16083,1,PF00589,2,170,9.9e-25,87.3
NZ_LN681227.1,XNC2_RS14055,WP_013184976.1,16520,16727,1,PF05930,2,51,7.1e-20,70.6
NZ_LN681227.1,XNC2_RS14055,WP_013184976.1,16520,16727,1,PF12728,3,50,3.4e-08,33.5
NZ_LN681227.1,XNC2_RS14060,WP_013184977.1,16830,19269,1,PF13362,0,93,3.5e-12,46.5
NZ_LN681227.1,XNC2_RS14060,WP_013184977.1,16830,19269,1,PF08273,1,38,6.2e-09,36.0
NZ_LN681227.1,XNC2_RS14060,WP_013184977.1,16830,19269,1,PF08706,1,148,1.3e-08,35.2
NZ_LN681227.1,XNC2_RS14060,WP_013184977.1,16830,19269,1,PF03288,2,85,2.3e-11,44.0
NZ_LN681227.1,XNC2_RS14065,WP_013184978.1,19859,20285,1,PF08786,0,128,4.3e-38,130.3
NZ_AP014628.1,PST29_RS12470,WP_060843242.1,226,1285,1,PF04371,0,319,7e-110,367.3
NZ_AP014628.1,PST29_RS12475,WP_060843243.1,1281,2190,1,PF00795,1,258,2.3e-54,184.5
NZ_AP014628.1,PST29_RS12480,WP_082729230.1,2191,3313,1,PF13416,3,279,8e-30,104.6
NZ_AP014628.1,PST29_RS12480,WP_082729230.1,2191,3313,1,PF13343,3,235,2.1e-21,76.5
NZ_AP014628.1,PST29_RS12480,WP_082729230.1,2191,3313,1,PF01547,5,314,3.5e-12,46.9
NZ_AP014628.1,PST29_RS12485,WP_060838755.1,3438,4557,1,PF04371,1,319,2.3e-100,336.0
NZ_AP014628.1,PST29_RS12490,WP_060838756.1,4686,5145,1,PF13508,6,69,7.6e-08,32.7
NZ_AP014628.1,PST29_RS12490,WP_060838756.1,4686,5145,1,PF00583,13,112,1.7e-17,63.7
NZ_AP014628.1,PST29_RS12490,WP_060838756.1,4686,5145,1,PF13673,13,103,7.9e-08,32.3
NZ_AP014628.1,PST29_RS12495,WP_060843244.1,6057,6999,-1,PF10672,0,286,7.5e-143,474.9
NZ_AP014628.1,PST29_RS12495,WP_060843244.1,6057,6999,-1,PF03602,33,147,8.3e-10,38.6
NZ_AP014628.1,PST29_RS12500,WP_060843245.1,7265,8201,-1,PF12796,1,79,9.8e-12,45.3
NZ_AP014628.1,PST29_RS12500,WP_060843245.1,7265,8201,-1,PF00023,2,27,0.027,14.9
NZ_AP014628.1,PST29_RS12500,WP_060843245.1,7265,8201,-1,PF15655,6,126,8.6e-11,42.2
NZ_AP014628.1,PST29_RS12505,WP_060843246.1,8502,9858,1,PF01554,0,159,3.8e-29,101.4
NZ_AP014628.1,PST29_RS12510,WP_060843247.1,10000,11050,-1,PF08541,4,89,2.5e-07,30.8
NZ_AP014628.1,PST29_RS12515,WP_060843248.1,11716,12046,-1,PF11196,11,93,3.6e-06,27.2
NZ_AP014628.1,PST29_RS12525,WP_060843250.1,12606,13059,1,PF00583,22,117,7.7e-09,35.8
NZ_AP014628.1,PST29_RS12525,WP_060843250.1,12606,13059,1,PF13673,28,112,2.2e-08,34.1
NZ_AP014628.1,PST29_RS12530,WP_060843251.1,13085,13907,1,PF17765,0,166,3.8e-18,66.2
NZ_AP014628.1,PST29_RS12530,WP_060843251.1,13085,13907,1,PF01381,0,53,4.2e-09,36.3
NZ_AP014628.1,PST29_RS12530,WP_060843251.1,13085,13907,1,PF13560,2,61,1.2e-10,41.5
