contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_AJZF02000035,A144_RS06150,WP_017076782.1,5678,11660,1,PF02801,0,117,1.4e-34,118.6
NZ_AJZF02000035,A144_RS06150,WP_017076782.1,5678,11660,1,PF00109,1,253,2.2e-40,138.8
NZ_AJZF02000035,A144_RS06150,WP_017076782.1,5678,11660,1,PF07977,2,138,3.6e-39,133.5
NZ_AJZF02000035,A144_RS06155,WP_017076783.1,11698,13336,1,PF18328,0,62,1.6e-17,63.2
NZ_AJZF02000035,A144_RS06160,WP_017076784.1,13433,14801,-1,PF16360,0,79,8.5e-20,71.2
NZ_AJZF02000035,A144_RS06160,WP_017076784.1,13433,14801,-1,PF13167,1,88,2.3e-19,69.9
NZ_AJZF02000035,A144_RS06160,WP_017076784.1,13433,14801,-1,PF01926,1,114,4.8e-15,55.6
NZ_AJZF02000035,A144_RS06165,WP_017076785.1,15094,16207,-1,PF00005,0,136,2.7e-32,112.2
NZ_AJZF02000035,A144_RS06165,WP_017076785.1,15094,16207,-1,PF17912,0,53,2.3e-10,41.2
NZ_AJZF02000035,A144_RS06170,WP_017076786.1,16213,17071,-1,PF00528,3,183,3.4e-17,62.8
NZ_AJZF02000035,A144_RS06175,WP_010439457.1,17067,18006,-1,PF00528,1,174,3.2e-12,46.5
NZ_AJZF02000035,A144_RS06180,WP_004736057.1,18187,19435,-1,PF01547,7,278,6.6e-19,69.0
NZ_AJZF02000035,A144_RS06185,WP_017076787.1,19546,20992,-1,PF00672,0,53,1.4e-08,35.0
NZ_AJZF02000035,A144_RS06185,WP_017076787.1,19546,20992,-1,PF02518,3,109,1.4e-17,64.2
NZ_AJZF02000035,A144_RS06190,WP_017076788.1,21064,21793,-1,PF00072,0,112,8.7e-30,103.2
NZ_AJZF02000035,A144_RS06190,WP_017076788.1,21064,21793,-1,PF00486,1,77,9.1e-15,54.5
NZ_AJZF02000035,A144_RS06195,WP_017076789.1,21950,23408,-1,PF02696,4,465,6.1e-151,503.3
NZ_AJZF02000035,A144_RS06200,WP_017076791.1,23933,24575,-1,PF01810,1,190,1.3e-36,125.9
NZ_AJZF02000035,A144_RS06205,WP_017076792.1,24830,25763,-1,PF13649,0,86,3.2e-09,37.4
NZ_AJZF02000035,A144_RS06205,WP_017076792.1,24830,25763,-1,PF09445,2,75,4.6e-06,26.3
NZ_AJZF02000035,A144_RS06205,WP_017076792.1,24830,25763,-1,PF13847,3,114,6.4e-14,52.0
NZ_AJZF02000035,A144_RS06205,WP_017076792.1,24830,25763,-1,PF05175,32,113,5.3e-18,65.1
NZ_AJZF02000035,A144_RS06205,WP_017076792.1,24830,25763,-1,PF03602,40,131,4.1e-05,23.3
NZ_AJZF02000035,A144_RS06205,WP_017076792.1,24830,25763,-1,PF01209,45,99,0.00014,21.3
NZ_AJZF02000035,A144_RS06205,WP_017076792.1,24830,25763,-1,PF06325,159,233,9.4e-08,31.8
NZ_AJZF02000035,A144_RS06210,WP_004736048.1,25825,26356,1,PF01713,0,79,8.4e-19,67.7
NZ_AJZF02000035,A144_RS06215,WP_017076794.1,26466,26931,-1,PF00300,0,76,3.4e-07,30.1
NZ_AJZF02000035,A144_RS06220,WP_017076795.1,27235,30013,1,PF16187,0,278,7.7e-83,278.0
NZ_AJZF02000035,A144_RS06220,WP_017076795.1,27235,30013,1,PF00675,0,146,2.8e-38,131.2
NZ_AJZF02000035,A144_RS06220,WP_017076795.1,27235,30013,1,PF05193,3,175,5.2e-23,82.0
NZ_FPLF01000121,BT804_RS19690,WP_075478206.1,116,1352,-1,PF14486,0,303,1.6e-103,345.7
NZ_FPLF01000121,BT804_RS19695,WP_075478207.1,1695,3327,-1,PF04231,0,233,1.6e-95,319.3
NZ_FPLF01000121,BT804_RS19695,WP_075478207.1,1695,3327,-1,PF02018,1,120,5.7e-06,26.6
NZ_FPLF01000121,BT804_RS19700,WP_075473261.1,3911,5798,-1,PF02743,13,246,1.2e-21,77.7
NZ_FPLF01000121,BT804_RS19700,WP_075473261.1,3911,5798,-1,PF00015,17,171,7.8e-39,133.2
NZ_FPLF01000121,BT804_RS19705,WP_045110321.1,6287,7145,1,PF03537,0,231,5.3e-80,268.1
NZ_FPLF01000121,BT804_RS19710,WP_045110320.1,7266,8829,-1,PF00672,0,52,7.8e-10,39.0
NZ_FPLF01000121,BT804_RS19710,WP_045110320.1,7266,8829,-1,PF00015,4,169,7.5e-43,146.3
NZ_FPLF01000121,BT804_RS19710,WP_045110320.1,7266,8829,-1,PF17203,15,137,1e-09,38.7
NZ_FPLF01000121,BT804_RS19720,WP_045110319.1,10346,10814,-1,PF04314,0,109,2.4e-29,101.3
NZ_FPLF01000121,BT804_RS19730,WP_045110317.1,12003,13158,-1,PF00034,0,91,0.00026,22.1
NZ_FPLF01000121,BT804_RS19730,WP_045110317.1,12003,13158,-1,PF03150,1,143,9.2e-35,120.5
NZ_FPLF01000121,BT804_RS19745,WP_075478212.1,15027,17103,-1,PF00128,0,329,2.3e-51,175.4
NZ_FPLF01000121,BT804_RS19750,WP_075478213.1,17366,17888,-1,PF07366,3,125,3.3e-33,114.2
NZ_FPLF01000121,BT804_RS19750,WP_075478213.1,17366,17888,-1,PF12680,3,100,2.1e-12,47.5
NZ_FPLF01000121,BT804_RS19755,WP_075478214.1,18186,19815,-1,PF18328,0,61,2.2e-09,37.1
NZ_FPLF01000121,BT804_RS19755,WP_075478214.1,18186,19815,-1,PF03060,16,264,4e-11,42.9
NZ_FPLF01000121,BT804_RS19760,WP_075478215.1,20000,25886,-1,PF00109,0,253,1.3e-41,142.9
NZ_FPLF01000121,BT804_RS19760,WP_075478215.1,20000,25886,-1,PF02801,0,117,3e-33,114.3
NZ_FPLF01000121,BT804_RS19760,WP_075478215.1,20000,25886,-1,PF07977,2,137,1.3e-39,135.0
NZ_FPLF01000121,BT804_RS19765,WP_075478216.1,25998,28599,-1,PF02801,0,113,2.6e-07,30.7
NZ_FPLF01000121,BT804_RS19770,BT804_RS19770,28772,31886,-1,PF08659,1,179,4.6e-35,121.1
NZ_FPLF01000121,BT804_RS19770,BT804_RS19770,28772,31886,-1,PF00550,3,66,1.1e-06,28.8
NZ_FPLF01000121,BT804_RS19770,BT804_RS19770,28772,31886,-1,PF14765,19,288,9.7e-18,64.4
