contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_CP013187.1,PP2015_RS02365,WP_058028746.1,2509,3766,-1,PF14759,0,82,3.5e-28,98.0
NZ_CP013187.1,PP2015_RS02365,WP_058028746.1,2509,3766,-1,PF00070,0,79,1.8e-18,66.9
NZ_CP013187.1,PP2015_RS02365,WP_058028746.1,2509,3766,-1,PF07992,1,294,2.1e-65,220.9
NZ_CP013187.1,PP2015_RS02365,WP_058028746.1,2509,3766,-1,PF13738,89,305,1.2e-07,31.3
NZ_CP013187.1,PP2015_RS02370,WP_058028747.1,3812,4133,-1,PF00111,3,77,5.4e-14,51.9
NZ_CP013187.1,PP2015_RS02380,WP_058028749.1,4964,6038,1,PF12697,1,218,3.7e-12,47.3
NZ_CP013187.1,PP2015_RS02380,WP_058028749.1,4964,6038,1,PF00561,3,106,9.1e-10,38.6
NZ_CP013187.1,PP2015_RS02380,WP_058028749.1,4964,6038,1,PF00550,13,67,1.6e-06,28.4
NZ_CP013187.1,PP2015_RS02380,WP_058028749.1,4964,6038,1,PF12146,33,222,2.9e-07,30.0
NZ_CP013187.1,PP2015_RS02385,WP_058028750.1,6037,7258,1,PF00890,0,36,1.4e-06,27.7
NZ_CP013187.1,PP2015_RS02385,WP_058028750.1,6037,7258,1,PF07992,0,132,3.2e-06,26.6
NZ_CP013187.1,PP2015_RS02385,WP_058028750.1,6037,7258,1,PF01134,0,165,3.2e-05,23.2
NZ_CP013187.1,PP2015_RS02385,WP_058028750.1,6037,7258,1,PF01494,1,324,9.7e-13,48.1
NZ_CP013187.1,PP2015_RS02385,WP_058028750.1,6037,7258,1,PF04820,143,344,1.1e-13,50.9
NZ_CP013187.1,PP2015_RS02390,WP_058028751.1,7267,8410,1,PF00441,0,149,7.2e-33,113.9
NZ_CP013187.1,PP2015_RS02390,WP_058028751.1,7267,8410,1,PF02770,1,97,6.3e-20,71.2
NZ_CP013187.1,PP2015_RS02390,WP_058028751.1,7267,8410,1,PF08028,2,123,3.8e-09,36.9
NZ_CP013187.1,PP2015_RS02390,WP_058028751.1,7267,8410,1,PF02771,8,113,4.4e-14,53.1
NZ_CP013187.1,PP2015_RS02395,WP_058028752.1,8406,9954,1,PF13193,0,76,9e-10,39.4
NZ_CP013187.1,PP2015_RS02395,WP_058028752.1,8406,9954,1,PF00501,9,422,4.7e-87,292.3
NZ_CP013187.1,PP2015_RS02400,WP_058028753.1,10000,11548,1,PF07992,0,169,8e-09,35.1
NZ_CP013187.1,PP2015_RS02400,WP_058028753.1,10000,11548,1,PF13450,0,54,7.1e-07,29.4
NZ_CP013187.1,PP2015_RS02400,WP_058028753.1,10000,11548,1,PF00743,1,485,1.1e-83,281.4
NZ_CP013187.1,PP2015_RS02400,WP_058028753.1,10000,11548,1,PF13738,1,190,6.2e-16,58.5
NZ_CP013187.1,PP2015_RS02400,WP_058028753.1,10000,11548,1,PF13434,88,215,1.7e-10,40.5
NZ_CP013187.1,PP2015_RS02405,WP_058028754.1,11571,12201,1,PF01947,0,143,5e-14,52.5
NZ_CP013187.1,PP2015_RS02410,WP_058028755.1,12204,13683,1,PF00067,16,456,1.7e-68,231.5
NZ_CP013187.1,PP2015_RS02415,WP_058028756.1,13824,14796,1,PF08235,43,215,6.2e-08,32.4
NZ_CP013187.1,PP2015_RS02430,WP_058028759.1,19054,19756,1,PF00072,1,111,2.4e-26,92.1
NZ_CP013187.1,PP2015_RS02430,WP_058028759.1,19054,19756,1,PF00486,1,77,8e-21,73.9
NZ_CP013187.1,PP2015_RS02435,WP_058028760.1,19755,21501,1,PF00512,2,65,4.3e-15,55.5
NZ_CP013187.1,PP2015_RS02435,WP_058028760.1,19755,21501,1,PF02518,3,106,2.6e-15,56.9
NZ_CP013187.1,PP2015_RS02440,WP_058028761.1,21550,22765,-1,PF02784,3,247,3.9e-49,167.3
NZ_CP013187.1,PP2015_RS02440,WP_058028761.1,21550,22765,-1,PF00278,4,98,8e-13,48.4
