contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_JZKF01000040,WH85_RS26925,WP_052720819.1,662,2411,-1,PF00005,1,134,8e-23,81.5
NZ_JZKF01000040,WH85_RS26925,WP_052720819.1,662,2411,-1,PF00664,99,273,3.6e-07,30.1
NZ_JZKF01000040,WH85_RS26930,WP_052720820.1,2407,4207,-1,PF00005,0,136,4.4e-26,92.0
NZ_JZKF01000040,WH85_RS26930,WP_052720820.1,2407,4207,-1,PF00664,14,274,7e-23,81.6
NZ_JZKF01000040,WH85_RS26935,WP_045744833.1,4758,5673,1,PF16363,0,331,4.6e-45,154.5
NZ_JZKF01000040,WH85_RS26935,WP_045744833.1,4758,5673,1,PF01073,0,225,5.5e-26,91.2
NZ_JZKF01000040,WH85_RS26935,WP_045744833.1,4758,5673,1,PF13460,0,130,4.7e-11,42.9
NZ_JZKF01000040,WH85_RS26935,WP_045744833.1,4758,5673,1,PF01370,1,241,8.5e-53,179.3
NZ_JZKF01000040,WH85_RS26935,WP_045744833.1,4758,5673,1,PF02719,2,253,7.6e-05,22.0
NZ_JZKF01000040,WH85_RS26935,WP_045744833.1,4758,5673,1,PF04321,3,235,4.2e-11,42.5
NZ_JZKF01000040,WH85_RS26935,WP_045744833.1,4758,5673,1,PF07993,83,256,1.6e-05,24.3
NZ_JZKF01000040,WH85_RS26940,WP_045744803.1,5764,7693,1,PF00733,1,354,9.6e-79,265.6
NZ_JZKF01000040,WH85_RS26940,WP_045744803.1,5764,7693,1,PF13537,3,122,1.6e-38,131.3
NZ_JZKF01000040,WH85_RS26940,WP_045744803.1,5764,7693,1,PF13522,10,134,1e-31,109.9
NZ_JZKF01000040,WH85_RS26950,WP_083449292.1,8933,9977,1,PF00432,2,23,0.00082,19.1
NZ_JZKF01000040,WH85_RS26955,WP_083449293.1,10000,10759,1,PF01884,7,222,6.8e-08,32.2
NZ_JZKF01000040,WH85_RS26960,WP_045744835.1,10769,12281,1,PF04055,1,166,7.4e-23,81.7
NZ_JZKF01000040,WH85_RS26960,WP_045744835.1,10769,12281,1,PF02310,8,120,1.1e-14,54.5
NZ_JZKF01000040,WH85_RS26975,WP_045744808.1,14595,16185,1,PF16861,0,168,1.1e-46,158.6
NZ_JZKF01000040,WH85_RS26975,WP_045744808.1,14595,16185,1,PF02543,122,337,3e-17,63.3
NZ_JZKF01000040,WH85_RS26985,WP_045744809.1,17053,18979,1,PF00733,0,355,1.5e-88,297.8
NZ_JZKF01000040,WH85_RS26985,WP_045744809.1,17053,18979,1,PF13522,0,134,2.2e-36,125.0
