contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_AP018255.1,CDC41_RS00450,WP_096683796.1,3153,4425,-1,PF08852,159,368,3.9e-35,121.6
NZ_AP018255.1,CDC41_RS00455,WP_096683797.1,4509,5136,-1,PF04542,3,70,7.2e-10,38.5
NZ_AP018255.1,CDC41_RS00460,WP_096683798.1,6024,7281,-1,PF01385,1,118,3.6e-15,56.2
NZ_AP018255.1,CDC41_RS00465,WP_096683799.1,7907,8840,1,PF14261,1,59,1.9e-21,75.9
NZ_AP018255.1,CDC41_RS00470,WP_096683800.1,8917,9847,-1,PF12833,0,75,1.6e-19,70.0
NZ_AP018255.1,CDC41_RS00470,WP_096683800.1,8917,9847,-1,PF06719,1,147,3.2e-45,153.4
NZ_AP018255.1,CDC41_RS00470,WP_096683800.1,8917,9847,-1,PF00165,3,41,2.5e-08,33.8
NZ_AP018255.1,CDC41_RS00475,WP_096683801.1,10000,10474,1,PF12680,9,101,2.1e-09,37.9
NZ_AP018255.1,CDC41_RS00475,WP_096683801.1,10000,10474,1,PF03284,12,141,4e-09,36.3
NZ_AP018255.1,CDC41_RS00480,WP_096683802.1,10493,11195,1,PF05368,0,233,8.7e-09,35.3
NZ_AP018255.1,CDC41_RS00480,WP_096683802.1,10493,11195,1,PF13460,1,150,9.4e-10,38.7
NZ_AP018255.1,CDC41_RS00485,CDC41_RS00485,11185,11500,1,PF00271,70,111,1e-06,29.0
NZ_AP018255.1,CDC41_RS00490,WP_096683803.1,11557,12397,1,PF04434,10,37,1.4e-06,27.9
NZ_AP018255.1,CDC41_RS00495,WP_096683804.1,12686,17663,1,PF00400,0,38,3e-11,43.7
NZ_AP018255.1,CDC41_RS00495,WP_096683804.1,12686,17663,1,PF12894,1,88,1.9e-08,34.5
NZ_AP018255.1,CDC41_RS00495,WP_096683804.1,12686,17663,1,PF00656,4,206,2.8e-12,47.1
NZ_JTUN01000052,NR65_RS28380,NR65_RS28380,0,189,-1,PF01474,4,61,4.9e-08,31.9
NZ_JTUN01000052,NR65_RS28385,WP_003115119.1,212,701,-1,PF03284,1,154,9e-91,301.5
NZ_JTUN01000052,NR65_RS28390,WP_003450170.1,736,1225,-1,PF03284,1,154,1.9e-88,293.9
NZ_JTUN01000052,NR65_RS28390,WP_003450170.1,736,1225,-1,PF12680,25,101,1.1e-07,32.4
NZ_JTUN01000052,NR65_RS28395,WP_003118960.1,1706,2420,-1,PF03472,0,146,3.7e-36,123.8
NZ_JTUN01000052,NR65_RS28395,WP_003118960.1,1706,2420,-1,PF00196,1,57,7.8e-16,57.4
NZ_JTUN01000052,NR65_RS28400,WP_003102692.1,3181,3949,1,PF04116,2,133,1.6e-28,99.7
NZ_JTUN01000052,NR65_RS28410,WP_033945573.1,5142,6417,1,PF00487,1,241,1.5e-07,31.5
NZ_JTUN01000052,NR65_RS28415,WP_003118961.1,6364,7057,1,PF13640,0,95,4.4e-10,40.3
NZ_JTUN01000052,NR65_RS28420,WP_033945574.1,7082,9512,1,PF01804,2,665,1.2e-197,659.1
NZ_JTXX01000034,NQ78_RS27770,WP_003093604.1,344,1511,1,PF10282,1,344,6e-114,380.9
NZ_JTXX01000034,NQ78_RS27775,WP_033999996.1,2161,2608,1,PF07681,1,84,2.8e-15,56.6
NZ_JTXX01000034,NQ78_RS27780,WP_003104731.1,2615,3728,1,PF13437,1,101,4.8e-11,43.3
NZ_JTXX01000034,NQ78_RS27780,WP_003104731.1,2615,3728,1,PF13533,1,49,1.9e-08,34.0
NZ_JTXX01000034,NQ78_RS27780,WP_003104731.1,2615,3728,1,PF16576,16,214,1.9e-24,86.1
NZ_JTXX01000034,NQ78_RS27785,WP_033999998.1,3740,6830,1,PF00873,1,1020,1e-268,894.1
NZ_JTXX01000034,NQ78_RS27785,WP_033999998.1,3740,6830,1,PF03176,145,305,2.3e-07,30.0
NZ_JTXX01000034,NQ78_RS27790,WP_003104727.1,6826,8290,1,PF02321,2,185,2e-26,93.0
NZ_JTXX01000034,NQ78_RS27795,WP_003093617.1,8300,9305,-1,PF16864,1,81,1.6e-06,28.0
NZ_JTXX01000034,NQ78_RS27795,WP_003093617.1,8300,9305,-1,PF00891,5,209,7.4e-29,100.6
NZ_JTXX01000034,NQ78_RS27800,WP_034000000.1,10000,10489,1,PF03284,5,154,4.7e-85,282.9
NZ_JTXX01000034,NQ78_RS27800,WP_034000000.1,10000,10489,1,PF12680,16,101,6.8e-08,33.1
NZ_JTXX01000034,NQ78_RS27805,WP_024929087.1,10518,10922,1,PF03284,1,126,5.8e-73,243.6
NZ_KB906870.1,G011_RS0122240,WP_019610414.1,898,1786,1,PF04542,1,70,6.2e-14,51.5
NZ_KB906870.1,G011_RS0122240,WP_019610414.1,898,1786,1,PF08281,2,53,4.9e-10,38.9
NZ_KB906870.1,G011_RS0122245,WP_013156023.1,2076,2778,1,PF02525,2,187,2.1e-26,92.9
NZ_KB906870.1,G011_RS0122245,WP_013156023.1,2076,2778,1,PF03358,61,123,7.8e-09,35.5
NZ_KB906870.1,G011_RS0122250,WP_019610416.1,2828,4454,-1,PF13738,0,200,1.2e-10,41.2
NZ_KB906870.1,G011_RS0122250,WP_019610416.1,2828,4454,-1,PF13450,0,44,9.8e-07,28.9
NZ_KB906870.1,G011_RS0122250,WP_019610416.1,2828,4454,-1,PF07992,1,180,2.2e-11,43.6
NZ_KB906870.1,G011_RS0122250,WP_019610416.1,2828,4454,-1,PF00743,5,215,5.8e-10,38.2
NZ_KB906870.1,G011_RS0122255,WP_019610417.1,4662,5301,-1,PF10590,1,43,2.6e-13,49.8
NZ_KB906870.1,G011_RS0122255,WP_019610417.1,4662,5301,-1,PF01243,11,88,1e-11,44.9
NZ_KB906870.1,G011_RS0122260,WP_019610418.1,5319,6186,-1,PF02567,0,283,2e-71,240.8
NZ_KB906870.1,G011_RS0122265,WP_019610419.1,6182,8102,-1,PF00117,1,186,7.8e-24,84.5
NZ_KB906870.1,G011_RS0122265,WP_019610419.1,6182,8102,-1,PF00425,3,258,7.2e-44,150.3
NZ_KB906870.1,G011_RS0122270,WP_013156018.1,8098,8722,-1,PF00857,1,173,1.5e-35,122.9
NZ_KB906870.1,G011_RS0122275,WP_081643021.1,8751,9915,-1,PF01474,208,432,2.5e-77,260.3
NZ_KB906870.1,G011_RS0122280,WP_036552959.1,10000,10444,-1,PF03284,7,154,4.8e-80,266.6
NZ_KB906870.1,G011_RS0122280,WP_036552959.1,10000,10444,-1,PF12680,18,101,1.7e-09,38.3
NZ_KB906870.1,G011_RS0122285,WP_026338548.1,10565,11645,-1,PF13412,10,35,5e-05,22.8
NZ_KB906870.1,G011_RS0122285,WP_026338548.1,10565,11645,-1,PF02195,12,89,2.3e-09,37.4
NZ_KB906870.1,G011_RS31320,WP_081643019.1,12098,12851,1,PF00903,6,112,4.2e-11,43.1
NZ_KB906870.1,G011_RS0122295,WP_013156012.1,13680,14007,1,PF03992,2,75,1.1e-11,44.6
NZ_KB906870.1,G011_RS0122300,WP_019610425.1,14285,15527,1,PF13450,0,30,4e-05,23.8
NZ_KB906870.1,G011_RS0122300,WP_019610425.1,14285,15527,1,PF00890,0,33,9.2e-05,21.7
NZ_KB906870.1,G011_RS0122300,WP_019610425.1,14285,15527,1,PF01494,2,347,1.2e-26,93.8
NZ_KB906870.1,G011_RS0122305,WP_019610426.1,15792,17070,1,PF17164,5,36,2.5e-05,24.5
NZ_KB906870.1,G011_RS0122320,WP_026338550.1,18241,18619,-1,PF14012,0,68,1.1e-15,57.5
NZ_KB906870.1,G011_RS0122325,WP_017535950.1,19041,19242,1,PF12728,0,47,3.6e-11,43.1
NZ_KB906870.1,G011_RS0122325,WP_017535950.1,19041,19242,1,PF00376,0,38,1.7e-07,30.9
NZ_KB906870.1,G011_RS0122325,WP_017535950.1,19041,19242,1,PF13411,1,47,2.4e-05,24.3
NZ_KB906870.1,G011_RS0122330,WP_019610430.1,19406,19763,1,PF13396,0,42,1.4e-09,37.7
NZ_KB906870.1,G011_RS0122335,WP_019610431.1,20033,20372,1,PF14230,1,78,2.8e-21,75.5
NZ_JODM01000002,IE94_RS0106485,WP_030179523.1,742,2179,1,PF00331,2,315,4.9e-109,364.3
NZ_JODM01000002,IE94_RS0106485,WP_030179523.1,742,2179,1,PF00652,2,127,1.3e-30,106.2
NZ_JODM01000002,IE94_RS0106485,WP_030179523.1,742,2179,1,PF14200,23,89,2.6e-11,44.1
NZ_JODM01000002,IE94_RS0106490,WP_030179526.1,2236,3211,-1,PF08220,0,44,5.7e-06,26.0
NZ_JODM01000002,IE94_RS0106490,WP_030179526.1,2236,3211,-1,PF13280,3,169,1e-24,87.5
NZ_JODM01000002,IE94_RS0106490,WP_030179526.1,2236,3211,-1,PF08279,6,53,3e-15,55.9
NZ_JODM01000002,IE94_RS0106495,WP_030179530.1,3346,3742,1,PF01042,15,120,4.7e-18,65.4
NZ_JODM01000002,IE94_RS0106500,WP_030179533.1,3896,5273,-1,PF12002,0,166,1.5e-66,223.5
NZ_JODM01000002,IE94_RS0106500,WP_030179533.1,3896,5273,-1,PF00004,0,124,7.9e-14,52.2
NZ_JODM01000002,IE94_RS0106500,WP_030179533.1,3896,5273,-1,PF05496,0,116,4.2e-12,46.1
NZ_JODM01000002,IE94_RS0106500,WP_030179533.1,3896,5273,-1,PF07728,0,101,6.6e-06,26.2
NZ_JODM01000002,IE94_RS0106500,WP_030179533.1,3896,5273,-1,PF16193,3,81,1.2e-20,73.6
NZ_JODM01000002,IE94_RS0106500,WP_030179533.1,3896,5273,-1,PF14532,20,128,4.9e-06,26.7
NZ_JODM01000002,IE94_RS0106505,WP_030179536.1,5398,6250,-1,PF02567,1,283,1e-69,235.2
NZ_JODM01000002,IE94_RS0106510,WP_030179538.1,6265,7900,-1,PF00710,65,161,1.3e-05,24.8
NZ_JODM01000002,IE94_RS0106515,WP_030179541.1,7938,8424,-1,PF04343,2,122,4.8e-16,59.4
NZ_JODM01000002,IE94_RS0106520,WP_030179544.1,8497,9508,-1,PF00891,0,209,9.4e-29,100.2
NZ_JODM01000002,IE94_RS0106520,WP_030179544.1,8497,9508,-1,PF16864,1,84,4.3e-09,36.2
NZ_JODM01000002,IE94_RS0106525,WP_030179546.1,9539,9947,-1,PF06983,2,113,1.6e-06,28.6
NZ_JODM01000002,IE94_RS0106530,WP_030179549.1,10000,10492,-1,PF03284,6,154,2.9e-71,238.1
NZ_JODM01000002,IE94_RS0106530,WP_030179549.1,10000,10492,-1,PF12680,18,101,5.1e-07,30.3
NZ_JODM01000002,IE94_RS0106535,WP_030179553.1,10542,12399,-1,PF13537,0,123,2.3e-47,159.9
NZ_JODM01000002,IE94_RS0106535,WP_030179553.1,10542,12399,-1,PF13522,0,134,1.7e-40,138.3
NZ_JODM01000002,IE94_RS0106535,WP_030179553.1,10542,12399,-1,PF00733,1,353,1.3e-86,291.4
NZ_JODM01000002,IE94_RS0106540,WP_078606414.1,12442,13003,-1,PF10590,0,43,1.3e-12,47.5
NZ_JODM01000002,IE94_RS0106540,WP_078606414.1,12442,13003,-1,PF01243,1,88,7.1e-15,55.0
NZ_JODM01000002,IE94_RS0106550,WP_030179566.1,13403,15314,-1,PF00425,1,258,3.7e-43,148.0
NZ_JODM01000002,IE94_RS0106550,WP_030179566.1,13403,15314,-1,PF00117,1,184,1.2e-19,70.8
NZ_JODM01000002,IE94_RS0106555,WP_030179569.1,15310,15934,-1,PF00857,1,175,7e-39,133.8
NZ_JODM01000002,IE94_RS0106560,WP_030179572.1,15921,17121,-1,PF01474,224,432,1.3e-72,244.7
NZ_JODM01000002,IE94_RS0106570,WP_106977736.1,18953,19334,-1,PF13602,29,133,2.8e-07,31.7
NZ_JYJG01000018,UK23_RS04350,WP_082114401.1,5,1262,1,PF00117,1,183,2.3e-25,89.5
NZ_JYJG01000018,UK23_RS04350,WP_082114401.1,5,1262,1,PF00425,84,258,1e-30,107.2
NZ_JYJG01000018,UK23_RS04360,WP_045310047.1,1551,2172,1,PF10590,0,43,3.1e-08,33.5
NZ_JYJG01000018,UK23_RS04360,WP_045310047.1,1551,2172,1,PF01243,7,85,3.4e-15,56.0
NZ_JYJG01000018,UK23_RS04365,WP_045310048.1,2220,2682,-1,PF00355,8,87,1.8e-14,53.5
NZ_JYJG01000018,UK23_RS04370,WP_045310049.1,2888,3725,-1,PF02567,0,283,3e-72,243.5
NZ_JYJG01000018,UK23_RS04375,WP_045310059.1,3838,4306,1,PF03284,1,154,2.1e-71,238.6
NZ_JYJG01000018,UK23_RS04380,WP_045310050.1,4408,5023,1,PF10590,0,43,1.3e-09,37.9
NZ_JYJG01000018,UK23_RS04380,WP_045310050.1,4408,5023,1,PF01243,8,84,4.2e-09,36.5
NZ_JYJG01000018,UK23_RS04380,WP_045310050.1,4408,5023,1,PF12766,12,96,4.9e-05,23.9
