contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NC_002678.2,MAFF_RS23805,WP_010913527.1,602,2096,-1,PF00171,3,461,2.2e-171,570.4
NC_002678.2,MAFF_RS23810,WP_010913528.1,2647,4306,-1,PF00118,0,489,2.6e-96,323.2
NC_002678.2,MAFF_RS23815,WP_010913529.1,4371,4668,-1,PF00166,0,93,1.1e-35,121.6
NC_002678.2,MAFF_RS23820,MAFF_RS23820,5032,5515,-1,PF01526,56,213,1e-48,166.1
NC_002678.2,MAFF_RS23825,WP_010913531.1,5792,6605,-1,PF00797,0,239,7.2e-71,238.8
NC_002678.2,MAFF_RS23830,WP_010913532.1,6930,8250,-1,PF04055,1,163,4.4e-23,82.5
NC_002678.2,MAFF_RS23830,WP_010913532.1,6930,8250,-1,PF06969,3,61,1.5e-06,28.1
NC_002678.2,MAFF_RS37945,MAFF_RS37945,8270,9010,-1,PF02897,0,88,6.2e-12,45.0
NC_002678.2,MAFF_RS37950,MAFF_RS37950,9259,9465,-1,PF05977,228,262,3e-10,39.1
NC_002678.2,MAFF_RS23845,MAFF_RS23845,11808,12104,1,PF00550,16,54,1e-06,29.0
NC_002678.2,MAFF_RS23855,WP_010913542.1,14709,15162,-1,PF02261,2,114,1.2e-41,141.2
NC_002678.2,MAFF_RS23860,WP_010913543.1,15220,16204,-1,PF08541,0,88,4.6e-29,100.4
NC_002678.2,MAFF_RS23860,WP_010913543.1,15220,16204,-1,PF08545,1,80,2e-19,69.2
NC_002678.2,MAFF_RS23865,WP_044551210.1,16200,17466,-1,PF00202,11,405,4e-102,341.9
NC_002678.2,MAFF_RS23870,WP_010913545.1,17465,18101,-1,PF13500,0,198,1.6e-49,168.4
NC_002678.2,MAFF_RS23875,WP_010913546.1,18097,19237,-1,PF00155,3,359,1.3e-44,152.9
NC_002678.2,MAFF_RS23875,WP_010913546.1,18097,19237,-1,PF01212,28,96,3e-05,23.5
NC_002678.2,MAFF_RS23875,WP_010913546.1,18097,19237,-1,PF01053,47,180,7.8e-05,21.4
NC_002678.2,MAFF_RS23880,WP_010913547.1,19233,20229,-1,PF06968,0,85,3.6e-19,68.7
NC_002678.2,MAFF_RS23880,WP_010913547.1,19233,20229,-1,PF04055,3,164,1.7e-15,57.8
NZ_AJQR01000406,IC60_RS31040,WP_037436573.1,1198,2362,1,PF00266,0,371,8.2e-90,301.4
NZ_AJQR01000406,IC60_RS31040,WP_037436573.1,1198,2362,1,PF01212,36,168,4.2e-05,23.0
NZ_AJQR01000406,IC60_RS31040,WP_037436573.1,1198,2362,1,PF00155,48,340,4.9e-07,29.3
