contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_LGDD01000321,ADK54_RS33490,WP_078966820.1,79,598,-1,PF10756,0,47,0.00014,21.9
NZ_LGDD01000321,ADK54_RS33495,WP_053729557.1,726,1557,1,PF13340,2,75,1.8e-19,69.7
NZ_LGDD01000321,ADK54_RS33495,WP_053729557.1,726,1557,1,PF01609,3,89,5.1e-08,32.8
NZ_LGDD01000321,ADK54_RS33495,WP_053729557.1,726,1557,1,PF13586,34,88,4e-07,30.3
NZ_LGDD01000321,ADK54_RS33530,WP_078966821.1,6485,8021,-1,PF01610,0,108,3.4e-16,59.7
NZ_LGDD01000321,ADK54_RS33530,WP_078966821.1,6485,8021,-1,PF14690,3,46,1.3e-06,28.9
NZ_LGDD01000321,ADK54_RS33535,WP_063802107.1,8174,9896,-1,PF00005,0,137,3.9e-27,95.4
NZ_LGDD01000321,ADK54_RS33535,WP_063802107.1,8174,9896,-1,PF00664,3,274,3.7e-37,128.5
NZ_LGDD01000321,ADK54_RS33540,WP_053729564.1,10000,10435,-1,PF13471,2,115,2.5e-25,88.7
NZ_LGDD01000321,ADK54_RS33545,WP_053729565.1,10568,10823,-1,PF05402,1,66,1.1e-16,60.8
NZ_LGDD01000321,ADK54_RS33550,WP_053729566.1,10819,12667,-1,PF00733,1,354,2.6e-44,152.4
NZ_LGDD01000321,ADK54_RS33585,WP_053729583.1,19280,19550,1,PF00216,0,89,1.7e-20,73.0
NZ_LGDD01000321,ADK54_RS33595,WP_053729584.1,20802,21996,1,PF00144,12,320,1.1e-66,225.3
NZ_LGDD01000321,ADK54_RS33600,ADK54_RS33600,22024,22408,1,PF13701,76,198,6.7e-17,60.9
NC_020541.1,R2APBS1_RS02040,WP_081602836.1,1326,2508,1,PF00145,1,334,5.9e-34,117.9
NC_020541.1,R2APBS1_RS19485,WP_015446669.1,2404,2884,-1,PF03852,0,73,9.1e-27,92.7
NC_020541.1,R2APBS1_RS02045,WP_015446670.1,2944,3691,1,PF04471,5,113,1.5e-12,47.5
NC_020541.1,R2APBS1_RS02055,WP_015446671.1,4228,4510,-1,PF01381,1,51,2.4e-08,33.9
NC_020541.1,R2APBS1_RS02055,WP_015446671.1,4228,4510,-1,PF13560,4,57,7.1e-10,39.1
NC_020541.1,R2APBS1_RS02065,WP_015446673.1,5425,7825,1,PF07715,3,108,2e-20,73.4
NC_020541.1,R2APBS1_RS02065,WP_015446673.1,5425,7825,1,PF00593,50,468,3.8e-39,135.9
NC_020541.1,R2APBS1_RS02070,WP_015446674.1,7835,10016,1,PF07676,11,29,0.23,11.5
NC_020541.1,R2APBS1_RS02070,WP_015446674.1,7835,10016,1,PF00326,50,210,1.4e-09,37.8
NC_020541.1,R2APBS1_RS02075,WP_015446675.1,10000,11749,-1,PF00733,1,354,5e-23,82.3
NC_020541.1,R2APBS1_RS02075,WP_015446675.1,10000,11749,-1,PF02540,6,60,2.6e-05,23.5
NC_020541.1,R2APBS1_RS02080,WP_015446676.1,11748,12432,-1,PF13471,25,116,1.1e-18,67.3
NC_020541.1,R2APBS1_RS02085,WP_015446678.1,13056,13473,1,PF00816,0,89,1e-22,80.7
NC_020541.1,R2APBS1_RS02090,WP_015446679.1,13651,14272,-1,PF00392,4,64,2.9e-12,46.1
NC_020541.1,R2APBS1_RS02100,WP_015446681.1,15573,16662,1,PF13181,0,34,0.00018,21.5
NC_020541.1,R2APBS1_RS02100,WP_015446681.1,15573,16662,1,PF07719,1,34,2.1e-05,24.3
NC_020541.1,R2APBS1_RS02100,WP_015446681.1,15573,16662,1,PF14559,2,53,2.3e-06,28.0
NC_020541.1,R2APBS1_RS02105,WP_007511718.1,16805,17207,-1,PF00903,2,126,3.8e-06,27.1
NC_020541.1,R2APBS1_RS19260,WP_015446683.1,18804,19413,1,PF07336,0,129,2.8e-17,63.6
NC_020541.1,R2APBS1_RS19260,WP_015446683.1,18804,19413,1,PF11706,0,42,1.3e-15,56.9
NC_020541.1,R2APBS1_RS02120,WP_015446684.1,19763,20372,1,PF03938,3,136,7e-19,68.5
NC_020541.1,R2APBS1_RS02125,WP_015446685.1,20566,21082,1,PF11454,1,138,7e-42,142.5
NC_020541.1,R2APBS1_RS02130,WP_015446686.1,21183,21840,1,PF05724,0,217,8.3e-76,254.5
NZ_FTPM01000001,B0B08_RS05035,WP_076785560.1,1992,2634,1,PF10053,2,194,6.8e-69,231.2
NZ_FTPM01000001,B0B08_RS05040,WP_076785561.1,3273,4707,-1,PF02321,5,188,2e-18,66.9
NZ_FTPM01000001,B0B08_RS05045,WP_076785562.1,4716,6813,-1,PF12704,0,194,2e-40,139.2
NZ_FTPM01000001,B0B08_RS05045,WP_076785562.1,4716,6813,-1,PF00005,0,136,3.9e-32,111.6
NZ_FTPM01000001,B0B08_RS05045,WP_076785562.1,4716,6813,-1,PF02687,1,96,1.7e-08,34.8
NZ_FTPM01000001,B0B08_RS05050,WP_076787471.1,6815,7988,-1,PF13437,1,82,3.6e-11,43.7
NZ_FTPM01000001,B0B08_RS05050,WP_076787471.1,6815,7988,-1,PF13533,1,47,1.3e-11,44.1
NZ_FTPM01000001,B0B08_RS05050,WP_076787471.1,6815,7988,-1,PF16576,5,187,4.7e-15,55.4
NZ_FTPM01000001,B0B08_RS15995,WP_083705989.1,10000,10747,1,PF13471,5,116,5.5e-19,68.2
NZ_FTPM01000001,B0B08_RS05065,WP_076785565.1,10743,12486,1,PF00733,21,350,1.1e-16,61.5
NZ_FTPM01000001,B0B08_RS05070,WP_076785566.1,12503,14285,1,PF00005,0,137,5.2e-36,124.2
NZ_FTPM01000001,B0B08_RS05070,WP_076785566.1,12503,14285,1,PF00664,2,270,5.3e-22,78.8
NZ_FTPM01000001,B0B08_RS05085,B0B08_RS05085,16371,17459,1,PF01527,2,74,2e-19,69.7
NZ_FTPM01000001,B0B08_RS05085,B0B08_RS05085,16371,17459,1,PF13384,8,44,2.2e-06,27.3
NZ_FTPM01000001,B0B08_RS05090,WP_076785570.1,17573,17948,-1,PF12802,5,59,6.9e-08,32.3
NZ_FTPM01000001,B0B08_RS05090,WP_076785570.1,17573,17948,-1,PF01047,15,52,1.5e-05,24.8
NZ_FTPM01000001,B0B08_RS05100,WP_083706083.1,18526,18913,1,PF00589,74,169,3.4e-10,40.0
NC_002977.6,MCA_RS04315,WP_041360811.1,210,702,1,PF14343,0,57,2.3e-11,43.6
NC_002977.6,MCA_RS04325,WP_010960198.1,1536,2016,1,PF10003,0,139,2.1e-40,137.6
NC_002977.6,MCA_RS04330,WP_010960199.1,2064,3186,1,PF00116,0,118,3.9e-33,113.9
NC_002977.6,MCA_RS04330,WP_010960199.1,2064,3186,1,PF13442,1,66,7e-13,48.7
NC_002977.6,MCA_RS04330,WP_010960199.1,2064,3186,1,PF00034,1,87,5.3e-05,24.3
NC_002977.6,MCA_RS04330,WP_010960199.1,2064,3186,1,PF02790,2,88,9.5e-16,57.7
NC_002977.6,MCA_RS04335,WP_010960200.1,3218,4844,1,PF00115,0,432,1.5e-150,501.9
NC_002977.6,MCA_RS04340,WP_010960202.1,5002,5551,1,PF04442,1,151,1.2e-45,155.2
NC_002977.6,MCA_RS04345,WP_010960203.1,5587,6454,1,PF00510,1,255,3e-61,207.5
NC_002977.6,MCA_RS04350,MCA_RS04350,7175,8394,1,PF00872,20,264,1.9e-88,296.9
NC_002977.6,MCA_RS15610,MCA_RS15610,8469,8568,1,PF13333,26,48,8.6e-06,25.8
NC_002977.6,MCA_RS04360,WP_010960204.1,8922,9873,-1,PF05598,0,72,1.4e-20,73.0
NC_002977.6,MCA_RS04360,WP_010960204.1,8922,9873,-1,PF01609,5,208,1.6e-28,99.8
NC_002977.6,MCA_RS04360,WP_010960204.1,8922,9873,-1,PF13612,7,153,6.8e-08,32.7
NC_002977.6,MCA_RS04360,WP_010960204.1,8922,9873,-1,PF13359,27,151,3.5e-09,36.5
NC_002977.6,MCA_RS15615,WP_081423399.1,10000,10447,1,PF13471,2,115,1.4e-25,89.4
NC_002977.6,MCA_RS04365,WP_041360814.1,10446,10896,1,PF13522,0,106,4.7e-15,56.0
NC_002977.6,MCA_RS04365,WP_041360814.1,10446,10896,1,PF13537,10,88,6.4e-13,48.7
NC_002977.6,MCA_RS04370,WP_081423400.1,10798,12298,1,PF00733,0,354,1e-40,140.5
