contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_LIRJ01000051,AOK22_RS06005,WP_055697516.1,641,1178,-1,PF01613,1,152,1.3e-31,109.7
NZ_LIRJ01000051,AOK22_RS06010,WP_055697517.1,1199,2363,-1,PF01960,4,376,7.3e-123,410.0
NZ_LIRJ01000051,AOK22_RS06020,WP_079036371.1,4043,5630,1,PF13751,0,125,8.5e-22,77.7
NZ_LIRJ01000051,AOK22_RS06020,WP_079036371.1,4043,5630,1,PF05598,0,73,8.3e-16,57.8
NZ_LIRJ01000051,AOK22_RS06020,WP_079036371.1,4043,5630,1,PF01609,20,214,3.5e-09,36.6
NZ_LIRJ01000051,AOK22_RS06025,WP_079036372.1,5695,7957,-1,PF03704,0,146,1.6e-36,125.9
NZ_LIRJ01000051,AOK22_RS06025,WP_079036372.1,5695,7957,-1,PF13191,1,170,4e-20,72.9
NZ_LIRJ01000051,AOK22_RS06025,WP_079036372.1,5695,7957,-1,PF00486,6,60,4.8e-09,36.2
NZ_LIRJ01000051,AOK22_RS06030,WP_055697519.1,8281,9997,1,PF02776,1,170,1.7e-43,148.2
NZ_LIRJ01000051,AOK22_RS06030,WP_055697519.1,8281,9997,1,PF02775,1,153,4.7e-31,107.6
NZ_LIRJ01000051,AOK22_RS06030,WP_055697519.1,8281,9997,1,PF00205,1,137,6.4e-24,84.3
NZ_LIRJ01000051,AOK22_RS06035,WP_055697520.1,10000,11548,1,PF00733,1,143,3.2e-23,83.0
NZ_LIRJ01000051,AOK22_RS06035,WP_055697520.1,10000,11548,1,PF13522,10,134,1.8e-09,37.9
NZ_LIRJ01000051,AOK22_RS06035,WP_055697520.1,10000,11548,1,PF13537,19,123,1.3e-12,47.7
NZ_CP002581.1,BGL_RS31720,WP_042629018.1,1195,2713,1,PF00990,1,161,4.4e-43,146.8
NZ_CP002581.1,BGL_RS31720,WP_042629018.1,1195,2713,1,PF02743,3,248,1.7e-19,70.6
NZ_CP002581.1,BGL_RS31735,WP_042629020.1,3923,4610,1,PF00857,1,175,1.9e-27,96.5
NZ_CP002581.1,BGL_RS31740,WP_042629021.1,4662,5586,-1,PF00126,1,60,1.1e-19,70.1
NZ_CP002581.1,BGL_RS31740,WP_042629021.1,4662,5586,-1,PF03466,2,208,2.9e-40,137.9
NZ_CP002581.1,BGL_RS31745,WP_042629022.1,5728,5896,1,PF07235,0,47,6.8e-16,58.0
NZ_CP002581.1,BGL_RS31750,WP_042629023.1,6031,7198,-1,PF01960,5,376,1.6e-124,415.4
NZ_CP002581.1,BGL_RS31755,WP_042629024.1,7266,8205,-1,PF00892,5,135,3.5e-18,66.1
