contig_id,locus_tag,protein_id,gene_start,gene_end,gene_strand,pfam_id,domain_start,domain_end,evalue,bitscore
NZ_JOEC01000002,IE92_RS0108000,WP_051701689.1,1953,2712,1,PF02308,2,120,5.8e-35,120.3
NZ_JOEC01000002,IE92_RS0108015,WP_030147978.1,4204,4579,1,PF00164,1,114,1.5e-43,147.0
NZ_JOEC01000002,IE92_RS0108020,WP_030147979.1,4578,5049,1,PF00177,0,149,3.9e-60,201.8
NZ_JOEC01000002,IE92_RS0108025,WP_030147980.1,5144,7259,1,PF03764,0,121,2.7e-43,146.6
NZ_JOEC01000002,IE92_RS0108025,WP_030147980.1,5144,7259,1,PF14492,0,75,3.3e-35,120.0
NZ_JOEC01000002,IE92_RS0108025,WP_030147980.1,5144,7259,1,PF00679,0,88,2.6e-29,101.1
NZ_JOEC01000002,IE92_RS0108025,WP_030147980.1,5144,7259,1,PF03144,0,74,3.1e-12,46.7
NZ_JOEC01000002,IE92_RS0108025,WP_030147980.1,5144,7259,1,PF00009,1,194,7.6e-69,231.1
NZ_JOEC01000002,IE92_RS0108030,WP_030147981.1,7417,8611,1,PF00009,0,193,1.7e-56,190.8
NZ_JOEC01000002,IE92_RS0108030,WP_030147981.1,7417,8611,1,PF03143,0,111,5.3e-28,97.6
NZ_JOEC01000002,IE92_RS0108030,WP_030147981.1,7417,8611,1,PF03144,0,73,5e-17,62.1
NZ_JOEC01000002,IE92_RS16600,WP_081863946.1,10539,12858,1,PF01043,6,111,3.1e-19,69.7
NZ_JOEC01000002,IE92_RS16600,WP_081863946.1,10539,12858,1,PF07517,55,283,1.2e-48,165.9
NZ_JOEC01000002,IE92_RS0108050,WP_030147985.1,12998,13214,1,PF14013,1,49,3.6e-12,46.4
NZ_JOEC01000002,IE92_RS0108055,WP_030147986.1,13754,14063,1,PF00338,0,98,9.1e-35,118.8
NZ_JOEC01000002,IE92_RS0108060,WP_030147987.1,14071,14728,1,PF00297,194,290,1.6e-18,66.9
NZ_JOEC01000002,IE92_RS0108065,WP_030147988.1,14733,15423,1,PF00573,0,189,1.3e-61,207.7
NZ_JOEC01000002,IE92_RS0108070,WP_030147989.1,15419,15722,1,PF00276,0,82,6.3e-30,103.4
NZ_JOEC01000002,IE92_RS0108075,WP_030147990.1,15740,16580,1,PF03947,0,126,8.4e-57,190.8
NZ_JOEC01000002,IE92_RS0108075,WP_030147990.1,15740,16580,1,PF00181,0,77,3.8e-33,113.3
NZ_JOEC01000002,IE92_RS0108080,WP_030147991.1,16592,16874,1,PF00203,0,81,1.6e-35,120.8
